model,target_class,source_set,source,prompt_style,layer,control,gain,vector_class,prompt,generated,generated_chars,target_marker_hit,target_step0_prob,target_step0_rank,target_best_prob,target_best_rank,target_top1_any,target_top5_any,target_top10_any
distilgpt2,question,in_template,The analyst designed the prototype after the meeting.,same_sentence,1,random_norm,1.0,random_norm,"Same sentence:
The analyst designed the prototype after the meeting.
Same:","The analyst wrote a note to the front of the camera.
The analyst wrote a note to the front of the",97.0,0.0,0.00019780830189120024,542.0,0.00019780830189120024,259.0,0.0,0.0,0.0
distilgpt2,question,in_template,The analyst designed the prototype after the meeting.,same_sentence,1,negative_target,1.0,question,"Same sentence:
The analyst designed the prototype after the meeting.
Same:","The analyst designed the prototype.
The analyst designed the prototype.
The analyst designed the prototype.
The analyst",119.0,0.0,4.886041642748751e-05,1467.0,0.00020883209072053432,175.0,0.0,0.0,0.0
distilgpt2,question,in_template,The researcher designed the prototype near the station.,copy_sentence,1,none,0.0,,"Copy this sentence:
The researcher designed the prototype near the station.
Copy:","The researcher designed the prototype near the station.
Copy:
The researcher designed the prototype near the station.",117.0,0.0,0.00017475950880907476,519.0,0.00017475950880907476,38.0,0.0,0.0,0.0
distilgpt2,question,in_template,The researcher designed the prototype near the station.,copy_sentence,1,target,1.0,question,"Copy this sentence:
The researcher designed the prototype near the station.
Copy:",,0.0,0.0,0.0006302252877503633,164.0,0.012389726005494595,2.0,0.0,1.0,1.0
distilgpt2,question,in_template,The researcher designed the prototype near the station.,copy_sentence,1,wrong_marker,1.0,exclamation,"Copy this sentence:
The researcher designed the prototype near the station.
Copy:","The researcher created the prototype near the station.
The researcher created the prototype!
The researcher created the prototype!",130.0,0.0,0.00023179991694632918,366.0,0.0005194126279093325,49.0,0.0,0.0,0.0
distilgpt2,question,in_template,The researcher designed the prototype near the station.,copy_sentence,1,random_norm,1.0,random_norm,"Copy this sentence:
The researcher designed the prototype near the station.
Copy:","The researcher used the data to create a new article.
The researcher used the data to create a new article.",107.0,0.0,0.00014576128160115331,525.0,0.0014494855422526598,16.0,0.0,0.0,0.0
distilgpt2,question,in_template,The researcher designed the prototype near the station.,copy_sentence,1,negative_target,1.0,question,"Copy this sentence:
The researcher designed the prototype near the station.
Copy:","The researcher was using the data to create the prototype.
The prototype was used to be used in the lab.",104.0,0.0,2.6112396881217137e-05,3485.0,0.00015948775399010628,408.0,0.0,0.0,0.0
distilgpt2,question,in_template,The researcher designed the prototype near the station.,same_sentence,1,none,0.0,,"Same sentence:
The researcher designed the prototype near the station.
Same:","The researcher designed the prototype near the station.
Same:
The researcher designed the prototype near the station.",117.0,0.0,9.402345312992111e-05,596.0,9.402345312992111e-05,21.0,0.0,0.0,0.0
distilgpt2,question,in_template,The researcher designed the prototype near the station.,same_sentence,1,target,1.0,question,"Same sentence:
The researcher designed the prototype near the station.
Same:","The researcher was not able to answer the question.
The answer?
The answer?
The answer?",87.0,1.0,0.00028796453261747956,247.0,0.7425835728645325,1.0,1.0,1.0,1.0
distilgpt2,question,in_template,The researcher designed the prototype near the station.,same_sentence,1,wrong_marker,1.0,exclamation,"Same sentence:
The researcher designed the prototype near the station.
Same:","The researcher designed the prototype near the station.
The researcher designed the prototype near the station!
The researcher!",127.0,0.0,9.975271677831188e-05,588.0,0.0006085759378038347,15.0,0.0,0.0,0.0
distilgpt2,question,in_template,The researcher designed the prototype near the station.,same_sentence,1,random_norm,1.0,random_norm,"Same sentence:
The researcher designed the prototype near the station.
Same:","The researcher was working on the project.
The project is now in the project.
The project is now in",99.0,0.0,0.0002742002543527633,268.0,0.0012149944668635726,48.0,0.0,0.0,0.0
distilgpt2,question,in_template,The researcher designed the prototype near the station.,same_sentence,1,negative_target,1.0,question,"Same sentence:
The researcher designed the prototype near the station.
Same:","The researcher designed the prototype.
The researcher was able to use the data to create a new version of the data.",115.0,0.0,3.9728944102535024e-05,1796.0,7.279004785232246e-05,301.0,0.0,0.0,0.0
distilgpt2,question,in_template,The manager measured the signal near the station.,copy_sentence,1,none,0.0,,"Copy this sentence:
The manager measured the signal near the station.
Copy:","The manager measured the signal near the station.
Copy:
The manager measured the signal near the station.",105.0,0.0,0.0002262645575683564,393.0,0.0002262645575683564,46.0,0.0,0.0,0.0
distilgpt2,question,in_template,The manager measured the signal near the station.,copy_sentence,1,target,1.0,question,"Copy this sentence:
The manager measured the signal near the station.
Copy:",,0.0,0.0,0.0009240335784852505,107.0,0.014038581401109695,2.0,0.0,1.0,1.0
distilgpt2,question,in_template,The manager measured the signal near the station.,copy_sentence,1,wrong_marker,1.0,exclamation,"Copy this sentence:
The manager measured the signal near the station.
Copy:","The manager measured the signal near the station.
The manager measured the signal!
The manager!!!!",98.0,0.0,0.00032823692890815437,278.0,0.0007009587134234607,28.0,0.0,0.0,0.0
distilgpt2,question,in_template,The manager measured the signal near the station.,copy_sentence,1,random_norm,1.0,random_norm,"Copy this sentence:
The manager measured the signal near the station.
Copy:","Copy:
Copy:
Copy:
Copy:
Copy:
Copy:
Copy:
Copy:",47.0,0.0,0.0001883492077467963,403.0,0.0012246270198374987,13.0,0.0,0.0,0.0
distilgpt2,question,in_template,The manager measured the signal near the station.,copy_sentence,1,negative_target,1.0,question,"Copy this sentence:
The manager measured the signal near the station.
Copy:","The manager measured the signal near the station.
The signal was not the signal.
The signal was not the signal",110.0,0.0,4.0355582314077765e-05,2171.0,0.0003104058268945664,69.0,0.0,0.0,0.0
distilgpt2,question,in_template,The manager measured the signal near the station.,same_sentence,1,none,0.0,,"Same sentence:
The manager measured the signal near the station.
Same:","The manager measured the signal near the station.
Same:
The manager measured the signal near the station.",105.0,0.0,7.64638971304521e-05,458.0,8.002614049473777e-05,17.0,0.0,0.0,0.0
distilgpt2,question,in_template,The manager measured the signal near the station.,same_sentence,1,target,1.0,question,"Same sentence:
The manager measured the signal near the station.
Same:",The same as the same as the same as the same as the same as the same as the same as the same,92.0,0.0,0.0002541750145610422,214.0,0.11983315646648407,2.0,0.0,1.0,1.0
distilgpt2,question,in_template,The manager measured the signal near the station.,same_sentence,1,wrong_marker,1.0,exclamation,"Same sentence:
The manager measured the signal near the station.
Same:","The manager measured the signal near the station.
The manager measured the signal!
The manager!!!!",98.0,0.0,0.00010084869427373633,459.0,0.0008056804654188454,32.0,0.0,0.0,0.0
distilgpt2,question,in_template,The manager measured the signal near the station.,same_sentence,1,random_norm,1.0,random_norm,"Same sentence:
The manager measured the signal near the station.
Same:","The signal was measured at the station.
The signal was measured at the station.
The signal was measured at the",110.0,0.0,0.00016974919708445668,495.0,0.00025474195717833936,88.0,0.0,0.0,0.0
distilgpt2,question,in_template,The manager measured the signal near the station.,same_sentence,1,negative_target,1.0,question,"Same sentence:
The manager measured the signal near the station.
Same:","The manager measured the signal near the station.
The signal was not the signal.
The signal was not the",103.0,0.0,3.509991802275181e-05,1292.0,0.00020114150538574904,83.0,0.0,0.0,0.0
distilgpt2,question,in_template,The writer updated the report during the session.,copy_sentence,1,none,0.0,,"Copy this sentence:
The writer updated the report during the session.
Copy:","The writer updated the report during the session.
Copy:
The writer updated the report during the session.",105.0,0.0,0.00014794370508752763,664.0,0.00014794370508752763,34.0,0.0,0.0,0.0
distilgpt2,question,in_template,The writer updated the report during the session.,copy_sentence,1,target,1.0,question,"Copy this sentence:
The writer updated the report during the session.
Copy:",,0.0,0.0,0.0005553351365961134,199.0,0.01227254793047905,2.0,0.0,1.0,1.0
distilgpt2,question,in_template,The writer updated the report during the session.,copy_sentence,1,wrong_marker,1.0,exclamation,"Copy this sentence:
The writer updated the report during the session.
Copy:","This article is over!
This article is over!
This article is over!
This article is over!",87.0,0.0,0.00017426074191462249,500.0,0.00021693015878554434,20.0,0.0,0.0,0.0
distilgpt2,question,in_template,The writer updated the report during the session.,copy_sentence,1,random_norm,1.0,random_norm,"Copy this sentence:
The writer updated the report during the session.
Copy:","The author has been removed from the report.
The author has been removed from the report.
The author has been",109.0,0.0,7.090027793310583e-05,1489.0,0.00025821744929999113,75.0,0.0,0.0,0.0
distilgpt2,question,in_template,The writer updated the report during the session.,copy_sentence,1,negative_target,1.0,question,"Copy this sentence:
The writer updated the report during the session.
Copy:",The report was published on the following day.,46.0,0.0,2.828539436450228e-05,3407.0,7.903100049588829e-05,225.0,0.0,0.0,0.0
distilgpt2,question,in_template,The writer updated the report during the session.,same_sentence,1,none,0.0,,"Same sentence:
The writer updated the report during the session.
Same:","The writer updated the report during the session.
Same:
The writer updated the report during the session.",105.0,0.0,7.653587817912921e-05,750.0,0.00011351648572599515,17.0,0.0,0.0,0.0
distilgpt2,question,in_template,The writer updated the report during the session.,same_sentence,1,target,1.0,question,"Same sentence:
The writer updated the report during the session.
Same:",,0.0,0.0,0.000236221807426773,338.0,0.007660490460693836,2.0,0.0,1.0,1.0
distilgpt2,question,in_template,The writer updated the report during the session.,same_sentence,1,wrong_marker,1.0,exclamation,"Same sentence:
The writer updated the report during the session.
Same:","The author has updated the report.
The author has updated the report!
The author has updated the report!",104.0,0.0,9.109511302085593e-05,763.0,0.0005938385729677975,16.0,0.0,0.0,0.0
distilgpt2,question,in_template,The writer updated the report during the session.,same_sentence,1,random_norm,1.0,random_norm,"Same sentence:
The writer updated the report during the session.
Same:","The author has not been charged with any crime.
The author has not been charged with any crime.
The",99.0,0.0,0.00013165207928977907,750.0,0.0002465861907694489,43.0,0.0,0.0,0.0
distilgpt2,question,in_template,The writer updated the report during the session.,same_sentence,1,negative_target,1.0,question,"Same sentence:
The writer updated the report during the session.
Same:",The writer said that the following is the case of the case of the case of the case of the,89.0,0.0,3.630103310570121e-05,1903.0,0.00010456628660904244,151.0,0.0,0.0,0.0
distilgpt2,question,in_template,The student cleaned the dataset today.,copy_sentence,1,none,0.0,,"Copy this sentence:
The student cleaned the dataset today.
Copy:","The student cleaned the dataset today.
Copy:
The student cleaned the dataset today.
Copy:
The",93.0,0.0,0.00023049044830258936,457.0,0.00023049044830258936,34.0,0.0,0.0,0.0
distilgpt2,question,in_template,The student cleaned the dataset today.,copy_sentence,1,target,1.0,question,"Copy this sentence:
The student cleaned the dataset today.
Copy:",,0.0,0.0,0.0008491473854519427,125.0,0.012123415246605873,2.0,0.0,1.0,1.0
distilgpt2,question,in_template,The student cleaned the dataset today.,copy_sentence,1,wrong_marker,1.0,exclamation,"Copy this sentence:
The student cleaned the dataset today.
Copy:","This is the same as the original version!
This is the same as the original version!
This is the",95.0,0.0,0.0003042870375793427,311.0,0.0005368869169615209,21.0,0.0,0.0,0.0
distilgpt2,question,in_template,The student cleaned the dataset today.,copy_sentence,1,random_norm,1.0,random_norm,"Copy this sentence:
The student cleaned the dataset today.
Copy:","The student cleaned the dataset today.
The student cleaned the dataset today.
The student cleaned the dataset today.",116.0,0.0,8.186713967006654e-05,905.0,0.00018880123388953507,38.0,0.0,0.0,0.0
distilgpt2,question,in_template,The student cleaned the dataset today.,copy_sentence,1,negative_target,1.0,question,"Copy this sentence:
The student cleaned the dataset today.
Copy:","The student cleaned the dataset today.
The student cleaned the dataset today.
The student cleaned the dataset today.",116.0,0.0,4.224645090289414e-05,2472.0,0.00020684761693701148,64.0,0.0,0.0,0.0
distilgpt2,question,in_template,The student cleaned the dataset today.,same_sentence,1,none,0.0,,"Same sentence:
The student cleaned the dataset today.
Same:","The student cleaned the dataset today.
Same:
The student cleaned the dataset today.
Same:
The",93.0,0.0,8.244790660683066e-05,571.0,8.244790660683066e-05,15.0,0.0,0.0,0.0
distilgpt2,question,in_template,The student cleaned the dataset today.,same_sentence,1,target,1.0,question,"Same sentence:
The student cleaned the dataset today.
Same:","The student cleaned the dataset today.
The student cleaned the dataset today?
The student cleaned the dataset?",110.0,1.0,0.000264708767645061,231.0,0.7691853046417236,1.0,1.0,1.0,1.0
distilgpt2,question,in_template,The student cleaned the dataset today.,same_sentence,1,wrong_marker,1.0,exclamation,"Same sentence:
The student cleaned the dataset today.
Same:","The student cleaned the dataset today.
The student cleaned the dataset!
The student cleaned!!!!!",96.0,0.0,0.00011304480722174048,484.0,0.0005481920088641346,25.0,0.0,0.0,0.0
distilgpt2,question,in_template,The student cleaned the dataset today.,same_sentence,1,random_norm,1.0,random_norm,"Same sentence:
The student cleaned the dataset today.
Same:","The student cleaned the dataset today.
The student cleaned the dataset today.
The student cleaned the dataset today.",116.0,0.0,0.00018814526265487075,347.0,0.0004731579392682761,29.0,0.0,0.0,0.0
distilgpt2,question,in_template,The student cleaned the dataset today.,same_sentence,1,negative_target,1.0,question,"Same sentence:
The student cleaned the dataset today.
Same:","The student cleaned the dataset today.
The student cleaned the dataset today.
The student cleaned the dataset today.",116.0,0.0,3.6245161027181894e-05,1597.0,0.00013994559412822127,72.0,0.0,0.0,0.0
distilgpt2,question,in_template,The artist tested the system in the lab.,copy_sentence,1,none,0.0,,"Copy this sentence:
The artist tested the system in the lab.
Copy:","The artist tested the system in the lab.
Copy:
The artist tested the system in the lab.",87.0,0.0,0.0001983056281460449,478.0,0.0001983056281460449,35.0,0.0,0.0,0.0
distilgpt2,question,in_template,The artist tested the system in the lab.,copy_sentence,1,target,1.0,question,"Copy this sentence:
The artist tested the system in the lab.
Copy:",,0.0,0.0,0.0007480357307940722,142.0,0.012018711306154728,2.0,0.0,1.0,1.0
distilgpt2,question,in_template,The artist tested the system in the lab.,copy_sentence,1,wrong_marker,1.0,exclamation,"Copy this sentence:
The artist tested the system in the lab.
Copy:","This is the first step!
This is the first step!
This is the first step!
This is",79.0,0.0,0.00025997354532592,344.0,0.00048814108595252037,26.0,0.0,0.0,0.0
distilgpt2,question,in_template,The artist tested the system in the lab.,copy_sentence,1,random_norm,1.0,random_norm,"Copy this sentence:
The artist tested the system in the lab.
Copy:",,0.0,0.0,0.00025757058756425977,383.0,0.00025757058756425977,383.0,0.0,0.0,0.0
distilgpt2,question,in_template,The artist tested the system in the lab.,copy_sentence,1,negative_target,1.0,question,"Copy this sentence:
The artist tested the system in the lab.
Copy:","The code is available on the GitHub repository.

The code is available on the GitHub repository.",96.0,0.0,4.552272366709076e-05,2114.0,0.00039901636773720384,168.0,0.0,0.0,0.0
distilgpt2,question,in_template,The artist tested the system in the lab.,same_sentence,1,none,0.0,,"Same sentence:
The artist tested the system in the lab.
Same:","The artist tested the system in the lab.
Same:
The artist tested the system in the lab.",87.0,0.0,9.789859905140474e-05,542.0,0.00012842132127843797,18.0,0.0,0.0,0.0
distilgpt2,question,in_template,The artist tested the system in the lab.,same_sentence,1,target,1.0,question,"Same sentence:
The artist tested the system in the lab.
Same:","The artist tested the system in the lab.
The artist tested the system?
The artist tested the system?",100.0,1.0,0.00027335327467881143,232.0,0.8913260102272034,1.0,1.0,1.0,1.0
distilgpt2,question,in_template,The artist tested the system in the lab.,same_sentence,1,wrong_marker,1.0,exclamation,"Same sentence:
The artist tested the system in the lab.
Same:","The artist tested the system in the lab.
The artist tested the system!
The artist tested!!!",91.0,0.0,0.0001149189192801714,522.0,0.0009337125811725855,32.0,0.0,0.0,0.0
distilgpt2,question,in_template,The artist tested the system in the lab.,same_sentence,1,random_norm,1.0,random_norm,"Same sentence:
The artist tested the system in the lab.
Same:","The artist tested the system.
The artist tested the system.
The artist tested the system.
The artist",100.0,0.0,0.000482317729620263,202.0,0.0005742760840803385,33.0,0.0,0.0,0.0
distilgpt2,question,in_template,The artist tested the system in the lab.,same_sentence,1,negative_target,1.0,question,"Same sentence:
The artist tested the system in the lab.
Same:","The test results were sent to the lab.
The test results were sent to the lab.
The test results",94.0,0.0,5.752180368290283e-05,1222.0,0.000663702841848135,88.0,0.0,0.0,0.0
distilgpt2,question,in_template,The gardener fixed the problem in the lab.,copy_sentence,1,none,0.0,,"Copy this sentence:
The gardener fixed the problem in the lab.
Copy:","The gardener fixed the problem in the lab.
Copy:
The gardener fixed the problem in the lab",90.0,0.0,0.00026160888955928385,366.0,0.00026160888955928385,43.0,0.0,0.0,0.0
distilgpt2,question,in_template,The gardener fixed the problem in the lab.,copy_sentence,1,target,1.0,question,"Copy this sentence:
The gardener fixed the problem in the lab.
Copy:",,0.0,0.0,0.001070035737939179,103.0,0.013585350476205349,2.0,0.0,1.0,1.0
distilgpt2,question,in_template,The gardener fixed the problem in the lab.,copy_sentence,1,wrong_marker,1.0,exclamation,"Copy this sentence:
The gardener fixed the problem in the lab.
Copy:","This sentence:
This sentence:
This sentence:
This sentence!
This sentence!!!!!",78.0,0.0,0.0003260118537582457,298.0,0.001496052835136652,8.0,0.0,0.0,1.0
distilgpt2,question,in_template,The gardener fixed the problem in the lab.,copy_sentence,1,random_norm,1.0,random_norm,"Copy this sentence:
The gardener fixed the problem in the lab.
Copy:","The gardener fixed the problem in the lab.
The gardener fixed the problem in the lab.
The",89.0,0.0,0.000157964022946544,631.0,0.0014952583005651832,13.0,0.0,0.0,0.0
distilgpt2,question,in_template,The gardener fixed the problem in the lab.,copy_sentence,1,negative_target,1.0,question,"Copy this sentence:
The gardener fixed the problem in the lab.
Copy:","The gardener fixed the problem in the lab.
The gardener fixed the problem in the lab.
The",89.0,0.0,6.080793173168786e-05,1609.0,0.0004961633239872754,69.0,0.0,0.0,0.0
distilgpt2,question,in_template,The gardener fixed the problem in the lab.,same_sentence,1,none,0.0,,"Same sentence:
The gardener fixed the problem in the lab.
Same:","The gardener fixed the problem in the lab.
Same:
The gardener fixed the problem in the lab",90.0,0.0,9.928552753990516e-05,480.0,9.929836232913658e-05,16.0,0.0,0.0,0.0
distilgpt2,question,in_template,The gardener fixed the problem in the lab.,same_sentence,1,target,1.0,question,"Same sentence:
The gardener fixed the problem in the lab.
Same:","The gardener fixed the problem in the lab.
The gardener fixed the problem in the lab?
The",89.0,1.0,0.0004041558422613889,156.0,0.8543455600738525,1.0,1.0,1.0,1.0
distilgpt2,question,in_template,The gardener fixed the problem in the lab.,same_sentence,1,wrong_marker,1.0,exclamation,"Same sentence:
The gardener fixed the problem in the lab.
Same:","The gardener fixed the problem in the lab.
The gardener fixed the problem!
The gardener fixed",93.0,0.0,0.00015117791190277785,379.0,0.000699939439073205,33.0,0.0,0.0,0.0
distilgpt2,question,in_template,The gardener fixed the problem in the lab.,same_sentence,1,random_norm,1.0,random_norm,"Same sentence:
The gardener fixed the problem in the lab.
Same:","The gardener fixed the problem in the lab.
Same sentence:
The gardener fixed the problem in the",95.0,0.0,0.00018959183944389224,253.0,0.002192914253100753,18.0,0.0,0.0,0.0
distilgpt2,question,in_template,The gardener fixed the problem in the lab.,same_sentence,1,negative_target,1.0,question,"Same sentence:
The gardener fixed the problem in the lab.
Same:","The gardener fixed the problem in the lab.
The gardener fixed the problem in the lab.
The",89.0,0.0,6.406547618098557e-05,951.0,0.00021445976744871587,103.0,0.0,0.0,0.0
distilgpt2,question,in_template,The analyst tested the system in the lab.,copy_sentence,1,none,0.0,,"Copy this sentence:
The analyst tested the system in the lab.
Copy:","The analyst tested the system in the lab.
Copy:
The analyst tested the system in the lab.",89.0,0.0,0.000284031470073387,335.0,0.000284031470073387,42.0,0.0,0.0,0.0
distilgpt2,question,in_template,The analyst tested the system in the lab.,copy_sentence,1,target,1.0,question,"Copy this sentence:
The analyst tested the system in the lab.
Copy:",,0.0,0.0,0.0009743403061293066,102.0,0.01405168604105711,2.0,0.0,1.0,1.0
distilgpt2,question,in_template,The analyst tested the system in the lab.,copy_sentence,1,wrong_marker,1.0,exclamation,"Copy this sentence:
The analyst tested the system in the lab.
Copy:","The analyst tested the system in the lab.
The analyst tested the system!
The analyst!!!!",88.0,0.0,0.00035912729799747467,251.0,0.0008189044892787933,33.0,0.0,0.0,0.0
distilgpt2,question,in_template,The analyst tested the system in the lab.,copy_sentence,1,random_norm,1.0,random_norm,"Copy this sentence:
The analyst tested the system in the lab.
Copy:","The analyst tested the system in the lab.
The analyst tested the system in the lab.
The analyst tested",102.0,0.0,0.00026145120500586927,248.0,0.00026145120500586927,81.0,0.0,0.0,0.0
distilgpt2,question,in_template,The analyst tested the system in the lab.,copy_sentence,1,negative_target,1.0,question,"Copy this sentence:
The analyst tested the system in the lab.
Copy:","The analyst tested the system.
The analyst tested the system.
The analyst tested the system.
The analyst",104.0,0.0,5.7622266467660666e-05,1854.0,0.0002862122200895101,133.0,0.0,0.0,0.0
distilgpt2,question,in_template,The analyst tested the system in the lab.,same_sentence,1,none,0.0,,"Same sentence:
The analyst tested the system in the lab.
Same:","The analyst tested the system in the lab.
Same:
The analyst tested the system in the lab.",89.0,0.0,9.977279114536941e-05,535.0,0.00013913495058659464,16.0,0.0,0.0,0.0
distilgpt2,question,in_template,The analyst tested the system in the lab.,same_sentence,1,target,1.0,question,"Same sentence:
The analyst tested the system in the lab.
Same:","The analyst tested the system.
The analyst tested the system?
The analyst?
The analyst?
The",91.0,1.0,0.0003103829512838274,222.0,0.9128898978233337,1.0,1.0,1.0,1.0
distilgpt2,question,in_template,The analyst tested the system in the lab.,same_sentence,1,wrong_marker,1.0,exclamation,"Same sentence:
The analyst tested the system in the lab.
Same:","The analyst tested the system in the lab.
The analyst tested the system!
The analyst tested!!!",94.0,0.0,0.00012191325367894024,489.0,0.0010673357173800468,30.0,0.0,0.0,0.0
distilgpt2,question,in_template,The analyst tested the system in the lab.,same_sentence,1,random_norm,1.0,random_norm,"Same sentence:
The analyst tested the system in the lab.
Same:","The analyst tested the system in the lab.
The analyst tested the system in the lab.
The analyst test",100.0,0.0,0.00019528871052898467,389.0,0.01038872729986906,8.0,0.0,0.0,1.0
distilgpt2,question,in_template,The analyst tested the system in the lab.,same_sentence,1,negative_target,1.0,question,"Same sentence:
The analyst tested the system in the lab.
Same:","The analyst tested the system in the lab.
The analyst tested the system in the lab.
The analyst tested",102.0,0.0,6.247085548238829e-05,1108.0,0.00015920604346320033,134.0,0.0,0.0,0.0
distilgpt2,question,in_template,The teacher fixed the problem on Monday.,copy_sentence,1,none,0.0,,"Copy this sentence:
The teacher fixed the problem on Monday.
Copy:","The teacher fixed the problem on Monday.
Copy:
The teacher fixed the problem on Monday.
Copy:",93.0,0.0,0.0003196388715878129,317.0,0.0003196388715878129,32.0,0.0,0.0,0.0
