template_id,source,op_a,op_b,pair,ab_text,ba_text
2,The dragon confirmed the answer.,Q,M,QM_vs_MQ,Could the dragon allegedly confirm the answer?,Is it alleged that the dragon confirmed the answer?
2,The dragon confirmed the answer.,Q,T,QT_vs_TQ,Could the dragon confirm the answer tomorrow?,Will the dragon confirm the answer tomorrow?
2,The dragon confirmed the answer.,M,T,MT_vs_TM,The dragon will allegedly confirm the answer tomorrow.,The dragon was allegedly going to confirm the answer.
3,The doctor guarded the treasure.,N,Q,NQ_vs_QN,Could the doctor fail to guard the treasure?,Is it false that the doctor guarded the treasure?
3,The doctor guarded the treasure.,N,M,NM_vs_MN,The doctor allegedly failed to guard the treasure.,The doctor failed to allegedly guard the treasure.
3,The doctor guarded the treasure.,N,T,NT_vs_TN,The doctor will fail to guard the treasure tomorrow.,The doctor failed to have guarded the treasure earlier.
3,The doctor guarded the treasure.,Q,M,QM_vs_MQ,Could the doctor allegedly guard the treasure?,Is it alleged that the doctor guarded the treasure?
3,The doctor guarded the treasure.,Q,T,QT_vs_TQ,Could the doctor guard the treasure tomorrow?,Will the doctor guard the treasure tomorrow?
3,The doctor guarded the treasure.,M,T,MT_vs_TM,The doctor will allegedly guard the treasure tomorrow.,The doctor was allegedly going to guard the treasure.
4,The pirate approved the treatment.,N,Q,NQ_vs_QN,Could the pirate fail to approve the treatment?,Is it false that the pirate approved the treatment?
4,The pirate approved the treatment.,N,M,NM_vs_MN,The pirate allegedly failed to approve the treatment.,The pirate failed to allegedly approve the treatment.
4,The pirate approved the treatment.,N,T,NT_vs_TN,The pirate will fail to approve the treatment tomorrow.,The pirate failed to have approved the treatment earlier.
4,The pirate approved the treatment.,Q,M,QM_vs_MQ,Could the pirate allegedly approve the treatment?,Is it alleged that the pirate approved the treatment?
4,The pirate approved the treatment.,Q,T,QT_vs_TQ,Could the pirate approve the treatment tomorrow?,Will the pirate approve the treatment tomorrow?
4,The pirate approved the treatment.,M,T,MT_vs_TM,The pirate will allegedly approve the treatment tomorrow.,The pirate was allegedly going to approve the treatment.
5,The analyst verified the report.,N,Q,NQ_vs_QN,Could the analyst fail to verify the report?,Is it false that the analyst verified the report?
5,The analyst verified the report.,N,M,NM_vs_MN,The analyst allegedly failed to verify the report.,The analyst failed to allegedly verify the report.
5,The analyst verified the report.,N,T,NT_vs_TN,The analyst will fail to verify the report tomorrow.,The analyst failed to have verified the report earlier.
5,The analyst verified the report.,Q,M,QM_vs_MQ,Could the analyst allegedly verify the report?,Is it alleged that the analyst verified the report?
5,The analyst verified the report.,Q,T,QT_vs_TQ,Could the analyst verify the report tomorrow?,Will the analyst verify the report tomorrow?
5,The analyst verified the report.,M,T,MT_vs_TM,The analyst will allegedly verify the report tomorrow.,The analyst was allegedly going to verify the report.
6,The wizard opened the portal.,N,Q,NQ_vs_QN,Could the wizard fail to open the portal?,Is it false that the wizard opened the portal?
6,The wizard opened the portal.,N,M,NM_vs_MN,The wizard allegedly failed to open the portal.,The wizard failed to allegedly open the portal.
6,The wizard opened the portal.,N,T,NT_vs_TN,The wizard will fail to open the portal tomorrow.,The wizard failed to have opened the portal earlier.
6,The wizard opened the portal.,Q,M,QM_vs_MQ,Could the wizard allegedly open the portal?,Is it alleged that the wizard opened the portal?
6,The wizard opened the portal.,Q,T,QT_vs_TQ,Could the wizard open the portal tomorrow?,Will the wizard open the portal tomorrow?
6,The wizard opened the portal.,M,T,MT_vs_TM,The wizard will allegedly open the portal tomorrow.,The wizard was allegedly going to open the portal.
7,The oracle confirmed the answer.,N,Q,NQ_vs_QN,Could the oracle fail to confirm the answer?,Is it false that the oracle confirmed the answer?
7,The oracle confirmed the answer.,N,M,NM_vs_MN,The oracle allegedly failed to confirm the answer.,The oracle failed to allegedly confirm the answer.
7,The oracle confirmed the answer.,N,T,NT_vs_TN,The oracle will fail to confirm the answer tomorrow.,The oracle failed to have confirmed the answer earlier.
7,The oracle confirmed the answer.,Q,M,QM_vs_MQ,Could the oracle allegedly confirm the answer?,Is it alleged that the oracle confirmed the answer?
7,The oracle confirmed the answer.,Q,T,QT_vs_TQ,Could the oracle confirm the answer tomorrow?,Will the oracle confirm the answer tomorrow?
7,The oracle confirmed the answer.,M,T,MT_vs_TM,The oracle will allegedly confirm the answer tomorrow.,The oracle was allegedly going to confirm the answer.
8,The robot opened the portal.,N,Q,NQ_vs_QN,Could the robot fail to open the portal?,Is it false that the robot opened the portal?
8,The robot opened the portal.,N,M,NM_vs_MN,The robot allegedly failed to open the portal.,The robot failed to allegedly open the portal.
8,The robot opened the portal.,N,T,NT_vs_TN,The robot will fail to open the portal tomorrow.,The robot failed to have opened the portal earlier.
8,The robot opened the portal.,Q,M,QM_vs_MQ,Could the robot allegedly open the portal?,Is it alleged that the robot opened the portal?
8,The robot opened the portal.,Q,T,QT_vs_TQ,Could the robot open the portal tomorrow?,Will the robot open the portal tomorrow?
8,The robot opened the portal.,M,T,MT_vs_TM,The robot will allegedly open the portal tomorrow.,The robot was allegedly going to open the portal.
9,The programmer verified the report.,N,Q,NQ_vs_QN,Could the programmer fail to verify the report?,Is it false that the programmer verified the report?
9,The programmer verified the report.,N,M,NM_vs_MN,The programmer allegedly failed to verify the report.,The programmer failed to allegedly verify the report.
9,The programmer verified the report.,N,T,NT_vs_TN,The programmer will fail to verify the report tomorrow.,The programmer failed to have verified the report earlier.
9,The programmer verified the report.,Q,M,QM_vs_MQ,Could the programmer allegedly verify the report?,Is it alleged that the programmer verified the report?
9,The programmer verified the report.,Q,T,QT_vs_TQ,Could the programmer verify the report tomorrow?,Will the programmer verify the report tomorrow?
9,The programmer verified the report.,M,T,MT_vs_TM,The programmer will allegedly verify the report tomorrow.,The programmer was allegedly going to verify the report.
10,The designer verified the report.,N,Q,NQ_vs_QN,Could the designer fail to verify the report?,Is it false that the designer verified the report?
10,The designer verified the report.,N,M,NM_vs_MN,The designer allegedly failed to verify the report.,The designer failed to allegedly verify the report.
10,The designer verified the report.,N,T,NT_vs_TN,The designer will fail to verify the report tomorrow.,The designer failed to have verified the report earlier.
10,The designer verified the report.,Q,M,QM_vs_MQ,Could the designer allegedly verify the report?,Is it alleged that the designer verified the report?
10,The designer verified the report.,Q,T,QT_vs_TQ,Could the designer verify the report tomorrow?,Will the designer verify the report tomorrow?
10,The designer verified the report.,M,T,MT_vs_TM,The designer will allegedly verify the report tomorrow.,The designer was allegedly going to verify the report.
11,The designer opened the portal.,N,Q,NQ_vs_QN,Could the designer fail to open the portal?,Is it false that the designer opened the portal?
11,The designer opened the portal.,N,M,NM_vs_MN,The designer allegedly failed to open the portal.,The designer failed to allegedly open the portal.
11,The designer opened the portal.,N,T,NT_vs_TN,The designer will fail to open the portal tomorrow.,The designer failed to have opened the portal earlier.
11,The designer opened the portal.,Q,M,QM_vs_MQ,Could the designer allegedly open the portal?,Is it alleged that the designer opened the portal?
11,The designer opened the portal.,Q,T,QT_vs_TQ,Could the designer open the portal tomorrow?,Will the designer open the portal tomorrow?
11,The designer opened the portal.,M,T,MT_vs_TM,The designer will allegedly open the portal tomorrow.,The designer was allegedly going to open the portal.
12,The researcher fixed the bug.,N,Q,NQ_vs_QN,Could the researcher fail to fix the bug?,Is it false that the researcher fixed the bug?
12,The researcher fixed the bug.,N,M,NM_vs_MN,The researcher allegedly failed to fix the bug.,The researcher failed to allegedly fix the bug.
12,The researcher fixed the bug.,N,T,NT_vs_TN,The researcher will fail to fix the bug tomorrow.,The researcher failed to have fixed the bug earlier.
12,The researcher fixed the bug.,Q,M,QM_vs_MQ,Could the researcher allegedly fix the bug?,Is it alleged that the researcher fixed the bug?
12,The researcher fixed the bug.,Q,T,QT_vs_TQ,Could the researcher fix the bug tomorrow?,Will the researcher fix the bug tomorrow?
12,The researcher fixed the bug.,M,T,MT_vs_TM,The researcher will allegedly fix the bug tomorrow.,The researcher was allegedly going to fix the bug.
13,The teacher supported the theory.,N,Q,NQ_vs_QN,Could the teacher fail to support the theory?,Is it false that the teacher supported the theory?
13,The teacher supported the theory.,N,M,NM_vs_MN,The teacher allegedly failed to support the theory.,The teacher failed to allegedly support the theory.
13,The teacher supported the theory.,N,T,NT_vs_TN,The teacher will fail to support the theory tomorrow.,The teacher failed to have supported the theory earlier.
13,The teacher supported the theory.,Q,M,QM_vs_MQ,Could the teacher allegedly support the theory?,Is it alleged that the teacher supported the theory?
13,The teacher supported the theory.,Q,T,QT_vs_TQ,Could the teacher support the theory tomorrow?,Will the teacher support the theory tomorrow?
13,The teacher supported the theory.,M,T,MT_vs_TM,The teacher will allegedly support the theory tomorrow.,The teacher was allegedly going to support the theory.
14,The robot completed the repair.,N,Q,NQ_vs_QN,Could the robot fail to complete the repair?,Is it false that the robot completed the repair?
14,The robot completed the repair.,N,M,NM_vs_MN,The robot allegedly failed to complete the repair.,The robot failed to allegedly complete the repair.
14,The robot completed the repair.,N,T,NT_vs_TN,The robot will fail to complete the repair tomorrow.,The robot failed to have completed the repair earlier.
14,The robot completed the repair.,Q,M,QM_vs_MQ,Could the robot allegedly complete the repair?,Is it alleged that the robot completed the repair?
14,The robot completed the repair.,Q,T,QT_vs_TQ,Could the robot complete the repair tomorrow?,Will the robot complete the repair tomorrow?
14,The robot completed the repair.,M,T,MT_vs_TM,The robot will allegedly complete the repair tomorrow.,The robot was allegedly going to complete the repair.
15,The scientist guarded the treasure.,N,Q,NQ_vs_QN,Could the scientist fail to guard the treasure?,Is it false that the scientist guarded the treasure?
15,The scientist guarded the treasure.,N,M,NM_vs_MN,The scientist allegedly failed to guard the treasure.,The scientist failed to allegedly guard the treasure.
15,The scientist guarded the treasure.,N,T,NT_vs_TN,The scientist will fail to guard the treasure tomorrow.,The scientist failed to have guarded the treasure earlier.
15,The scientist guarded the treasure.,Q,M,QM_vs_MQ,Could the scientist allegedly guard the treasure?,Is it alleged that the scientist guarded the treasure?
15,The scientist guarded the treasure.,Q,T,QT_vs_TQ,Could the scientist guard the treasure tomorrow?,Will the scientist guard the treasure tomorrow?
15,The scientist guarded the treasure.,M,T,MT_vs_TM,The scientist will allegedly guard the treasure tomorrow.,The scientist was allegedly going to guard the treasure.
16,The scientist signed the treaty.,N,Q,NQ_vs_QN,Could the scientist fail to sign the treaty?,Is it false that the scientist signed the treaty?
16,The scientist signed the treaty.,N,M,NM_vs_MN,The scientist allegedly failed to sign the treaty.,The scientist failed to allegedly sign the treaty.
16,The scientist signed the treaty.,N,T,NT_vs_TN,The scientist will fail to sign the treaty tomorrow.,The scientist failed to have signed the treaty earlier.
16,The scientist signed the treaty.,Q,M,QM_vs_MQ,Could the scientist allegedly sign the treaty?,Is it alleged that the scientist signed the treaty?
16,The scientist signed the treaty.,Q,T,QT_vs_TQ,Could the scientist sign the treaty tomorrow?,Will the scientist sign the treaty tomorrow?
16,The scientist signed the treaty.,M,T,MT_vs_TM,The scientist will allegedly sign the treaty tomorrow.,The scientist was allegedly going to sign the treaty.
17,The oracle guarded the treasure.,N,Q,NQ_vs_QN,Could the oracle fail to guard the treasure?,Is it false that the oracle guarded the treasure?
17,The oracle guarded the treasure.,N,M,NM_vs_MN,The oracle allegedly failed to guard the treasure.,The oracle failed to allegedly guard the treasure.
17,The oracle guarded the treasure.,N,T,NT_vs_TN,The oracle will fail to guard the treasure tomorrow.,The oracle failed to have guarded the treasure earlier.
17,The oracle guarded the treasure.,Q,M,QM_vs_MQ,Could the oracle allegedly guard the treasure?,Is it alleged that the oracle guarded the treasure?
17,The oracle guarded the treasure.,Q,T,QT_vs_TQ,Could the oracle guard the treasure tomorrow?,Will the oracle guard the treasure tomorrow?
17,The oracle guarded the treasure.,M,T,MT_vs_TM,The oracle will allegedly guard the treasure tomorrow.,The oracle was allegedly going to guard the treasure.
18,The queen signed the treaty.,N,Q,NQ_vs_QN,Could the queen fail to sign the treaty?,Is it false that the queen signed the treaty?
18,The queen signed the treaty.,N,M,NM_vs_MN,The queen allegedly failed to sign the treaty.,The queen failed to allegedly sign the treaty.
18,The queen signed the treaty.,N,T,NT_vs_TN,The queen will fail to sign the treaty tomorrow.,The queen failed to have signed the treaty earlier.
18,The queen signed the treaty.,Q,M,QM_vs_MQ,Could the queen allegedly sign the treaty?,Is it alleged that the queen signed the treaty?
18,The queen signed the treaty.,Q,T,QT_vs_TQ,Could the queen sign the treaty tomorrow?,Will the queen sign the treaty tomorrow?
18,The queen signed the treaty.,M,T,MT_vs_TM,The queen will allegedly sign the treaty tomorrow.,The queen was allegedly going to sign the treaty.
19,The wizard guarded the treasure.,N,Q,NQ_vs_QN,Could the wizard fail to guard the treasure?,Is it false that the wizard guarded the treasure?
19,The wizard guarded the treasure.,N,M,NM_vs_MN,The wizard allegedly failed to guard the treasure.,The wizard failed to allegedly guard the treasure.
19,The wizard guarded the treasure.,N,T,NT_vs_TN,The wizard will fail to guard the treasure tomorrow.,The wizard failed to have guarded the treasure earlier.
19,The wizard guarded the treasure.,Q,M,QM_vs_MQ,Could the wizard allegedly guard the treasure?,Is it alleged that the wizard guarded the treasure?
19,The wizard guarded the treasure.,Q,T,QT_vs_TQ,Could the wizard guard the treasure tomorrow?,Will the wizard guard the treasure tomorrow?
19,The wizard guarded the treasure.,M,T,MT_vs_TM,The wizard will allegedly guard the treasure tomorrow.,The wizard was allegedly going to guard the treasure.
20,The queen supported the theory.,N,Q,NQ_vs_QN,Could the queen fail to support the theory?,Is it false that the queen supported the theory?
20,The queen supported the theory.,N,M,NM_vs_MN,The queen allegedly failed to support the theory.,The queen failed to allegedly support the theory.
20,The queen supported the theory.,N,T,NT_vs_TN,The queen will fail to support the theory tomorrow.,The queen failed to have supported the theory earlier.
20,The queen supported the theory.,Q,M,QM_vs_MQ,Could the queen allegedly support the theory?,Is it alleged that the queen supported the theory?
20,The queen supported the theory.,Q,T,QT_vs_TQ,Could the queen support the theory tomorrow?,Will the queen support the theory tomorrow?
20,The queen supported the theory.,M,T,MT_vs_TM,The queen will allegedly support the theory tomorrow.,The queen was allegedly going to support the theory.
21,The scientist approved the treatment.,N,Q,NQ_vs_QN,Could the scientist fail to approve the treatment?,Is it false that the scientist approved the treatment?
21,The scientist approved the treatment.,N,M,NM_vs_MN,The scientist allegedly failed to approve the treatment.,The scientist failed to allegedly approve the treatment.
21,The scientist approved the treatment.,N,T,NT_vs_TN,The scientist will fail to approve the treatment tomorrow.,The scientist failed to have approved the treatment earlier.
21,The scientist approved the treatment.,Q,M,QM_vs_MQ,Could the scientist allegedly approve the treatment?,Is it alleged that the scientist approved the treatment?
21,The scientist approved the treatment.,Q,T,QT_vs_TQ,Could the scientist approve the treatment tomorrow?,Will the scientist approve the treatment tomorrow?
21,The scientist approved the treatment.,M,T,MT_vs_TM,The scientist will allegedly approve the treatment tomorrow.,The scientist was allegedly going to approve the treatment.
22,The researcher accepted the explanation.,N,Q,NQ_vs_QN,Could the researcher fail to accept the explanation?,Is it false that the researcher accepted the explanation?
22,The researcher accepted the explanation.,N,M,NM_vs_MN,The researcher allegedly failed to accept the explanation.,The researcher failed to allegedly accept the explanation.
22,The researcher accepted the explanation.,N,T,NT_vs_TN,The researcher will fail to accept the explanation tomorrow.,The researcher failed to have accepted the explanation earlier.
22,The researcher accepted the explanation.,Q,M,QM_vs_MQ,Could the researcher allegedly accept the explanation?,Is it alleged that the researcher accepted the explanation?
22,The researcher accepted the explanation.,Q,T,QT_vs_TQ,Could the researcher accept the explanation tomorrow?,Will the researcher accept the explanation tomorrow?
22,The researcher accepted the explanation.,M,T,MT_vs_TM,The researcher will allegedly accept the explanation tomorrow.,The researcher was allegedly going to accept the explanation.
23,The researcher verified the report.,N,Q,NQ_vs_QN,Could the researcher fail to verify the report?,Is it false that the researcher verified the report?
23,The researcher verified the report.,N,M,NM_vs_MN,The researcher allegedly failed to verify the report.,The researcher failed to allegedly verify the report.
23,The researcher verified the report.,N,T,NT_vs_TN,The researcher will fail to verify the report tomorrow.,The researcher failed to have verified the report earlier.
23,The researcher verified the report.,Q,M,QM_vs_MQ,Could the researcher allegedly verify the report?,Is it alleged that the researcher verified the report?
23,The researcher verified the report.,Q,T,QT_vs_TQ,Could the researcher verify the report tomorrow?,Will the researcher verify the report tomorrow?
23,The researcher verified the report.,M,T,MT_vs_TM,The researcher will allegedly verify the report tomorrow.,The researcher was allegedly going to verify the report.
24,The scientist opened the portal.,N,Q,NQ_vs_QN,Could the scientist fail to open the portal?,Is it false that the scientist opened the portal?
24,The scientist opened the portal.,N,M,NM_vs_MN,The scientist allegedly failed to open the portal.,The scientist failed to allegedly open the portal.
24,The scientist opened the portal.,N,T,NT_vs_TN,The scientist will fail to open the portal tomorrow.,The scientist failed to have opened the portal earlier.
24,The scientist opened the portal.,Q,M,QM_vs_MQ,Could the scientist allegedly open the portal?,Is it alleged that the scientist opened the portal?
24,The scientist opened the portal.,Q,T,QT_vs_TQ,Could the scientist open the portal tomorrow?,Will the scientist open the portal tomorrow?
24,The scientist opened the portal.,M,T,MT_vs_TM,The scientist will allegedly open the portal tomorrow.,The scientist was allegedly going to open the portal.
25,The robot confirmed the answer.,N,Q,NQ_vs_QN,Could the robot fail to confirm the answer?,Is it false that the robot confirmed the answer?
25,The robot confirmed the answer.,N,M,NM_vs_MN,The robot allegedly failed to confirm the answer.,The robot failed to allegedly confirm the answer.
25,The robot confirmed the answer.,N,T,NT_vs_TN,The robot will fail to confirm the answer tomorrow.,The robot failed to have confirmed the answer earlier.
25,The robot confirmed the answer.,Q,M,QM_vs_MQ,Could the robot allegedly confirm the answer?,Is it alleged that the robot confirmed the answer?
25,The robot confirmed the answer.,Q,T,QT_vs_TQ,Could the robot confirm the answer tomorrow?,Will the robot confirm the answer tomorrow?
25,The robot confirmed the answer.,M,T,MT_vs_TM,The robot will allegedly confirm the answer tomorrow.,The robot was allegedly going to confirm the answer.
26,The queen accepted the explanation.,N,Q,NQ_vs_QN,Could the queen fail to accept the explanation?,Is it false that the queen accepted the explanation?
26,The queen accepted the explanation.,N,M,NM_vs_MN,The queen allegedly failed to accept the explanation.,The queen failed to allegedly accept the explanation.
26,The queen accepted the explanation.,N,T,NT_vs_TN,The queen will fail to accept the explanation tomorrow.,The queen failed to have accepted the explanation earlier.
26,The queen accepted the explanation.,Q,M,QM_vs_MQ,Could the queen allegedly accept the explanation?,Is it alleged that the queen accepted the explanation?
26,The queen accepted the explanation.,Q,T,QT_vs_TQ,Could the queen accept the explanation tomorrow?,Will the queen accept the explanation tomorrow?
26,The queen accepted the explanation.,M,T,MT_vs_TM,The queen will allegedly accept the explanation tomorrow.,The queen was allegedly going to accept the explanation.
27,The teacher accepted the explanation.,N,Q,NQ_vs_QN,Could the teacher fail to accept the explanation?,Is it false that the teacher accepted the explanation?
27,The teacher accepted the explanation.,N,M,NM_vs_MN,The teacher allegedly failed to accept the explanation.,The teacher failed to allegedly accept the explanation.
27,The teacher accepted the explanation.,N,T,NT_vs_TN,The teacher will fail to accept the explanation tomorrow.,The teacher failed to have accepted the explanation earlier.
27,The teacher accepted the explanation.,Q,M,QM_vs_MQ,Could the teacher allegedly accept the explanation?,Is it alleged that the teacher accepted the explanation?
27,The teacher accepted the explanation.,Q,T,QT_vs_TQ,Could the teacher accept the explanation tomorrow?,Will the teacher accept the explanation tomorrow?
27,The teacher accepted the explanation.,M,T,MT_vs_TM,The teacher will allegedly accept the explanation tomorrow.,The teacher was allegedly going to accept the explanation.
28,The doctor approved the treatment.,N,Q,NQ_vs_QN,Could the doctor fail to approve the treatment?,Is it false that the doctor approved the treatment?
28,The doctor approved the treatment.,N,M,NM_vs_MN,The doctor allegedly failed to approve the treatment.,The doctor failed to allegedly approve the treatment.
28,The doctor approved the treatment.,N,T,NT_vs_TN,The doctor will fail to approve the treatment tomorrow.,The doctor failed to have approved the treatment earlier.
28,The doctor approved the treatment.,Q,M,QM_vs_MQ,Could the doctor allegedly approve the treatment?,Is it alleged that the doctor approved the treatment?
28,The doctor approved the treatment.,Q,T,QT_vs_TQ,Could the doctor approve the treatment tomorrow?,Will the doctor approve the treatment tomorrow?
28,The doctor approved the treatment.,M,T,MT_vs_TM,The doctor will allegedly approve the treatment tomorrow.,The doctor was allegedly going to approve the treatment.
29,The dragon fixed the bug.,N,Q,NQ_vs_QN,Could the dragon fail to fix the bug?,Is it false that the dragon fixed the bug?
29,The dragon fixed the bug.,N,M,NM_vs_MN,The dragon allegedly failed to fix the bug.,The dragon failed to allegedly fix the bug.
29,The dragon fixed the bug.,N,T,NT_vs_TN,The dragon will fail to fix the bug tomorrow.,The dragon failed to have fixed the bug earlier.
29,The dragon fixed the bug.,Q,M,QM_vs_MQ,Could the dragon allegedly fix the bug?,Is it alleged that the dragon fixed the bug?
29,The dragon fixed the bug.,Q,T,QT_vs_TQ,Could the dragon fix the bug tomorrow?,Will the dragon fix the bug tomorrow?
29,The dragon fixed the bug.,M,T,MT_vs_TM,The dragon will allegedly fix the bug tomorrow.,The dragon was allegedly going to fix the bug.
30,The manager signed the treaty.,N,Q,NQ_vs_QN,Could the manager fail to sign the treaty?,Is it false that the manager signed the treaty?
30,The manager signed the treaty.,N,M,NM_vs_MN,The manager allegedly failed to sign the treaty.,The manager failed to allegedly sign the treaty.
30,The manager signed the treaty.,N,T,NT_vs_TN,The manager will fail to sign the treaty tomorrow.,The manager failed to have signed the treaty earlier.
30,The manager signed the treaty.,Q,M,QM_vs_MQ,Could the manager allegedly sign the treaty?,Is it alleged that the manager signed the treaty?
30,The manager signed the treaty.,Q,T,QT_vs_TQ,Could the manager sign the treaty tomorrow?,Will the manager sign the treaty tomorrow?
30,The manager signed the treaty.,M,T,MT_vs_TM,The manager will allegedly sign the treaty tomorrow.,The manager was allegedly going to sign the treaty.
31,The researcher confirmed the answer.,N,Q,NQ_vs_QN,Could the researcher fail to confirm the answer?,Is it false that the researcher confirmed the answer?
31,The researcher confirmed the answer.,N,M,NM_vs_MN,The researcher allegedly failed to confirm the answer.,The researcher failed to allegedly confirm the answer.
31,The researcher confirmed the answer.,N,T,NT_vs_TN,The researcher will fail to confirm the answer tomorrow.,The researcher failed to have confirmed the answer earlier.
31,The researcher confirmed the answer.,Q,M,QM_vs_MQ,Could the researcher allegedly confirm the answer?,Is it alleged that the researcher confirmed the answer?
31,The researcher confirmed the answer.,Q,T,QT_vs_TQ,Could the researcher confirm the answer tomorrow?,Will the researcher confirm the answer tomorrow?
31,The researcher confirmed the answer.,M,T,MT_vs_TM,The researcher will allegedly confirm the answer tomorrow.,The researcher was allegedly going to confirm the answer.
32,The oracle completed the repair.,N,Q,NQ_vs_QN,Could the oracle fail to complete the repair?,Is it false that the oracle completed the repair?
32,The oracle completed the repair.,N,M,NM_vs_MN,The oracle allegedly failed to complete the repair.,The oracle failed to allegedly complete the repair.
32,The oracle completed the repair.,N,T,NT_vs_TN,The oracle will fail to complete the repair tomorrow.,The oracle failed to have completed the repair earlier.
32,The oracle completed the repair.,Q,M,QM_vs_MQ,Could the oracle allegedly complete the repair?,Is it alleged that the oracle completed the repair?
32,The oracle completed the repair.,Q,T,QT_vs_TQ,Could the oracle complete the repair tomorrow?,Will the oracle complete the repair tomorrow?
32,The oracle completed the repair.,M,T,MT_vs_TM,The oracle will allegedly complete the repair tomorrow.,The oracle was allegedly going to complete the repair.
33,The analyst opened the portal.,N,Q,NQ_vs_QN,Could the analyst fail to open the portal?,Is it false that the analyst opened the portal?
33,The analyst opened the portal.,N,M,NM_vs_MN,The analyst allegedly failed to open the portal.,The analyst failed to allegedly open the portal.
33,The analyst opened the portal.,N,T,NT_vs_TN,The analyst will fail to open the portal tomorrow.,The analyst failed to have opened the portal earlier.
33,The analyst opened the portal.,Q,M,QM_vs_MQ,Could the analyst allegedly open the portal?,Is it alleged that the analyst opened the portal?
33,The analyst opened the portal.,Q,T,QT_vs_TQ,Could the analyst open the portal tomorrow?,Will the analyst open the portal tomorrow?
33,The analyst opened the portal.,M,T,MT_vs_TM,The analyst will allegedly open the portal tomorrow.,The analyst was allegedly going to open the portal.
34,The doctor opened the portal.,N,Q,NQ_vs_QN,Could the doctor fail to open the portal?,Is it false that the doctor opened the portal?
34,The doctor opened the portal.,N,M,NM_vs_MN,The doctor allegedly failed to open the portal.,The doctor failed to allegedly open the portal.
34,The doctor opened the portal.,N,T,NT_vs_TN,The doctor will fail to open the portal tomorrow.,The doctor failed to have opened the portal earlier.
34,The doctor opened the portal.,Q,M,QM_vs_MQ,Could the doctor allegedly open the portal?,Is it alleged that the doctor opened the portal?
34,The doctor opened the portal.,Q,T,QT_vs_TQ,Could the doctor open the portal tomorrow?,Will the doctor open the portal tomorrow?
34,The doctor opened the portal.,M,T,MT_vs_TM,The doctor will allegedly open the portal tomorrow.,The doctor was allegedly going to open the portal.
35,The queen fixed the bug.,N,Q,NQ_vs_QN,Could the queen fail to fix the bug?,Is it false that the queen fixed the bug?
35,The queen fixed the bug.,N,M,NM_vs_MN,The queen allegedly failed to fix the bug.,The queen failed to allegedly fix the bug.
35,The queen fixed the bug.,N,T,NT_vs_TN,The queen will fail to fix the bug tomorrow.,The queen failed to have fixed the bug earlier.
35,The queen fixed the bug.,Q,M,QM_vs_MQ,Could the queen allegedly fix the bug?,Is it alleged that the queen fixed the bug?
35,The queen fixed the bug.,Q,T,QT_vs_TQ,Could the queen fix the bug tomorrow?,Will the queen fix the bug tomorrow?
35,The queen fixed the bug.,M,T,MT_vs_TM,The queen will allegedly fix the bug tomorrow.,The queen was allegedly going to fix the bug.
36,The scientist fixed the bug.,N,Q,NQ_vs_QN,Could the scientist fail to fix the bug?,Is it false that the scientist fixed the bug?
36,The scientist fixed the bug.,N,M,NM_vs_MN,The scientist allegedly failed to fix the bug.,The scientist failed to allegedly fix the bug.
36,The scientist fixed the bug.,N,T,NT_vs_TN,The scientist will fail to fix the bug tomorrow.,The scientist failed to have fixed the bug earlier.
