split,class,source,target
train,exclamation,The researcher fixed the problem before lunch.,The researcher fixed the problem before lunch!
train,ellipsis,The researcher fixed the problem before lunch.,The researcher fixed the problem before lunch...
train,question,The artist tested the system before lunch.,The artist tested the system before lunch?
train,exclamation,The artist tested the system before lunch.,The artist tested the system before lunch!
train,ellipsis,The artist tested the system before lunch.,The artist tested the system before lunch...
train,question,The artist fixed the problem during the session.,The artist fixed the problem during the session?
train,exclamation,The artist fixed the problem during the session.,The artist fixed the problem during the session!
train,ellipsis,The artist fixed the problem during the session.,The artist fixed the problem during the session...
train,question,The artist opened the archive for the team.,The artist opened the archive for the team?
train,exclamation,The artist opened the archive for the team.,The artist opened the archive for the team!
train,ellipsis,The artist opened the archive for the team.,The artist opened the archive for the team...
train,question,The researcher published the note on Monday.,The researcher published the note on Monday?
train,exclamation,The researcher published the note on Monday.,The researcher published the note on Monday!
train,ellipsis,The researcher published the note on Monday.,The researcher published the note on Monday...
train,question,The doctor tested the system during the session.,The doctor tested the system during the session?
train,exclamation,The doctor tested the system during the session.,The doctor tested the system during the session!
train,ellipsis,The doctor tested the system during the session.,The doctor tested the system during the session...
train,question,The gardener updated the report in the lab.,The gardener updated the report in the lab?
train,exclamation,The gardener updated the report in the lab.,The gardener updated the report in the lab!
train,ellipsis,The gardener updated the report in the lab.,The gardener updated the report in the lab...
train,question,The doctor published the note after the meeting.,The doctor published the note after the meeting?
train,exclamation,The doctor published the note after the meeting.,The doctor published the note after the meeting!
train,ellipsis,The doctor published the note after the meeting.,The doctor published the note after the meeting...
train,question,The gardener cleaned the dataset without delay.,The gardener cleaned the dataset without delay?
train,exclamation,The gardener cleaned the dataset without delay.,The gardener cleaned the dataset without delay!
train,ellipsis,The gardener cleaned the dataset without delay.,The gardener cleaned the dataset without delay...
train,question,The teacher fixed the problem today.,The teacher fixed the problem today?
train,exclamation,The teacher fixed the problem today.,The teacher fixed the problem today!
train,ellipsis,The teacher fixed the problem today.,The teacher fixed the problem today...
train,question,The researcher checked the result before lunch.,The researcher checked the result before lunch?
train,exclamation,The researcher checked the result before lunch.,The researcher checked the result before lunch!
train,ellipsis,The researcher checked the result before lunch.,The researcher checked the result before lunch...
train,question,The teacher cleaned the dataset without delay.,The teacher cleaned the dataset without delay?
train,exclamation,The teacher cleaned the dataset without delay.,The teacher cleaned the dataset without delay!
train,ellipsis,The teacher cleaned the dataset without delay.,The teacher cleaned the dataset without delay...
train,question,The writer cleaned the dataset in the lab.,The writer cleaned the dataset in the lab?
train,exclamation,The writer cleaned the dataset in the lab.,The writer cleaned the dataset in the lab!
train,ellipsis,The writer cleaned the dataset in the lab.,The writer cleaned the dataset in the lab...
train,question,The gardener tested the system today.,The gardener tested the system today?
train,exclamation,The gardener tested the system today.,The gardener tested the system today!
train,ellipsis,The gardener tested the system today.,The gardener tested the system today...
train,question,The engineer designed the prototype on Monday.,The engineer designed the prototype on Monday?
train,exclamation,The engineer designed the prototype on Monday.,The engineer designed the prototype on Monday!
train,ellipsis,The engineer designed the prototype on Monday.,The engineer designed the prototype on Monday...
train,question,The researcher reviewed the plan on Monday.,The researcher reviewed the plan on Monday?
train,exclamation,The researcher reviewed the plan on Monday.,The researcher reviewed the plan on Monday!
train,ellipsis,The researcher reviewed the plan on Monday.,The researcher reviewed the plan on Monday...
train,question,The engineer measured the signal during the session.,The engineer measured the signal during the session?
train,exclamation,The engineer measured the signal during the session.,The engineer measured the signal during the session!
train,ellipsis,The engineer measured the signal during the session.,The engineer measured the signal during the session...
train,question,The manager published the note before lunch.,The manager published the note before lunch?
train,exclamation,The manager published the note before lunch.,The manager published the note before lunch!
train,ellipsis,The manager published the note before lunch.,The manager published the note before lunch...
train,question,The doctor designed the prototype after the meeting.,The doctor designed the prototype after the meeting?
train,exclamation,The doctor designed the prototype after the meeting.,The doctor designed the prototype after the meeting!
train,ellipsis,The doctor designed the prototype after the meeting.,The doctor designed the prototype after the meeting...
train,question,The engineer reviewed the plan during the session.,The engineer reviewed the plan during the session?
train,exclamation,The engineer reviewed the plan during the session.,The engineer reviewed the plan during the session!
train,ellipsis,The engineer reviewed the plan during the session.,The engineer reviewed the plan during the session...
train,question,The artist explained the pattern without delay.,The artist explained the pattern without delay?
train,exclamation,The artist explained the pattern without delay.,The artist explained the pattern without delay!
train,ellipsis,The artist explained the pattern without delay.,The artist explained the pattern without delay...
train,question,The engineer designed the prototype without delay.,The engineer designed the prototype without delay?
train,exclamation,The engineer designed the prototype without delay.,The engineer designed the prototype without delay!
train,ellipsis,The engineer designed the prototype without delay.,The engineer designed the prototype without delay...
train,question,The student updated the report during the session.,The student updated the report during the session?
train,exclamation,The student updated the report during the session.,The student updated the report during the session!
train,ellipsis,The student updated the report during the session.,The student updated the report during the session...
train,question,The analyst reviewed the plan in the lab.,The analyst reviewed the plan in the lab?
train,exclamation,The analyst reviewed the plan in the lab.,The analyst reviewed the plan in the lab!
train,ellipsis,The analyst reviewed the plan in the lab.,The analyst reviewed the plan in the lab...
train,question,The artist fixed the problem after the meeting.,The artist fixed the problem after the meeting?
train,exclamation,The artist fixed the problem after the meeting.,The artist fixed the problem after the meeting!
train,ellipsis,The artist fixed the problem after the meeting.,The artist fixed the problem after the meeting...
train,question,The doctor cleaned the dataset without delay.,The doctor cleaned the dataset without delay?
train,exclamation,The doctor cleaned the dataset without delay.,The doctor cleaned the dataset without delay!
train,ellipsis,The doctor cleaned the dataset without delay.,The doctor cleaned the dataset without delay...
train,question,The musician opened the archive for the team.,The musician opened the archive for the team?
train,exclamation,The musician opened the archive for the team.,The musician opened the archive for the team!
train,ellipsis,The musician opened the archive for the team.,The musician opened the archive for the team...
train,question,The artist checked the result near the station.,The artist checked the result near the station?
train,exclamation,The artist checked the result near the station.,The artist checked the result near the station!
train,ellipsis,The artist checked the result near the station.,The artist checked the result near the station...
train,question,The student reviewed the plan without delay.,The student reviewed the plan without delay?
train,exclamation,The student reviewed the plan without delay.,The student reviewed the plan without delay!
train,ellipsis,The student reviewed the plan without delay.,The student reviewed the plan without delay...
train,question,The pilot tested the system during the session.,The pilot tested the system during the session?
train,exclamation,The pilot tested the system during the session.,The pilot tested the system during the session!
train,ellipsis,The pilot tested the system during the session.,The pilot tested the system during the session...
train,question,The researcher published the note before lunch.,The researcher published the note before lunch?
train,exclamation,The researcher published the note before lunch.,The researcher published the note before lunch!
train,ellipsis,The researcher published the note before lunch.,The researcher published the note before lunch...
train,question,The doctor fixed the problem after the meeting.,The doctor fixed the problem after the meeting?
train,exclamation,The doctor fixed the problem after the meeting.,The doctor fixed the problem after the meeting!
train,ellipsis,The doctor fixed the problem after the meeting.,The doctor fixed the problem after the meeting...
train,question,The gardener explained the pattern near the station.,The gardener explained the pattern near the station?
train,exclamation,The gardener explained the pattern near the station.,The gardener explained the pattern near the station!
train,ellipsis,The gardener explained the pattern near the station.,The gardener explained the pattern near the station...
train,question,The analyst explained the pattern today.,The analyst explained the pattern today?
train,exclamation,The analyst explained the pattern today.,The analyst explained the pattern today!
train,ellipsis,The analyst explained the pattern today.,The analyst explained the pattern today...
train,question,The writer explained the pattern without delay.,The writer explained the pattern without delay?
train,exclamation,The writer explained the pattern without delay.,The writer explained the pattern without delay!
train,ellipsis,The writer explained the pattern without delay.,The writer explained the pattern without delay...
train,question,The engineer checked the result today.,The engineer checked the result today?
train,exclamation,The engineer checked the result today.,The engineer checked the result today!
train,ellipsis,The engineer checked the result today.,The engineer checked the result today...
train,question,The doctor measured the signal with care.,The doctor measured the signal with care?
train,exclamation,The doctor measured the signal with care.,The doctor measured the signal with care!
train,ellipsis,The doctor measured the signal with care.,The doctor measured the signal with care...
train,question,The pilot measured the signal today.,The pilot measured the signal today?
train,exclamation,The pilot measured the signal today.,The pilot measured the signal today!
train,ellipsis,The pilot measured the signal today.,The pilot measured the signal today...
train,question,The engineer checked the result for the team.,The engineer checked the result for the team?
train,exclamation,The engineer checked the result for the team.,The engineer checked the result for the team!
train,ellipsis,The engineer checked the result for the team.,The engineer checked the result for the team...
train,question,The writer checked the result in the lab.,The writer checked the result in the lab?
train,exclamation,The writer checked the result in the lab.,The writer checked the result in the lab!
train,ellipsis,The writer checked the result in the lab.,The writer checked the result in the lab...
train,question,The gardener fixed the problem today.,The gardener fixed the problem today?
train,exclamation,The gardener fixed the problem today.,The gardener fixed the problem today!
train,ellipsis,The gardener fixed the problem today.,The gardener fixed the problem today...
train,question,The doctor fixed the problem for the team.,The doctor fixed the problem for the team?
train,exclamation,The doctor fixed the problem for the team.,The doctor fixed the problem for the team!
train,ellipsis,The doctor fixed the problem for the team.,The doctor fixed the problem for the team...
train,question,The manager reviewed the plan without delay.,The manager reviewed the plan without delay?
train,exclamation,The manager reviewed the plan without delay.,The manager reviewed the plan without delay!
train,ellipsis,The manager reviewed the plan without delay.,The manager reviewed the plan without delay...
train,question,The manager explained the pattern today.,The manager explained the pattern today?
train,exclamation,The manager explained the pattern today.,The manager explained the pattern today!
train,ellipsis,The manager explained the pattern today.,The manager explained the pattern today...
train,question,The gardener reviewed the plan during the session.,The gardener reviewed the plan during the session?
train,exclamation,The gardener reviewed the plan during the session.,The gardener reviewed the plan during the session!
train,ellipsis,The gardener reviewed the plan during the session.,The gardener reviewed the plan during the session...
