language,template_id,kind,label,source,op_a,op_b,op_c,ab_text,ba_text,abc_text,bca_text,cab_text,acb_text,cba_text,bac_text
en,1,triple,NQT,The engineer approved the treatment after the review.,N,Q,T,,,Will it be true that the engineer failed to approve the treatment after the review?,Is it false that the engineer is going to approve the treatment after the review?,Will the engineer failed to approve the treatment after the review?,Will the engineer failed to approve the treatment after the review?,Is it false that the engineer is going to approve the treatment after the review?,Is it false that the engineer is going to approve the treatment after the review?
en,1,triple,NMT,The engineer approved the treatment after the review.,N,M,T,,,The engineer failed to is going to approve allegedly the treatment after the review.,The engineer allegedly did not approve the treatment after the review.,The engineer did not approve allegedly the treatment after the review.,The engineer failed to is going to approve allegedly the treatment after the review.,The engineer did not approve allegedly the treatment after the review.,The engineer allegedly failed to is going to approve the treatment after the review.
en,1,triple,QMT,The engineer approved the treatment after the review.,Q,M,T,,,Is it allegedly true that the engineer is going to approve the treatment after the review?,Will the engineer allegedly approved the treatment after the review?,Is it allegedly true that the engineer is going to approve the treatment after the review?,Is it allegedly true that the engineer is going to approve the treatment after the review?,Will the engineer allegedly approved the treatment after the review?,Will it be true that the engineer allegedly approved the treatment after the review?
en,2,pair,NQ_vs_QN,The doctor confirmed the answer after the review.,N,Q,,Did the doctor fail to confirm the answer after the review?,Is it false that the doctor confirmed the answer after the review?,,,,,,
en,2,pair,NM_vs_MN,The doctor confirmed the answer after the review.,N,M,,The doctor failed to confirm allegedly the answer after the review.,The doctor allegedly failed to confirm the answer after the review.,,,,,,
en,2,pair,NT_vs_TN,The doctor confirmed the answer after the review.,N,T,,The doctor failed to plans to confirm the answer after the review.,The doctor did not confirm the answer after the review.,,,,,,
en,2,pair,QM_vs_MQ,The doctor confirmed the answer after the review.,Q,M,,Is it allegedly true that the doctor confirmed the answer after the review?,Did the doctor allegedly confirm the answer after the review?,,,,,,
en,2,pair,QT_vs_TQ,The doctor confirmed the answer after the review.,Q,T,,Will it be true that the doctor confirmed the answer after the review?,Will the doctor confirmed the answer after the review?,,,,,,
en,2,pair,MT_vs_TM,The doctor confirmed the answer after the review.,M,T,,The doctor allegedly plans to confirm the answer after the review.,The doctor plans to confirm allegedly the answer after the review.,,,,,,
en,2,triple,NQM,The doctor confirmed the answer after the review.,N,Q,M,,,Is it allegedly true that the doctor failed to confirm the answer after the review?,Is it false that the doctor confirmed allegedly the answer after the review?,Did the doctor fail to confirm the answer after the review?,Did the doctor fail to confirm the answer after the review?,Is it false that the doctor allegedly confirmed the answer after the review?,Is it false that the doctor confirmed allegedly the answer after the review?
en,2,triple,NQT,The doctor confirmed the answer after the review.,N,Q,T,,,Will it be true that the doctor failed to confirm the answer after the review?,Is it false that the doctor plans to confirm the answer after the review?,Will the doctor failed to confirm the answer after the review?,Will the doctor failed to confirm the answer after the review?,Is it false that the doctor plans to confirm the answer after the review?,Is it false that the doctor plans to confirm the answer after the review?
en,2,triple,NMT,The doctor confirmed the answer after the review.,N,M,T,,,The doctor failed to plans to confirm allegedly the answer after the review.,The doctor allegedly did not confirm the answer after the review.,The doctor did not confirm allegedly the answer after the review.,The doctor failed to plans to confirm allegedly the answer after the review.,The doctor did not confirm allegedly the answer after the review.,The doctor allegedly failed to plans to confirm the answer after the review.
en,2,triple,QMT,The doctor confirmed the answer after the review.,Q,M,T,,,Is it allegedly true that the doctor plans to confirm the answer after the review?,Will the doctor allegedly confirmed the answer after the review?,Is it allegedly true that the doctor plans to confirm the answer after the review?,Is it allegedly true that the doctor plans to confirm the answer after the review?,Will the doctor allegedly confirmed the answer after the review?,Will it be true that the doctor allegedly confirmed the answer after the review?
en,3,pair,NQ_vs_QN,The doctor fixed the bug after the review.,N,Q,,Did the doctor fail to fix the bug after the review?,Is it false that the doctor fixed the bug after the review?,,,,,,
en,3,pair,NM_vs_MN,The doctor fixed the bug after the review.,N,M,,The doctor did not fix reportedly the bug after the review.,The doctor reportedly did not fix the bug after the review.,,,,,,
en,3,pair,NT_vs_TN,The doctor fixed the bug after the review.,N,T,,The doctor failed to plans to fix the bug after the review.,The doctor did not fix the bug after the review.,,,,,,
en,3,pair,QM_vs_MQ,The doctor fixed the bug after the review.,Q,M,,Is it reportedly true that the doctor fixed the bug after the review?,Did the doctor reportedly fix the bug after the review?,,,,,,
en,3,pair,QT_vs_TQ,The doctor fixed the bug after the review.,Q,T,,Will it be true that the doctor fixed the bug after the review?,Will the doctor fixed the bug after the review?,,,,,,
en,3,pair,MT_vs_TM,The doctor fixed the bug after the review.,M,T,,The doctor reportedly plans to fix the bug after the review.,The doctor plans to fix reportedly the bug after the review.,,,,,,
en,3,triple,NQM,The doctor fixed the bug after the review.,N,Q,M,,,Is it reportedly true that the doctor did not fix the bug after the review?,Is it false that the doctor fixed reportedly the bug after the review?,Did the doctor fail to fix the bug after the review?,Did the doctor fail to fix the bug after the review?,Is it false that the doctor reportedly fixed the bug after the review?,Is it false that the doctor fixed reportedly the bug after the review?
en,3,triple,NQT,The doctor fixed the bug after the review.,N,Q,T,,,Will it be true that the doctor did not fix the bug after the review?,Is it false that the doctor plans to fix the bug after the review?,Will the doctor did not fix the bug after the review?,Will the doctor did not fix the bug after the review?,Is it false that the doctor plans to fix the bug after the review?,Is it false that the doctor plans to fix the bug after the review?
en,3,triple,NMT,The doctor fixed the bug after the review.,N,M,T,,,The doctor failed to plans to fix reportedly the bug after the review.,The doctor reportedly did not fix the bug after the review.,The doctor did not fix reportedly the bug after the review.,The doctor failed to plans to fix reportedly the bug after the review.,The doctor did not fix reportedly the bug after the review.,The doctor reportedly failed to plans to fix the bug after the review.
en,3,triple,QMT,The doctor fixed the bug after the review.,Q,M,T,,,Is it reportedly true that the doctor plans to fix the bug after the review?,Will the doctor reportedly fixed the bug after the review?,Is it reportedly true that the doctor plans to fix the bug after the review?,Is it reportedly true that the doctor plans to fix the bug after the review?,Will the doctor reportedly fixed the bug after the review?,Will it be true that the doctor reportedly fixed the bug after the review?
en,4,pair,NQ_vs_QN,The programmer supported the theory during the meeting.,N,Q,,Did the programmer fail to support the theory during the meeting?,Is it false that the programmer supported the theory during the meeting?,,,,,,
en,4,pair,NM_vs_MN,The programmer supported the theory during the meeting.,N,M,,The programmer refused to support apparently the theory during the meeting.,The programmer apparently refused to support the theory during the meeting.,,,,,,
en,4,pair,NT_vs_TN,The programmer supported the theory during the meeting.,N,T,,The programmer failed to plans to support the theory during the meeting.,The programmer did not support the theory during the meeting.,,,,,,
en,4,pair,QM_vs_MQ,The programmer supported the theory during the meeting.,Q,M,,Is it apparently true that the programmer supported the theory during the meeting?,Did the programmer apparently support the theory during the meeting?,,,,,,
en,4,pair,QT_vs_TQ,The programmer supported the theory during the meeting.,Q,T,,Will it be true that the programmer supported the theory during the meeting?,Will the programmer supported the theory during the meeting?,,,,,,
en,4,pair,MT_vs_TM,The programmer supported the theory during the meeting.,M,T,,The programmer apparently plans to support the theory during the meeting.,The programmer plans to support apparently the theory during the meeting.,,,,,,
en,4,triple,NQM,The programmer supported the theory during the meeting.,N,Q,M,,,Is it apparently true that the programmer refused to support the theory during the meeting?,Is it false that the programmer supported apparently the theory during the meeting?,Did the programmer fail to support the theory during the meeting?,Did the programmer fail to support the theory during the meeting?,Is it false that the programmer apparently supported the theory during the meeting?,Is it false that the programmer supported apparently the theory during the meeting?
en,4,triple,NQT,The programmer supported the theory during the meeting.,N,Q,T,,,Will it be true that the programmer refused to support the theory during the meeting?,Is it false that the programmer plans to support the theory during the meeting?,Will the programmer refused to support the theory during the meeting?,Will the programmer refused to support the theory during the meeting?,Is it false that the programmer plans to support the theory during the meeting?,Is it false that the programmer plans to support the theory during the meeting?
en,4,triple,NMT,The programmer supported the theory during the meeting.,N,M,T,,,The programmer failed to plans to support apparently the theory during the meeting.,The programmer apparently did not support the theory during the meeting.,The programmer did not support apparently the theory during the meeting.,The programmer failed to plans to support apparently the theory during the meeting.,The programmer did not support apparently the theory during the meeting.,The programmer apparently failed to plans to support the theory during the meeting.
en,4,triple,QMT,The programmer supported the theory during the meeting.,Q,M,T,,,Is it apparently true that the programmer plans to support the theory during the meeting?,Will the programmer apparently supported the theory during the meeting?,Is it apparently true that the programmer plans to support the theory during the meeting?,Is it apparently true that the programmer plans to support the theory during the meeting?,Will the programmer apparently supported the theory during the meeting?,Will it be true that the programmer apparently supported the theory during the meeting?
en,5,pair,NQ_vs_QN,The scientist fixed the bug during the meeting.,N,Q,,Did the scientist fail to fix the bug during the meeting?,Is it false that the scientist fixed the bug during the meeting?,,,,,,
en,5,pair,NM_vs_MN,The scientist fixed the bug during the meeting.,N,M,,The scientist did not fix allegedly the bug during the meeting.,The scientist allegedly did not fix the bug during the meeting.,,,,,,
en,5,pair,NT_vs_TN,The scientist fixed the bug during the meeting.,N,T,,The scientist failed to will fix the bug during the meeting.,The scientist did not fix the bug during the meeting.,,,,,,
en,5,pair,QM_vs_MQ,The scientist fixed the bug during the meeting.,Q,M,,Is it allegedly true that the scientist fixed the bug during the meeting?,Did the scientist allegedly fix the bug during the meeting?,,,,,,
en,5,pair,QT_vs_TQ,The scientist fixed the bug during the meeting.,Q,T,,Will it be true that the scientist fixed the bug during the meeting?,Will the scientist fixed the bug during the meeting?,,,,,,
en,5,pair,MT_vs_TM,The scientist fixed the bug during the meeting.,M,T,,The scientist allegedly will fix the bug during the meeting.,The scientist will fix allegedly the bug during the meeting.,,,,,,
en,5,triple,NQM,The scientist fixed the bug during the meeting.,N,Q,M,,,Is it allegedly true that the scientist did not fix the bug during the meeting?,Is it false that the scientist fixed allegedly the bug during the meeting?,Did the scientist fail to fix the bug during the meeting?,Did the scientist fail to fix the bug during the meeting?,Is it false that the scientist allegedly fixed the bug during the meeting?,Is it false that the scientist fixed allegedly the bug during the meeting?
en,5,triple,NQT,The scientist fixed the bug during the meeting.,N,Q,T,,,Will it be true that the scientist did not fix the bug during the meeting?,Is it false that the scientist will fix the bug during the meeting?,Will the scientist did not fix the bug during the meeting?,Will the scientist did not fix the bug during the meeting?,Is it false that the scientist will fix the bug during the meeting?,Is it false that the scientist will fix the bug during the meeting?
en,5,triple,NMT,The scientist fixed the bug during the meeting.,N,M,T,,,The scientist failed to will fix allegedly the bug during the meeting.,The scientist allegedly did not fix the bug during the meeting.,The scientist did not fix allegedly the bug during the meeting.,The scientist failed to will fix allegedly the bug during the meeting.,The scientist did not fix allegedly the bug during the meeting.,The scientist allegedly failed to will fix the bug during the meeting.
en,5,triple,QMT,The scientist fixed the bug during the meeting.,Q,M,T,,,Is it allegedly true that the scientist will fix the bug during the meeting?,Will the scientist allegedly fixed the bug during the meeting?,Is it allegedly true that the scientist will fix the bug during the meeting?,Is it allegedly true that the scientist will fix the bug during the meeting?,Will the scientist allegedly fixed the bug during the meeting?,Will it be true that the scientist allegedly fixed the bug during the meeting?
en,6,pair,NQ_vs_QN,The programmer accepted the explanation in the morning.,N,Q,,Did the programmer fail to accept the explanation in the morning?,Is it false that the programmer accepted the explanation in the morning?,,,,,,
en,6,pair,NM_vs_MN,The programmer accepted the explanation in the morning.,N,M,,The programmer did not accept reportedly the explanation in the morning.,The programmer reportedly did not accept the explanation in the morning.,,,,,,
en,6,pair,NT_vs_TN,The programmer accepted the explanation in the morning.,N,T,,The programmer failed to will accept the explanation in the morning.,The programmer did not accept the explanation in the morning.,,,,,,
en,6,pair,QM_vs_MQ,The programmer accepted the explanation in the morning.,Q,M,,Is it reportedly true that the programmer accepted the explanation in the morning?,Did the programmer reportedly accept the explanation in the morning?,,,,,,
en,6,pair,QT_vs_TQ,The programmer accepted the explanation in the morning.,Q,T,,Will it be true that the programmer accepted the explanation in the morning?,Will the programmer accepted the explanation in the morning?,,,,,,
en,6,pair,MT_vs_TM,The programmer accepted the explanation in the morning.,M,T,,The programmer reportedly will accept the explanation in the morning.,The programmer will accept reportedly the explanation in the morning.,,,,,,
en,6,triple,NQM,The programmer accepted the explanation in the morning.,N,Q,M,,,Is it reportedly true that the programmer did not accept the explanation in the morning?,Is it false that the programmer accepted reportedly the explanation in the morning?,Did the programmer fail to accept the explanation in the morning?,Did the programmer fail to accept the explanation in the morning?,Is it false that the programmer reportedly accepted the explanation in the morning?,Is it false that the programmer accepted reportedly the explanation in the morning?
en,6,triple,NQT,The programmer accepted the explanation in the morning.,N,Q,T,,,Will it be true that the programmer did not accept the explanation in the morning?,Is it false that the programmer will accept the explanation in the morning?,Will the programmer did not accept the explanation in the morning?,Will the programmer did not accept the explanation in the morning?,Is it false that the programmer will accept the explanation in the morning?,Is it false that the programmer will accept the explanation in the morning?
en,6,triple,NMT,The programmer accepted the explanation in the morning.,N,M,T,,,The programmer failed to will accept reportedly the explanation in the morning.,The programmer reportedly did not accept the explanation in the morning.,The programmer did not accept reportedly the explanation in the morning.,The programmer failed to will accept reportedly the explanation in the morning.,The programmer did not accept reportedly the explanation in the morning.,The programmer reportedly failed to will accept the explanation in the morning.
en,6,triple,QMT,The programmer accepted the explanation in the morning.,Q,M,T,,,Is it reportedly true that the programmer will accept the explanation in the morning?,Will the programmer reportedly accepted the explanation in the morning?,Is it reportedly true that the programmer will accept the explanation in the morning?,Is it reportedly true that the programmer will accept the explanation in the morning?,Will the programmer reportedly accepted the explanation in the morning?,Will it be true that the programmer reportedly accepted the explanation in the morning?
en,7,pair,NQ_vs_QN,The teacher approved the treatment during the meeting.,N,Q,,Did the teacher fail to approve the treatment during the meeting?,Is it false that the teacher approved the treatment during the meeting?,,,,,,
en,7,pair,NM_vs_MN,The teacher approved the treatment during the meeting.,N,M,,The teacher refused to approve reportedly the treatment during the meeting.,The teacher reportedly refused to approve the treatment during the meeting.,,,,,,
en,7,pair,NT_vs_TN,The teacher approved the treatment during the meeting.,N,T,,The teacher failed to will approve the treatment during the meeting.,The teacher did not approve the treatment during the meeting.,,,,,,
en,7,pair,QM_vs_MQ,The teacher approved the treatment during the meeting.,Q,M,,Is it reportedly true that the teacher approved the treatment during the meeting?,Did the teacher reportedly approve the treatment during the meeting?,,,,,,
en,7,pair,QT_vs_TQ,The teacher approved the treatment during the meeting.,Q,T,,Will it be true that the teacher approved the treatment during the meeting?,Will the teacher approved the treatment during the meeting?,,,,,,
en,7,pair,MT_vs_TM,The teacher approved the treatment during the meeting.,M,T,,The teacher reportedly will approve the treatment during the meeting.,The teacher will approve reportedly the treatment during the meeting.,,,,,,
en,7,triple,NQM,The teacher approved the treatment during the meeting.,N,Q,M,,,Is it reportedly true that the teacher refused to approve the treatment during the meeting?,Is it false that the teacher approved reportedly the treatment during the meeting?,Did the teacher fail to approve the treatment during the meeting?,Did the teacher fail to approve the treatment during the meeting?,Is it false that the teacher reportedly approved the treatment during the meeting?,Is it false that the teacher approved reportedly the treatment during the meeting?
en,7,triple,NQT,The teacher approved the treatment during the meeting.,N,Q,T,,,Will it be true that the teacher refused to approve the treatment during the meeting?,Is it false that the teacher will approve the treatment during the meeting?,Will the teacher refused to approve the treatment during the meeting?,Will the teacher refused to approve the treatment during the meeting?,Is it false that the teacher will approve the treatment during the meeting?,Is it false that the teacher will approve the treatment during the meeting?
en,7,triple,NMT,The teacher approved the treatment during the meeting.,N,M,T,,,The teacher failed to will approve reportedly the treatment during the meeting.,The teacher reportedly did not approve the treatment during the meeting.,The teacher did not approve reportedly the treatment during the meeting.,The teacher failed to will approve reportedly the treatment during the meeting.,The teacher did not approve reportedly the treatment during the meeting.,The teacher reportedly failed to will approve the treatment during the meeting.
en,7,triple,QMT,The teacher approved the treatment during the meeting.,Q,M,T,,,Is it reportedly true that the teacher will approve the treatment during the meeting?,Will the teacher reportedly approved the treatment during the meeting?,Is it reportedly true that the teacher will approve the treatment during the meeting?,Is it reportedly true that the teacher will approve the treatment during the meeting?,Will the teacher reportedly approved the treatment during the meeting?,Will it be true that the teacher reportedly approved the treatment during the meeting?
en,8,pair,NQ_vs_QN,The engineer accepted the explanation in the morning.,N,Q,,Did the engineer fail to accept the explanation in the morning?,Is it false that the engineer accepted the explanation in the morning?,,,,,,
en,8,pair,NM_vs_MN,The engineer accepted the explanation in the morning.,N,M,,The engineer did not accept reportedly the explanation in the morning.,The engineer reportedly did not accept the explanation in the morning.,,,,,,
en,8,pair,NT_vs_TN,The engineer accepted the explanation in the morning.,N,T,,The engineer failed to will accept the explanation in the morning.,The engineer did not accept the explanation in the morning.,,,,,,
en,8,pair,QM_vs_MQ,The engineer accepted the explanation in the morning.,Q,M,,Is it reportedly true that the engineer accepted the explanation in the morning?,Did the engineer reportedly accept the explanation in the morning?,,,,,,
en,8,pair,QT_vs_TQ,The engineer accepted the explanation in the morning.,Q,T,,Will it be true that the engineer accepted the explanation in the morning?,Will the engineer accepted the explanation in the morning?,,,,,,
en,8,pair,MT_vs_TM,The engineer accepted the explanation in the morning.,M,T,,The engineer reportedly will accept the explanation in the morning.,The engineer will accept reportedly the explanation in the morning.,,,,,,
en,8,triple,NQM,The engineer accepted the explanation in the morning.,N,Q,M,,,Is it reportedly true that the engineer did not accept the explanation in the morning?,Is it false that the engineer accepted reportedly the explanation in the morning?,Did the engineer fail to accept the explanation in the morning?,Did the engineer fail to accept the explanation in the morning?,Is it false that the engineer reportedly accepted the explanation in the morning?,Is it false that the engineer accepted reportedly the explanation in the morning?
en,8,triple,NQT,The engineer accepted the explanation in the morning.,N,Q,T,,,Will it be true that the engineer did not accept the explanation in the morning?,Is it false that the engineer will accept the explanation in the morning?,Will the engineer did not accept the explanation in the morning?,Will the engineer did not accept the explanation in the morning?,Is it false that the engineer will accept the explanation in the morning?,Is it false that the engineer will accept the explanation in the morning?
en,8,triple,NMT,The engineer accepted the explanation in the morning.,N,M,T,,,The engineer failed to will accept reportedly the explanation in the morning.,The engineer reportedly did not accept the explanation in the morning.,The engineer did not accept reportedly the explanation in the morning.,The engineer failed to will accept reportedly the explanation in the morning.,The engineer did not accept reportedly the explanation in the morning.,The engineer reportedly failed to will accept the explanation in the morning.
en,8,triple,QMT,The engineer accepted the explanation in the morning.,Q,M,T,,,Is it reportedly true that the engineer will accept the explanation in the morning?,Will the engineer reportedly accepted the explanation in the morning?,Is it reportedly true that the engineer will accept the explanation in the morning?,Is it reportedly true that the engineer will accept the explanation in the morning?,Will the engineer reportedly accepted the explanation in the morning?,Will it be true that the engineer reportedly accepted the explanation in the morning?
en,9,pair,NQ_vs_QN,The scientist approved the treatment after the review.,N,Q,,Did the scientist fail to approve the treatment after the review?,Is it false that the scientist approved the treatment after the review?,,,,,,
en,9,pair,NM_vs_MN,The scientist approved the treatment after the review.,N,M,,The scientist failed to approve reportedly the treatment after the review.,The scientist reportedly failed to approve the treatment after the review.,,,,,,
en,9,pair,NT_vs_TN,The scientist approved the treatment after the review.,N,T,,The scientist failed to plans to approve the treatment after the review.,The scientist did not approve the treatment after the review.,,,,,,
en,9,pair,QM_vs_MQ,The scientist approved the treatment after the review.,Q,M,,Is it reportedly true that the scientist approved the treatment after the review?,Did the scientist reportedly approve the treatment after the review?,,,,,,
en,9,pair,QT_vs_TQ,The scientist approved the treatment after the review.,Q,T,,Will it be true that the scientist approved the treatment after the review?,Will the scientist approved the treatment after the review?,,,,,,
en,9,pair,MT_vs_TM,The scientist approved the treatment after the review.,M,T,,The scientist reportedly plans to approve the treatment after the review.,The scientist plans to approve reportedly the treatment after the review.,,,,,,
en,9,triple,NQM,The scientist approved the treatment after the review.,N,Q,M,,,Is it reportedly true that the scientist failed to approve the treatment after the review?,Is it false that the scientist approved reportedly the treatment after the review?,Did the scientist fail to approve the treatment after the review?,Did the scientist fail to approve the treatment after the review?,Is it false that the scientist reportedly approved the treatment after the review?,Is it false that the scientist approved reportedly the treatment after the review?
en,9,triple,NQT,The scientist approved the treatment after the review.,N,Q,T,,,Will it be true that the scientist failed to approve the treatment after the review?,Is it false that the scientist plans to approve the treatment after the review?,Will the scientist failed to approve the treatment after the review?,Will the scientist failed to approve the treatment after the review?,Is it false that the scientist plans to approve the treatment after the review?,Is it false that the scientist plans to approve the treatment after the review?
en,9,triple,NMT,The scientist approved the treatment after the review.,N,M,T,,,The scientist failed to plans to approve reportedly the treatment after the review.,The scientist reportedly did not approve the treatment after the review.,The scientist did not approve reportedly the treatment after the review.,The scientist failed to plans to approve reportedly the treatment after the review.,The scientist did not approve reportedly the treatment after the review.,The scientist reportedly failed to plans to approve the treatment after the review.
en,9,triple,QMT,The scientist approved the treatment after the review.,Q,M,T,,,Is it reportedly true that the scientist plans to approve the treatment after the review?,Will the scientist reportedly approved the treatment after the review?,Is it reportedly true that the scientist plans to approve the treatment after the review?,Is it reportedly true that the scientist plans to approve the treatment after the review?,Will the scientist reportedly approved the treatment after the review?,Will it be true that the scientist reportedly approved the treatment after the review?
en,10,pair,NQ_vs_QN,The analyst completed the repair in the morning.,N,Q,,Did the analyst fail to complete the repair in the morning?,Is it false that the analyst completed the repair in the morning?,,,,,,
en,10,pair,NM_vs_MN,The analyst completed the repair in the morning.,N,M,,The analyst did not complete apparently the repair in the morning.,The analyst apparently did not complete the repair in the morning.,,,,,,
en,10,pair,NT_vs_TN,The analyst completed the repair in the morning.,N,T,,The analyst failed to plans to complete the repair in the morning.,The analyst did not complete the repair in the morning.,,,,,,
en,10,pair,QM_vs_MQ,The analyst completed the repair in the morning.,Q,M,,Is it apparently true that the analyst completed the repair in the morning?,Did the analyst apparently complete the repair in the morning?,,,,,,
en,10,pair,QT_vs_TQ,The analyst completed the repair in the morning.,Q,T,,Will it be true that the analyst completed the repair in the morning?,Will the analyst completed the repair in the morning?,,,,,,
en,10,pair,MT_vs_TM,The analyst completed the repair in the morning.,M,T,,The analyst apparently plans to complete the repair in the morning.,The analyst plans to complete apparently the repair in the morning.,,,,,,
en,10,triple,NQM,The analyst completed the repair in the morning.,N,Q,M,,,Is it apparently true that the analyst did not complete the repair in the morning?,Is it false that the analyst completed apparently the repair in the morning?,Did the analyst fail to complete the repair in the morning?,Did the analyst fail to complete the repair in the morning?,Is it false that the analyst apparently completed the repair in the morning?,Is it false that the analyst completed apparently the repair in the morning?
en,10,triple,NQT,The analyst completed the repair in the morning.,N,Q,T,,,Will it be true that the analyst did not complete the repair in the morning?,Is it false that the analyst plans to complete the repair in the morning?,Will the analyst did not complete the repair in the morning?,Will the analyst did not complete the repair in the morning?,Is it false that the analyst plans to complete the repair in the morning?,Is it false that the analyst plans to complete the repair in the morning?
en,10,triple,NMT,The analyst completed the repair in the morning.,N,M,T,,,The analyst failed to plans to complete apparently the repair in the morning.,The analyst apparently did not complete the repair in the morning.,The analyst did not complete apparently the repair in the morning.,The analyst failed to plans to complete apparently the repair in the morning.,The analyst did not complete apparently the repair in the morning.,The analyst apparently failed to plans to complete the repair in the morning.
en,10,triple,QMT,The analyst completed the repair in the morning.,Q,M,T,,,Is it apparently true that the analyst plans to complete the repair in the morning?,Will the analyst apparently completed the repair in the morning?,Is it apparently true that the analyst plans to complete the repair in the morning?,Is it apparently true that the analyst plans to complete the repair in the morning?,Will the analyst apparently completed the repair in the morning?,Will it be true that the analyst apparently completed the repair in the morning?
en,11,pair,NQ_vs_QN,The engineer fixed the bug in the morning.,N,Q,,Did the engineer fail to fix the bug in the morning?,Is it false that the engineer fixed the bug in the morning?,,,,,,
en,11,pair,NM_vs_MN,The engineer fixed the bug in the morning.,N,M,,The engineer did not fix apparently the bug in the morning.,The engineer apparently did not fix the bug in the morning.,,,,,,
en,11,pair,NT_vs_TN,The engineer fixed the bug in the morning.,N,T,,The engineer failed to plans to fix the bug in the morning.,The engineer did not fix the bug in the morning.,,,,,,
en,11,pair,QM_vs_MQ,The engineer fixed the bug in the morning.,Q,M,,Is it apparently true that the engineer fixed the bug in the morning?,Did the engineer apparently fix the bug in the morning?,,,,,,
en,11,pair,QT_vs_TQ,The engineer fixed the bug in the morning.,Q,T,,Will it be true that the engineer fixed the bug in the morning?,Will the engineer fixed the bug in the morning?,,,,,,
en,11,pair,MT_vs_TM,The engineer fixed the bug in the morning.,M,T,,The engineer apparently plans to fix the bug in the morning.,The engineer plans to fix apparently the bug in the morning.,,,,,,
