model,target_class,source_set,source_id,source,prompt_style,layer,control,gain,vector_class,prompt,generated,target_marker_hit,content_preserved,target_and_preserved,malformed_or_repetitive,generated_chars,target_best_prob,target_best_rank,target_top1_any
gpt2,question,application_naturalish_heldout,2,Marina counted 73 labeled samples before the freezer alarm sounded.,neutral_restate,2,wrong_marker,0.75,exclamation,"Restate the following sentence exactly.
Sentence: Marina counted 73 labeled samples before the freezer alarm sounded.
Restatement:","Marina counted 73 labeled samples before the freezer alarm sounded.
Sentence: Marina counted 73 labeled samples before the freezer alarm",0.0,1.0,0.0,0.0,136.0,0.00036329770227894187,47.0,0.0
gpt2,question,application_naturalish_heldout,2,Marina counted 73 labeled samples before the freezer alarm sounded.,neutral_restate,2,random_norm,0.75,random_norm,"Restate the following sentence exactly.
Sentence: Marina counted 73 labeled samples before the freezer alarm sounded.
Restatement:","Marina's lab technician, who had been working on the samples, found them in the freezer.
The lab technician,",0.0,0.0,0.0,0.0,108.0,0.00030277829500846565,166.0,0.0
gpt2,question,application_naturalish_heldout,2,Marina counted 73 labeled samples before the freezer alarm sounded.,neutral_restate,2,negative_target,0.75,question,"Restate the following sentence exactly.
Sentence: Marina counted 73 labeled samples before the freezer alarm sounded.
Restatement:","Marina was not allowed to leave the house.
Sentence: Marina was allowed to leave the house.
Sentence",0.0,0.0,0.0,0.0,100.0,0.00012090759992133826,285.0,0.0
gpt2,question,application_naturalish_heldout,2,Marina counted 73 labeled samples before the freezer alarm sounded.,neutral_restate,3,target,0.75,question,"Restate the following sentence exactly.
Sentence: Marina counted 73 labeled samples before the freezer alarm sounded.
Restatement:","Marina's body was found in the freezer.
Sentence: Marina's body was found in the freezer?
Sent",1.0,0.0,0.0,0.0,94.0,0.913188099861145,1.0,1.0
gpt2,question,application_naturalish_heldout,2,Marina counted 73 labeled samples before the freezer alarm sounded.,neutral_restate,3,wrong_marker,0.75,exclamation,"Restate the following sentence exactly.
Sentence: Marina counted 73 labeled samples before the freezer alarm sounded.
Restatement:","Marina counted 73 labeled samples before the freezer alarm sounded.
Sentence: Marina counted 73 labeled samples before the freezer alarm",0.0,1.0,0.0,0.0,136.0,0.00030642698402516544,55.0,0.0
gpt2,question,application_naturalish_heldout,2,Marina counted 73 labeled samples before the freezer alarm sounded.,neutral_restate,3,random_norm,0.75,random_norm,"Restate the following sentence exactly.
Sentence: Marina counted 73 labeled samples before the freezer alarm sounded.
Restatement:","Marina counted 73 labeled samples before the freezer alarm sounded.
Sentence: Marina counted 73 labeled samples before the freezer alarm",0.0,1.0,0.0,0.0,136.0,0.0002613841788843274,48.0,0.0
gpt2,question,application_naturalish_heldout,2,Marina counted 73 labeled samples before the freezer alarm sounded.,neutral_restate,3,negative_target,0.75,question,"Restate the following sentence exactly.
Sentence: Marina counted 73 labeled samples before the freezer alarm sounded.
Restatement:","The freezer alarm was activated.
The following day, Marina was taken to the hospital where she was placed in a room",0.0,0.0,0.0,0.0,115.0,7.790516247041523e-05,372.0,0.0
gpt2,question,application_naturalish_heldout,2,Marina counted 73 labeled samples before the freezer alarm sounded.,neutral_same,-1,none,0.0,,"Same meaning, same wording:
Marina counted 73 labeled samples before the freezer alarm sounded.
Output:","Marina counted 73 labeled samples before the freezer alarm sounded.
Marina counted 73 labeled samples before the freezer",0.0,1.0,0.0,0.0,120.0,0.0002939901896752417,47.0,0.0
gpt2,question,application_naturalish_heldout,2,Marina counted 73 labeled samples before the freezer alarm sounded.,neutral_same,-1,strong_prompt,0.0,,"Restate the following sentence exactly, but end it with a question mark.
Sentence: Marina counted 73 labeled samples before the freezer alarm sounded.
Restatement:","Marina was not in the freezer.
Sentence: Marina was not in the freezer.
Sentence: Marina was",0.0,0.0,0.0,0.0,92.0,0.00031563229276798666,60.0,0.0
gpt2,question,application_naturalish_heldout,2,Marina counted 73 labeled samples before the freezer alarm sounded.,neutral_same,-1,string_append_source,0.0,,<postprocess: append target marker to source>,Marina counted 73 labeled samples before the freezer alarm sounded?,1.0,1.0,1.0,0.0,67.0,,,
gpt2,question,application_naturalish_heldout,2,Marina counted 73 labeled samples before the freezer alarm sounded.,neutral_same,2,target,0.75,question,"Same meaning, same wording:
Marina counted 73 labeled samples before the freezer alarm sounded.
Output:","Marina counted 73 labeled samples before the freezer alarm sounded.
Marina counted 73 labeled samples before the freezer",0.0,1.0,0.0,0.0,120.0,0.08206571638584137,3.0,0.0
gpt2,question,application_naturalish_heldout,2,Marina counted 73 labeled samples before the freezer alarm sounded.,neutral_same,2,wrong_marker,0.75,exclamation,"Same meaning, same wording:
Marina counted 73 labeled samples before the freezer alarm sounded.
Output:","Marina counted 73 labeled samples before the freezer alarm sounded.
Marina counted 73 labeled samples before the freezer",0.0,1.0,0.0,0.0,120.0,0.0005085248267278075,43.0,0.0
gpt2,question,application_naturalish_heldout,2,Marina counted 73 labeled samples before the freezer alarm sounded.,neutral_same,2,random_norm,0.75,random_norm,"Same meaning, same wording:
Marina counted 73 labeled samples before the freezer alarm sounded.
Output:","Marina counted 73 labeled samples before the freezer alarm sounded.
Marina counted 73 labeled samples before the freezer alarm",0.0,1.0,0.0,0.0,126.0,0.000609423965215683,26.0,0.0
gpt2,question,application_naturalish_heldout,2,Marina counted 73 labeled samples before the freezer alarm sounded.,neutral_same,2,negative_target,0.75,question,"Same meaning, same wording:
Marina counted 73 labeled samples before the freezer alarm sounded.
Output:","Marina counted 73 labeled samples before the freezer alarm sounded.

Output:

Marina counted 73",0.0,1.0,0.0,1.0,95.0,0.0005018575466237962,31.0,0.0
gpt2,question,application_naturalish_heldout,2,Marina counted 73 labeled samples before the freezer alarm sounded.,neutral_same,3,target,0.75,question,"Same meaning, same wording:
Marina counted 73 labeled samples before the freezer alarm sounded.
Output:","Marina counted 73 labeled samples before the freezer alarm sounded.

Marina counted 73 labeled samples before the",0.0,1.0,0.0,0.0,113.0,0.0759383961558342,3.0,0.0
gpt2,question,application_naturalish_heldout,2,Marina counted 73 labeled samples before the freezer alarm sounded.,neutral_same,3,wrong_marker,0.75,exclamation,"Same meaning, same wording:
Marina counted 73 labeled samples before the freezer alarm sounded.
Output:","Marina counted 73 labeled samples before the freezer alarm sounded.
Marina counted 73 labeled samples before the freezer",0.0,1.0,0.0,0.0,120.0,0.00036356551572680473,32.0,0.0
gpt2,question,application_naturalish_heldout,2,Marina counted 73 labeled samples before the freezer alarm sounded.,neutral_same,3,random_norm,0.75,random_norm,"Same meaning, same wording:
Marina counted 73 labeled samples before the freezer alarm sounded.
Output:","Marina:

Marina:

Marina:

Marina:

Marina",0.0,0.0,0.0,1.0,42.0,0.00020262534962967038,26.0,0.0
gpt2,question,application_naturalish_heldout,2,Marina counted 73 labeled samples before the freezer alarm sounded.,neutral_same,3,negative_target,0.75,question,"Same meaning, same wording:
Marina counted 73 labeled samples before the freezer alarm sounded.
Output:","Marina counted 73 labeled samples before the freezer alarm sounded.
Marina counted 73 labeled samples before the freezer",0.0,1.0,0.0,0.0,120.0,0.0004678598197642714,40.0,0.0
gpt2,question,application_naturalish_heldout,3,The dataset was anonymized by the hospital team in Krakow.,neutral_restate,-1,none,0.0,,"Restate the following sentence exactly.
Sentence: The dataset was anonymized by the hospital team in Krakow.
Restatement:","The dataset was anonymized by the hospital team in Krakow.
The following sentence was added to the dataset:",0.0,1.0,0.0,0.0,107.0,6.280771049205214e-05,135.0,0.0
gpt2,question,application_naturalish_heldout,3,The dataset was anonymized by the hospital team in Krakow.,neutral_restate,-1,strong_prompt,0.0,,"Restate the following sentence exactly, but end it with a question mark.
Sentence: The dataset was anonymized by the hospital team in Krakow.
Restatement:","The dataset was anonymized by the hospital team in Krakow.
The following sentence was added to the dataset:",0.0,1.0,0.0,0.0,107.0,8.680755126988515e-05,137.0,0.0
gpt2,question,application_naturalish_heldout,3,The dataset was anonymized by the hospital team in Krakow.,neutral_restate,-1,string_append_source,0.0,,<postprocess: append target marker to source>,The dataset was anonymized by the hospital team in Krakow?,1.0,1.0,1.0,0.0,58.0,,,
gpt2,question,application_naturalish_heldout,3,The dataset was anonymized by the hospital team in Krakow.,neutral_restate,2,target,0.75,question,"Restate the following sentence exactly.
Sentence: The dataset was anonymized by the hospital team in Krakow.
Restatement:","The dataset was anonymized by the hospital team in Krakow.
The data was anonymized by the hospital team",0.0,1.0,0.0,0.0,103.0,0.014370759017765522,2.0,0.0
gpt2,question,application_naturalish_heldout,3,The dataset was anonymized by the hospital team in Krakow.,neutral_restate,2,wrong_marker,0.75,exclamation,"Restate the following sentence exactly.
Sentence: The dataset was anonymized by the hospital team in Krakow.
Restatement:","The dataset was anonymized by the hospital team in Krakow.
The dataset was anonymized by the hospital team",0.0,1.0,0.0,0.0,106.0,0.0005610520602203906,20.0,0.0
gpt2,question,application_naturalish_heldout,3,The dataset was anonymized by the hospital team in Krakow.,neutral_restate,2,random_norm,0.75,random_norm,"Restate the following sentence exactly.
Sentence: The dataset was anonymized by the hospital team in Krakow.
Restatement:","The data was anonymized by the hospital team in Krakow.
Sentence: The data was anonymized by",0.0,1.0,0.0,0.0,92.0,4.0222836105385795e-05,92.0,0.0
gpt2,question,application_naturalish_heldout,3,The dataset was anonymized by the hospital team in Krakow.,neutral_restate,2,negative_target,0.75,question,"Restate the following sentence exactly.
Sentence: The dataset was anonymized by the hospital team in Krakow.
Restatement:","The data was anonymized by the hospital team in Krakow.
The data was anonymized by the hospital team",0.0,1.0,0.0,0.0,100.0,3.5734166885958984e-05,248.0,0.0
gpt2,question,application_naturalish_heldout,3,The dataset was anonymized by the hospital team in Krakow.,neutral_restate,3,target,0.75,question,"Restate the following sentence exactly.
Sentence: The dataset was anonymized by the hospital team in Krakow.
Restatement:","The dataset was anonymized by the hospital team in Krakow.
Restatement: The dataset was anonymized",0.0,1.0,0.0,0.0,98.0,0.007328252773731947,7.0,0.0
gpt2,question,application_naturalish_heldout,3,The dataset was anonymized by the hospital team in Krakow.,neutral_restate,3,wrong_marker,0.75,exclamation,"Restate the following sentence exactly.
Sentence: The dataset was anonymized by the hospital team in Krakow.
Restatement:","The dataset was anonymized by the hospital team in Krakow.
The dataset was anonymized by the hospital team",0.0,1.0,0.0,0.0,106.0,0.0004652707721106708,28.0,0.0
gpt2,question,application_naturalish_heldout,3,The dataset was anonymized by the hospital team in Krakow.,neutral_restate,3,random_norm,0.75,random_norm,"Restate the following sentence exactly.
Sentence: The dataset was anonymized by the hospital team in Krakow.
Restatement:","The data were anonymized by the hospital team in Krakow.
Restatement:
Restatement:",0.0,1.0,0.0,0.0,82.0,0.00030243542278185487,81.0,0.0
gpt2,question,application_naturalish_heldout,3,The dataset was anonymized by the hospital team in Krakow.,neutral_restate,3,negative_target,0.75,question,"Restate the following sentence exactly.
Sentence: The dataset was anonymized by the hospital team in Krakow.
Restatement:","The data was processed and stored in a secure location.
The data was then sent to the University of Michigan Medical School",0.0,0.0,0.0,0.0,123.0,2.5915842343238182e-05,820.0,0.0
gpt2,question,application_naturalish_heldout,3,The dataset was anonymized by the hospital team in Krakow.,neutral_same,-1,none,0.0,,"Same meaning, same wording:
The dataset was anonymized by the hospital team in Krakow.
Output:","The dataset was anonymized by the hospital team in Krakow.
The data was anonymized by the hospital",0.0,1.0,0.0,0.0,98.0,0.0001390638790326193,102.0,0.0
gpt2,question,application_naturalish_heldout,3,The dataset was anonymized by the hospital team in Krakow.,neutral_same,-1,strong_prompt,0.0,,"Restate the following sentence exactly, but end it with a question mark.
Sentence: The dataset was anonymized by the hospital team in Krakow.
Restatement:","The dataset was anonymized by the hospital team in Krakow.
The following sentence was added to the dataset:",0.0,1.0,0.0,0.0,107.0,8.680755126988515e-05,137.0,0.0
