language,template_id,level,text,marker,marker_found,marker_span_start,marker_span_end,marker_token_count
en,35,2,the critic loves the song during the review.,loves,True,3,4,1
en,36,-2,she hates this film after the meeting.,hates,True,2,4,2
en,36,-1,she dislikes this film after the meeting.,dislikes,True,2,5,3
en,36,0,she feels indifferent toward this film after the meeting.,indifferent,True,3,7,4
en,36,1,she likes this film after the meeting.,likes,True,2,4,2
en,36,2,she loves this film after the meeting.,loves,True,2,3,1
en,37,-2,the neighbor hates this city at the end.,hates,True,5,7,2
en,37,-1,the neighbor dislikes this city at the end.,dislikes,True,5,8,3
en,37,0,the neighbor feels indifferent toward this city at the end.,indifferent,True,6,10,4
en,37,1,the neighbor likes this city at the end.,likes,True,5,7,2
en,37,2,the neighbor loves this city at the end.,loves,True,5,6,1
en,38,-2,the researcher hates the song during the review.,hates,True,3,5,2
en,38,-1,the researcher dislikes the song during the review.,dislikes,True,3,6,3
en,38,0,the researcher feels indifferent toward the song during the review.,indifferent,True,4,8,4
en,38,1,the researcher likes the song during the review.,likes,True,3,5,2
en,38,2,the researcher loves the song during the review.,loves,True,3,4,1
en,39,-2,the artist hates this film during the review.,hates,True,3,5,2
en,39,-1,the artist dislikes this film during the review.,dislikes,True,3,6,3
en,39,0,the artist feels indifferent toward this film during the review.,indifferent,True,4,8,4
en,39,1,the artist likes this film during the review.,likes,True,3,5,2
en,39,2,the artist loves this film during the review.,loves,True,3,4,1
en,40,-2,the user hates the proposal after the meeting.,hates,True,3,5,2
en,40,-1,the user dislikes the proposal after the meeting.,dislikes,True,3,6,3
en,40,0,the user feels indifferent toward the proposal after the meeting.,indifferent,True,4,8,4
en,40,1,the user likes the proposal after the meeting.,likes,True,3,5,2
en,40,2,the user loves the proposal after the meeting.,loves,True,3,4,1
en,41,-2,the neighbor hates the design at the end.,hates,True,5,7,2
en,41,-1,the neighbor dislikes the design at the end.,dislikes,True,5,8,3
en,41,0,the neighbor feels indifferent toward the design at the end.,indifferent,True,6,10,4
en,41,1,the neighbor likes the design at the end.,likes,True,5,7,2
en,41,2,the neighbor loves the design at the end.,loves,True,5,6,1
en,42,-2,the teacher hates the song in private.,hates,True,3,5,2
en,42,-1,the teacher dislikes the song in private.,dislikes,True,3,6,3
en,42,0,the teacher feels indifferent toward the song in private.,indifferent,True,4,8,4
en,42,1,the teacher likes the song in private.,likes,True,3,5,2
en,42,2,the teacher loves the song in private.,loves,True,3,4,1
en,43,-2,she hates this system at the end.,hates,True,2,4,2
en,43,-1,she dislikes this system at the end.,dislikes,True,2,5,3
en,43,0,she feels indifferent toward this system at the end.,indifferent,True,3,7,4
en,43,1,she likes this system at the end.,likes,True,2,4,2
en,43,2,she loves this system at the end.,loves,True,2,3,1
en,44,-2,the researcher hates this city during the review.,hates,True,3,5,2
en,44,-1,the researcher dislikes this city during the review.,dislikes,True,3,6,3
en,44,0,the researcher feels indifferent toward this city during the review.,indifferent,True,4,8,4
en,44,1,the researcher likes this city during the review.,likes,True,3,5,2
en,44,2,the researcher loves this city during the review.,loves,True,3,4,1
en,45,-2,I hates this idea during the review.,hates,True,2,4,2
en,45,-1,I dislikes this idea during the review.,dislikes,True,2,5,3
en,45,0,I feels indifferent toward this idea during the review.,indifferent,True,3,7,4
en,45,1,I likes this idea during the review.,likes,True,2,4,2
en,45,2,I loves this idea during the review.,loves,True,2,3,1
en,46,-2,the critic hates the song today.,hates,True,3,5,2
en,46,-1,the critic dislikes the song today.,dislikes,True,3,6,3
en,46,0,the critic feels indifferent toward the song today.,indifferent,True,4,8,4
en,46,1,the critic likes the song today.,likes,True,3,5,2
en,46,2,the critic loves the song today.,loves,True,3,4,1
en,47,-2,I hates the design at the end.,hates,True,2,4,2
en,47,-1,I dislikes the design at the end.,dislikes,True,2,5,3
en,47,0,I feels indifferent toward the design at the end.,indifferent,True,3,7,4
en,47,1,I likes the design at the end.,likes,True,2,4,2
en,47,2,I loves the design at the end.,loves,True,2,3,1
en,48,-2,the artist hates the design today.,hates,True,3,5,2
en,48,-1,the artist dislikes the design today.,dislikes,True,3,6,3
en,48,0,the artist feels indifferent toward the design today.,indifferent,True,4,8,4
en,48,1,the artist likes the design today.,likes,True,3,5,2
en,48,2,the artist loves the design today.,loves,True,3,4,1
en,49,-2,the artist hates this system during the review.,hates,True,3,5,2
en,49,-1,the artist dislikes this system during the review.,dislikes,True,3,6,3
en,49,0,the artist feels indifferent toward this system during the review.,indifferent,True,4,8,4
en,49,1,the artist likes this system during the review.,likes,True,3,5,2
en,49,2,the artist loves this system during the review.,loves,True,3,4,1
en,50,-2,I hates this idea in private.,hates,True,2,4,2
en,50,-1,I dislikes this idea in private.,dislikes,True,2,5,3
en,50,0,I feels indifferent toward this idea in private.,indifferent,True,3,7,4
en,50,1,I likes this idea in private.,likes,True,2,4,2
en,50,2,I loves this idea in private.,loves,True,2,3,1
en,51,-2,the artist hates the proposal in private.,hates,True,3,5,2
en,51,-1,the artist dislikes the proposal in private.,dislikes,True,3,6,3
en,51,0,the artist feels indifferent toward the proposal in private.,indifferent,True,4,8,4
en,51,1,the artist likes the proposal in private.,likes,True,3,5,2
en,51,2,the artist loves the proposal in private.,loves,True,3,4,1
en,52,-2,the artist hates this system today.,hates,True,3,5,2
en,52,-1,the artist dislikes this system today.,dislikes,True,3,6,3
en,52,0,the artist feels indifferent toward this system today.,indifferent,True,4,8,4
en,52,1,the artist likes this system today.,likes,True,3,5,2
en,52,2,the artist loves this system today.,loves,True,3,4,1
en,53,-2,the critic hates you during the review.,hates,True,3,5,2
en,53,-1,the critic dislikes you during the review.,dislikes,True,3,6,3
en,53,0,the critic feels indifferent toward you during the review.,indifferent,True,4,8,4
en,53,1,the critic likes you during the review.,likes,True,3,5,2
en,53,2,the critic loves you during the review.,loves,True,3,4,1
en,54,-2,the researcher hates this idea during the review.,hates,True,3,5,2
en,54,-1,the researcher dislikes this idea during the review.,dislikes,True,3,6,3
en,54,0,the researcher feels indifferent toward this idea during the review.,indifferent,True,4,8,4
en,54,1,the researcher likes this idea during the review.,likes,True,3,5,2
en,54,2,the researcher loves this idea during the review.,loves,True,3,4,1
en,55,-2,the researcher hates the proposal during the review.,hates,True,3,5,2
en,55,-1,the researcher dislikes the proposal during the review.,dislikes,True,3,6,3
en,55,0,the researcher feels indifferent toward the proposal during the review.,indifferent,True,4,8,4
en,55,1,the researcher likes the proposal during the review.,likes,True,3,5,2
en,55,2,the researcher loves the proposal during the review.,loves,True,3,4,1
en,56,-2,the neighbor hates this idea today.,hates,True,5,7,2
en,56,-1,the neighbor dislikes this idea today.,dislikes,True,5,8,3
en,56,0,the neighbor feels indifferent toward this idea today.,indifferent,True,6,10,4
en,56,1,the neighbor likes this idea today.,likes,True,5,7,2
en,56,2,the neighbor loves this idea today.,loves,True,5,6,1
en,57,-2,she hates the proposal during the review.,hates,True,2,4,2
en,57,-1,she dislikes the proposal during the review.,dislikes,True,2,5,3
en,57,0,she feels indifferent toward the proposal during the review.,indifferent,True,3,7,4
en,57,1,she likes the proposal during the review.,likes,True,2,4,2
en,57,2,she loves the proposal during the review.,loves,True,2,3,1
en,58,-2,the researcher hates the song at the end.,hates,True,3,5,2
en,58,-1,the researcher dislikes the song at the end.,dislikes,True,3,6,3
en,58,0,the researcher feels indifferent toward the song at the end.,indifferent,True,4,8,4
en,58,1,the researcher likes the song at the end.,likes,True,3,5,2
en,58,2,the researcher loves the song at the end.,loves,True,3,4,1
en,59,-2,the neighbor hates you in private.,hates,True,5,7,2
en,59,-1,the neighbor dislikes you in private.,dislikes,True,5,8,3
en,59,0,the neighbor feels indifferent toward you in private.,indifferent,True,6,10,4
en,59,1,the neighbor likes you in private.,likes,True,5,7,2
en,59,2,the neighbor loves you in private.,loves,True,5,6,1
en,60,-2,the critic hates this film in private.,hates,True,3,5,2
en,60,-1,the critic dislikes this film in private.,dislikes,True,3,6,3
en,60,0,the critic feels indifferent toward this film in private.,indifferent,True,4,8,4
en,60,1,the critic likes this film in private.,likes,True,3,5,2
en,60,2,the critic loves this film in private.,loves,True,3,4,1
en,61,-2,the user hates the song in private.,hates,True,3,5,2
en,61,-1,the user dislikes the song in private.,dislikes,True,3,6,3
en,61,0,the user feels indifferent toward the song in private.,indifferent,True,4,8,4
en,61,1,the user likes the song in private.,likes,True,3,5,2
en,61,2,the user loves the song in private.,loves,True,3,4,1
en,62,-2,I hates the design during the review.,hates,True,2,4,2
en,62,-1,I dislikes the design during the review.,dislikes,True,2,5,3
en,62,0,I feels indifferent toward the design during the review.,indifferent,True,3,7,4
en,62,1,I likes the design during the review.,likes,True,2,4,2
en,62,2,I loves the design during the review.,loves,True,2,3,1
en,63,-2,I hates this system during the review.,hates,True,2,4,2
en,63,-1,I dislikes this system during the review.,dislikes,True,2,5,3
en,63,0,I feels indifferent toward this system during the review.,indifferent,True,3,7,4
en,63,1,I likes this system during the review.,likes,True,2,4,2
en,63,2,I loves this system during the review.,loves,True,2,3,1
en,64,-2,the artist hates this city today.,hates,True,3,5,2
en,64,-1,the artist dislikes this city today.,dislikes,True,3,6,3
en,64,0,the artist feels indifferent toward this city today.,indifferent,True,4,8,4
en,64,1,the artist likes this city today.,likes,True,3,5,2
en,64,2,the artist loves this city today.,loves,True,3,4,1
en,65,-2,the critic hates this film after the meeting.,hates,True,3,5,2
en,65,-1,the critic dislikes this film after the meeting.,dislikes,True,3,6,3
en,65,0,the critic feels indifferent toward this film after the meeting.,indifferent,True,4,8,4
en,65,1,the critic likes this film after the meeting.,likes,True,3,5,2
en,65,2,the critic loves this film after the meeting.,loves,True,3,4,1
en,66,-2,I hates the song today.,hates,True,2,4,2
en,66,-1,I dislikes the song today.,dislikes,True,2,5,3
en,66,0,I feels indifferent toward the song today.,indifferent,True,3,7,4
en,66,1,I likes the song today.,likes,True,2,4,2
en,66,2,I loves the song today.,loves,True,2,3,1
en,67,-2,the user hates the proposal in private.,hates,True,3,5,2
en,67,-1,the user dislikes the proposal in private.,dislikes,True,3,6,3
en,67,0,the user feels indifferent toward the proposal in private.,indifferent,True,4,8,4
en,67,1,the user likes the proposal in private.,likes,True,3,5,2
en,67,2,the user loves the proposal in private.,loves,True,3,4,1
en,68,-2,the user hates the design today.,hates,True,3,5,2
en,68,-1,the user dislikes the design today.,dislikes,True,3,6,3
en,68,0,the user feels indifferent toward the design today.,indifferent,True,4,8,4
en,68,1,the user likes the design today.,likes,True,3,5,2
en,68,2,the user loves the design today.,loves,True,3,4,1
en,69,-2,she hates the song after the meeting.,hates,True,2,4,2
en,69,-1,she dislikes the song after the meeting.,dislikes,True,2,5,3
en,69,0,she feels indifferent toward the song after the meeting.,indifferent,True,3,7,4
en,69,1,she likes the song after the meeting.,likes,True,2,4,2
en,69,2,she loves the song after the meeting.,loves,True,2,3,1
en,70,-2,the user hates this city in private.,hates,True,3,5,2
en,70,-1,the user dislikes this city in private.,dislikes,True,3,6,3
en,70,0,the user feels indifferent toward this city in private.,indifferent,True,4,8,4
en,70,1,the user likes this city in private.,likes,True,3,5,2
en,70,2,the user loves this city in private.,loves,True,3,4,1
en,71,-2,she hates you in private.,hates,True,2,4,2
en,71,-1,she dislikes you in private.,dislikes,True,2,5,3
en,71,0,she feels indifferent toward you in private.,indifferent,True,3,7,4
en,71,1,she likes you in private.,likes,True,2,4,2
en,71,2,she loves you in private.,loves,True,2,3,1
en,72,-2,I hates the song after the meeting.,hates,True,2,4,2
en,72,-1,I dislikes the song after the meeting.,dislikes,True,2,5,3
en,72,0,I feels indifferent toward the song after the meeting.,indifferent,True,3,7,4
en,72,1,I likes the song after the meeting.,likes,True,2,4,2
en,72,2,I loves the song after the meeting.,loves,True,2,3,1
en,73,-2,the artist hates this film today.,hates,True,3,5,2
en,73,-1,the artist dislikes this film today.,dislikes,True,3,6,3
en,73,0,the artist feels indifferent toward this film today.,indifferent,True,4,8,4
en,73,1,the artist likes this film today.,likes,True,3,5,2
en,73,2,the artist loves this film today.,loves,True,3,4,1
en,74,-2,the neighbor hates this system during the review.,hates,True,5,7,2
en,74,-1,the neighbor dislikes this system during the review.,dislikes,True,5,8,3
en,74,0,the neighbor feels indifferent toward this system during the review.,indifferent,True,6,10,4
en,74,1,the neighbor likes this system during the review.,likes,True,5,7,2
en,74,2,the neighbor loves this system during the review.,loves,True,5,6,1
en,75,-2,the teacher hates the design after the meeting.,hates,True,3,5,2
en,75,-1,the teacher dislikes the design after the meeting.,dislikes,True,3,6,3
en,75,0,the teacher feels indifferent toward the design after the meeting.,indifferent,True,4,8,4
en,75,1,the teacher likes the design after the meeting.,likes,True,3,5,2
en,75,2,the teacher loves the design after the meeting.,loves,True,3,4,1
en,76,-2,the teacher hates this city in private.,hates,True,3,5,2
en,76,-1,the teacher dislikes this city in private.,dislikes,True,3,6,3
en,76,0,the teacher feels indifferent toward this city in private.,indifferent,True,4,8,4
en,76,1,the teacher likes this city in private.,likes,True,3,5,2
en,76,2,the teacher loves this city in private.,loves,True,3,4,1
en,77,-2,the artist hates the proposal today.,hates,True,3,5,2
en,77,-1,the artist dislikes the proposal today.,dislikes,True,3,6,3
en,77,0,the artist feels indifferent toward the proposal today.,indifferent,True,4,8,4
en,77,1,the artist likes the proposal today.,likes,True,3,5,2
en,77,2,the artist loves the proposal today.,loves,True,3,4,1
en,78,-2,the researcher hates this idea after the meeting.,hates,True,3,5,2
en,78,-1,the researcher dislikes this idea after the meeting.,dislikes,True,3,6,3
en,78,0,the researcher feels indifferent toward this idea after the meeting.,indifferent,True,4,8,4
en,78,1,the researcher likes this idea after the meeting.,likes,True,3,5,2
en,78,2,the researcher loves this idea after the meeting.,loves,True,3,4,1
en,79,-2,the researcher hates this system during the review.,hates,True,3,5,2
en,79,-1,the researcher dislikes this system during the review.,dislikes,True,3,6,3
en,79,0,the researcher feels indifferent toward this system during the review.,indifferent,True,4,8,4
en,79,1,the researcher likes this system during the review.,likes,True,3,5,2
en,79,2,the researcher loves this system during the review.,loves,True,3,4,1
en,80,-2,the critic hates this system after the meeting.,hates,True,3,5,2
en,80,-1,the critic dislikes this system after the meeting.,dislikes,True,3,6,3
en,80,0,the critic feels indifferent toward this system after the meeting.,indifferent,True,4,8,4
en,80,1,the critic likes this system after the meeting.,likes,True,3,5,2
en,80,2,the critic loves this system after the meeting.,loves,True,3,4,1
en,81,-2,I hates the proposal today.,hates,True,2,4,2
en,81,-1,I dislikes the proposal today.,dislikes,True,2,5,3
en,81,0,I feels indifferent toward the proposal today.,indifferent,True,3,7,4
en,81,1,I likes the proposal today.,likes,True,2,4,2
en,81,2,I loves the proposal today.,loves,True,2,3,1
en,82,-2,the neighbor hates this film after the meeting.,hates,True,5,7,2
en,82,-1,the neighbor dislikes this film after the meeting.,dislikes,True,5,8,3
en,82,0,the neighbor feels indifferent toward this film after the meeting.,indifferent,True,6,10,4
en,82,1,the neighbor likes this film after the meeting.,likes,True,5,7,2
en,82,2,the neighbor loves this film after the meeting.,loves,True,5,6,1
en,83,-2,the teacher hates this city during the review.,hates,True,3,5,2
en,83,-1,the teacher dislikes this city during the review.,dislikes,True,3,6,3
en,83,0,the teacher feels indifferent toward this city during the review.,indifferent,True,4,8,4
en,83,1,the teacher likes this city during the review.,likes,True,3,5,2
en,83,2,the teacher loves this city during the review.,loves,True,3,4,1
en,84,-2,the researcher hates the song after the meeting.,hates,True,3,5,2
en,84,-1,the researcher dislikes the song after the meeting.,dislikes,True,3,6,3
en,84,0,the researcher feels indifferent toward the song after the meeting.,indifferent,True,4,8,4
en,84,1,the researcher likes the song after the meeting.,likes,True,3,5,2
en,84,2,the researcher loves the song after the meeting.,loves,True,3,4,1
en,85,-2,the critic hates the design after the meeting.,hates,True,3,5,2
en,85,-1,the critic dislikes the design after the meeting.,dislikes,True,3,6,3
en,85,0,the critic feels indifferent toward the design after the meeting.,indifferent,True,4,8,4
en,85,1,the critic likes the design after the meeting.,likes,True,3,5,2
en,85,2,the critic loves the design after the meeting.,loves,True,3,4,1
en,86,-2,I hates this film at the end.,hates,True,2,4,2
en,86,-1,I dislikes this film at the end.,dislikes,True,2,5,3
en,86,0,I feels indifferent toward this film at the end.,indifferent,True,3,7,4
en,86,1,I likes this film at the end.,likes,True,2,4,2
en,86,2,I loves this film at the end.,loves,True,2,3,1
