template_id,kind,source,a,b,c,ab,ba,abc,bca,cab,acb,cba,bac
1,jacobi,The oracle accepted the explanation.,N,M,T,,,The oracle will allegedly fail to accept the explanation tomorrow.,The oracle was allegedly going to fail to accept the explanation.,"Earlier, the oracle allegedly failed to have accepted the explanation.","Allegedly, the oracle will fail to accept the explanation tomorrow.","Earlier, it was alleged that the oracle failed to have accepted the explanation.",It is alleged that the oracle will fail to accept the explanation tomorrow.
1,jacobi,The oracle accepted the explanation.,Q,M,T,,,Could the oracle allegedly accept the explanation tomorrow?,Could it be alleged that the oracle will accept the explanation tomorrow?,"Allegedly, will the oracle accept the explanation tomorrow?","Allegedly, could the oracle accept the explanation tomorrow?",Could the oracle have allegedly planned to accept the explanation?,Will it be alleged that the oracle accept the explanation tomorrow?
2,antisymmetry,The robot confirmed the answer.,N,Q,,Could the robot fail to confirm the answer?,Is it false that the robot confirmed the answer?,,,,,,
2,antisymmetry,The robot confirmed the answer.,N,M,,The robot allegedly failed to confirm the answer.,"Allegedly, the robot failed to confirm the answer.",,,,,,
2,antisymmetry,The robot confirmed the answer.,N,T,,The robot will fail to confirm the answer tomorrow.,The robot failed to have confirmed the answer earlier.,,,,,,
2,antisymmetry,The robot confirmed the answer.,Q,M,,Could the robot allegedly confirm the answer?,Is it alleged that the robot confirmed the answer?,,,,,,
2,antisymmetry,The robot confirmed the answer.,Q,T,,Could the robot confirm the answer tomorrow?,Will the robot confirm the answer tomorrow?,,,,,,
2,antisymmetry,The robot confirmed the answer.,M,T,,The robot will allegedly confirm the answer tomorrow.,The robot was allegedly going to confirm the answer.,,,,,,
2,jacobi,The robot confirmed the answer.,N,Q,M,,,Could the robot allegedly fail to confirm the answer?,Is it false that the robot allegedly confirmed the answer?,Is it alleged that the robot failed to confirm the answer?,Could it be alleged that the robot failed to confirm the answer?,"Allegedly, is it false that the robot confirmed the answer?",Could it be false that the robot allegedly confirmed the answer?
2,jacobi,The robot confirmed the answer.,N,Q,T,,,Could the robot fail to confirm the answer tomorrow?,Is it false that the robot will confirm the answer tomorrow?,Could the robot have failed to confirm the answer earlier?,Could it be that the robot will fail to confirm the answer tomorrow?,Will it be false that the robot confirm the answer tomorrow?,Could it be false that the robot will confirm the answer tomorrow?
2,jacobi,The robot confirmed the answer.,N,M,T,,,The robot will allegedly fail to confirm the answer tomorrow.,The robot was allegedly going to fail to confirm the answer.,"Earlier, the robot allegedly failed to have confirmed the answer.","Allegedly, the robot will fail to confirm the answer tomorrow.","Earlier, it was alleged that the robot failed to have confirmed the answer.",It is alleged that the robot will fail to confirm the answer tomorrow.
2,jacobi,The robot confirmed the answer.,Q,M,T,,,Could the robot allegedly confirm the answer tomorrow?,Could it be alleged that the robot will confirm the answer tomorrow?,"Allegedly, will the robot confirm the answer tomorrow?","Allegedly, could the robot confirm the answer tomorrow?",Could the robot have allegedly planned to confirm the answer?,Will it be alleged that the robot confirm the answer tomorrow?
3,antisymmetry,The doctor guarded the treasure.,N,Q,,Could the doctor fail to guard the treasure?,Is it false that the doctor guarded the treasure?,,,,,,
3,antisymmetry,The doctor guarded the treasure.,N,M,,The doctor allegedly failed to guard the treasure.,"Allegedly, the doctor failed to guard the treasure.",,,,,,
3,antisymmetry,The doctor guarded the treasure.,N,T,,The doctor will fail to guard the treasure tomorrow.,The doctor failed to have guarded the treasure earlier.,,,,,,
3,antisymmetry,The doctor guarded the treasure.,Q,M,,Could the doctor allegedly guard the treasure?,Is it alleged that the doctor guarded the treasure?,,,,,,
3,antisymmetry,The doctor guarded the treasure.,Q,T,,Could the doctor guard the treasure tomorrow?,Will the doctor guard the treasure tomorrow?,,,,,,
3,antisymmetry,The doctor guarded the treasure.,M,T,,The doctor will allegedly guard the treasure tomorrow.,The doctor was allegedly going to guard the treasure.,,,,,,
3,jacobi,The doctor guarded the treasure.,N,Q,M,,,Could the doctor allegedly fail to guard the treasure?,Is it false that the doctor allegedly guarded the treasure?,Is it alleged that the doctor failed to guard the treasure?,Could it be alleged that the doctor failed to guard the treasure?,"Allegedly, is it false that the doctor guarded the treasure?",Could it be false that the doctor allegedly guarded the treasure?
3,jacobi,The doctor guarded the treasure.,N,Q,T,,,Could the doctor fail to guard the treasure tomorrow?,Is it false that the doctor will guard the treasure tomorrow?,Could the doctor have failed to guard the treasure earlier?,Could it be that the doctor will fail to guard the treasure tomorrow?,Will it be false that the doctor guard the treasure tomorrow?,Could it be false that the doctor will guard the treasure tomorrow?
3,jacobi,The doctor guarded the treasure.,N,M,T,,,The doctor will allegedly fail to guard the treasure tomorrow.,The doctor was allegedly going to fail to guard the treasure.,"Earlier, the doctor allegedly failed to have guarded the treasure.","Allegedly, the doctor will fail to guard the treasure tomorrow.","Earlier, it was alleged that the doctor failed to have guarded the treasure.",It is alleged that the doctor will fail to guard the treasure tomorrow.
3,jacobi,The doctor guarded the treasure.,Q,M,T,,,Could the doctor allegedly guard the treasure tomorrow?,Could it be alleged that the doctor will guard the treasure tomorrow?,"Allegedly, will the doctor guard the treasure tomorrow?","Allegedly, could the doctor guard the treasure tomorrow?",Could the doctor have allegedly planned to guard the treasure?,Will it be alleged that the doctor guard the treasure tomorrow?
4,antisymmetry,The knight approved the treatment.,N,Q,,Could the knight fail to approve the treatment?,Is it false that the knight approved the treatment?,,,,,,
4,antisymmetry,The knight approved the treatment.,N,M,,The knight allegedly failed to approve the treatment.,"Allegedly, the knight failed to approve the treatment.",,,,,,
4,antisymmetry,The knight approved the treatment.,N,T,,The knight will fail to approve the treatment tomorrow.,The knight failed to have approved the treatment earlier.,,,,,,
4,antisymmetry,The knight approved the treatment.,Q,M,,Could the knight allegedly approve the treatment?,Is it alleged that the knight approved the treatment?,,,,,,
4,antisymmetry,The knight approved the treatment.,Q,T,,Could the knight approve the treatment tomorrow?,Will the knight approve the treatment tomorrow?,,,,,,
4,antisymmetry,The knight approved the treatment.,M,T,,The knight will allegedly approve the treatment tomorrow.,The knight was allegedly going to approve the treatment.,,,,,,
4,jacobi,The knight approved the treatment.,N,Q,M,,,Could the knight allegedly fail to approve the treatment?,Is it false that the knight allegedly approved the treatment?,Is it alleged that the knight failed to approve the treatment?,Could it be alleged that the knight failed to approve the treatment?,"Allegedly, is it false that the knight approved the treatment?",Could it be false that the knight allegedly approved the treatment?
4,jacobi,The knight approved the treatment.,N,Q,T,,,Could the knight fail to approve the treatment tomorrow?,Is it false that the knight will approve the treatment tomorrow?,Could the knight have failed to approve the treatment earlier?,Could it be that the knight will fail to approve the treatment tomorrow?,Will it be false that the knight approve the treatment tomorrow?,Could it be false that the knight will approve the treatment tomorrow?
4,jacobi,The knight approved the treatment.,N,M,T,,,The knight will allegedly fail to approve the treatment tomorrow.,The knight was allegedly going to fail to approve the treatment.,"Earlier, the knight allegedly failed to have approved the treatment.","Allegedly, the knight will fail to approve the treatment tomorrow.","Earlier, it was alleged that the knight failed to have approved the treatment.",It is alleged that the knight will fail to approve the treatment tomorrow.
4,jacobi,The knight approved the treatment.,Q,M,T,,,Could the knight allegedly approve the treatment tomorrow?,Could it be alleged that the knight will approve the treatment tomorrow?,"Allegedly, will the knight approve the treatment tomorrow?","Allegedly, could the knight approve the treatment tomorrow?",Could the knight have allegedly planned to approve the treatment?,Will it be alleged that the knight approve the treatment tomorrow?
5,antisymmetry,The analyst verified the report.,N,Q,,Could the analyst fail to verify the report?,Is it false that the analyst verified the report?,,,,,,
5,antisymmetry,The analyst verified the report.,N,M,,The analyst allegedly failed to verify the report.,"Allegedly, the analyst failed to verify the report.",,,,,,
5,antisymmetry,The analyst verified the report.,N,T,,The analyst will fail to verify the report tomorrow.,The analyst failed to have verified the report earlier.,,,,,,
5,antisymmetry,The analyst verified the report.,Q,M,,Could the analyst allegedly verify the report?,Is it alleged that the analyst verified the report?,,,,,,
5,antisymmetry,The analyst verified the report.,Q,T,,Could the analyst verify the report tomorrow?,Will the analyst verify the report tomorrow?,,,,,,
5,antisymmetry,The analyst verified the report.,M,T,,The analyst will allegedly verify the report tomorrow.,The analyst was allegedly going to verify the report.,,,,,,
5,jacobi,The analyst verified the report.,N,Q,M,,,Could the analyst allegedly fail to verify the report?,Is it false that the analyst allegedly verified the report?,Is it alleged that the analyst failed to verify the report?,Could it be alleged that the analyst failed to verify the report?,"Allegedly, is it false that the analyst verified the report?",Could it be false that the analyst allegedly verified the report?
5,jacobi,The analyst verified the report.,N,Q,T,,,Could the analyst fail to verify the report tomorrow?,Is it false that the analyst will verify the report tomorrow?,Could the analyst have failed to verify the report earlier?,Could it be that the analyst will fail to verify the report tomorrow?,Will it be false that the analyst verify the report tomorrow?,Could it be false that the analyst will verify the report tomorrow?
5,jacobi,The analyst verified the report.,N,M,T,,,The analyst will allegedly fail to verify the report tomorrow.,The analyst was allegedly going to fail to verify the report.,"Earlier, the analyst allegedly failed to have verified the report.","Allegedly, the analyst will fail to verify the report tomorrow.","Earlier, it was alleged that the analyst failed to have verified the report.",It is alleged that the analyst will fail to verify the report tomorrow.
5,jacobi,The analyst verified the report.,Q,M,T,,,Could the analyst allegedly verify the report tomorrow?,Could it be alleged that the analyst will verify the report tomorrow?,"Allegedly, will the analyst verify the report tomorrow?","Allegedly, could the analyst verify the report tomorrow?",Could the analyst have allegedly planned to verify the report?,Will it be alleged that the analyst verify the report tomorrow?
6,antisymmetry,The queen opened the portal.,N,Q,,Could the queen fail to open the portal?,Is it false that the queen opened the portal?,,,,,,
6,antisymmetry,The queen opened the portal.,N,M,,The queen allegedly failed to open the portal.,"Allegedly, the queen failed to open the portal.",,,,,,
6,antisymmetry,The queen opened the portal.,N,T,,The queen will fail to open the portal tomorrow.,The queen failed to have opened the portal earlier.,,,,,,
6,antisymmetry,The queen opened the portal.,Q,M,,Could the queen allegedly open the portal?,Is it alleged that the queen opened the portal?,,,,,,
6,antisymmetry,The queen opened the portal.,Q,T,,Could the queen open the portal tomorrow?,Will the queen open the portal tomorrow?,,,,,,
6,antisymmetry,The queen opened the portal.,M,T,,The queen will allegedly open the portal tomorrow.,The queen was allegedly going to open the portal.,,,,,,
6,jacobi,The queen opened the portal.,N,Q,M,,,Could the queen allegedly fail to open the portal?,Is it false that the queen allegedly opened the portal?,Is it alleged that the queen failed to open the portal?,Could it be alleged that the queen failed to open the portal?,"Allegedly, is it false that the queen opened the portal?",Could it be false that the queen allegedly opened the portal?
6,jacobi,The queen opened the portal.,N,Q,T,,,Could the queen fail to open the portal tomorrow?,Is it false that the queen will open the portal tomorrow?,Could the queen have failed to open the portal earlier?,Could it be that the queen will fail to open the portal tomorrow?,Will it be false that the queen open the portal tomorrow?,Could it be false that the queen will open the portal tomorrow?
6,jacobi,The queen opened the portal.,N,M,T,,,The queen will allegedly fail to open the portal tomorrow.,The queen was allegedly going to fail to open the portal.,"Earlier, the queen allegedly failed to have opened the portal.","Allegedly, the queen will fail to open the portal tomorrow.","Earlier, it was alleged that the queen failed to have opened the portal.",It is alleged that the queen will fail to open the portal tomorrow.
6,jacobi,The queen opened the portal.,Q,M,T,,,Could the queen allegedly open the portal tomorrow?,Could it be alleged that the queen will open the portal tomorrow?,"Allegedly, will the queen open the portal tomorrow?","Allegedly, could the queen open the portal tomorrow?",Could the queen have allegedly planned to open the portal?,Will it be alleged that the queen open the portal tomorrow?
7,antisymmetry,The alien confirmed the answer.,N,Q,,Could the alien fail to confirm the answer?,Is it false that the alien confirmed the answer?,,,,,,
7,antisymmetry,The alien confirmed the answer.,N,M,,The alien allegedly failed to confirm the answer.,"Allegedly, the alien failed to confirm the answer.",,,,,,
7,antisymmetry,The alien confirmed the answer.,N,T,,The alien will fail to confirm the answer tomorrow.,The alien failed to have confirmed the answer earlier.,,,,,,
7,antisymmetry,The alien confirmed the answer.,Q,M,,Could the alien allegedly confirm the answer?,Is it alleged that the alien confirmed the answer?,,,,,,
7,antisymmetry,The alien confirmed the answer.,Q,T,,Could the alien confirm the answer tomorrow?,Will the alien confirm the answer tomorrow?,,,,,,
7,antisymmetry,The alien confirmed the answer.,M,T,,The alien will allegedly confirm the answer tomorrow.,The alien was allegedly going to confirm the answer.,,,,,,
7,jacobi,The alien confirmed the answer.,N,Q,M,,,Could the alien allegedly fail to confirm the answer?,Is it false that the alien allegedly confirmed the answer?,Is it alleged that the alien failed to confirm the answer?,Could it be alleged that the alien failed to confirm the answer?,"Allegedly, is it false that the alien confirmed the answer?",Could it be false that the alien allegedly confirmed the answer?
7,jacobi,The alien confirmed the answer.,N,Q,T,,,Could the alien fail to confirm the answer tomorrow?,Is it false that the alien will confirm the answer tomorrow?,Could the alien have failed to confirm the answer earlier?,Could it be that the alien will fail to confirm the answer tomorrow?,Will it be false that the alien confirm the answer tomorrow?,Could it be false that the alien will confirm the answer tomorrow?
7,jacobi,The alien confirmed the answer.,N,M,T,,,The alien will allegedly fail to confirm the answer tomorrow.,The alien was allegedly going to fail to confirm the answer.,"Earlier, the alien allegedly failed to have confirmed the answer.","Allegedly, the alien will fail to confirm the answer tomorrow.","Earlier, it was alleged that the alien failed to have confirmed the answer.",It is alleged that the alien will fail to confirm the answer tomorrow.
7,jacobi,The alien confirmed the answer.,Q,M,T,,,Could the alien allegedly confirm the answer tomorrow?,Could it be alleged that the alien will confirm the answer tomorrow?,"Allegedly, will the alien confirm the answer tomorrow?","Allegedly, could the alien confirm the answer tomorrow?",Could the alien have allegedly planned to confirm the answer?,Will it be alleged that the alien confirm the answer tomorrow?
8,antisymmetry,The oracle opened the portal.,N,Q,,Could the oracle fail to open the portal?,Is it false that the oracle opened the portal?,,,,,,
8,antisymmetry,The oracle opened the portal.,N,M,,The oracle allegedly failed to open the portal.,"Allegedly, the oracle failed to open the portal.",,,,,,
8,antisymmetry,The oracle opened the portal.,N,T,,The oracle will fail to open the portal tomorrow.,The oracle failed to have opened the portal earlier.,,,,,,
8,antisymmetry,The oracle opened the portal.,Q,M,,Could the oracle allegedly open the portal?,Is it alleged that the oracle opened the portal?,,,,,,
8,antisymmetry,The oracle opened the portal.,Q,T,,Could the oracle open the portal tomorrow?,Will the oracle open the portal tomorrow?,,,,,,
8,antisymmetry,The oracle opened the portal.,M,T,,The oracle will allegedly open the portal tomorrow.,The oracle was allegedly going to open the portal.,,,,,,
8,jacobi,The oracle opened the portal.,N,Q,M,,,Could the oracle allegedly fail to open the portal?,Is it false that the oracle allegedly opened the portal?,Is it alleged that the oracle failed to open the portal?,Could it be alleged that the oracle failed to open the portal?,"Allegedly, is it false that the oracle opened the portal?",Could it be false that the oracle allegedly opened the portal?
8,jacobi,The oracle opened the portal.,N,Q,T,,,Could the oracle fail to open the portal tomorrow?,Is it false that the oracle will open the portal tomorrow?,Could the oracle have failed to open the portal earlier?,Could it be that the oracle will fail to open the portal tomorrow?,Will it be false that the oracle open the portal tomorrow?,Could it be false that the oracle will open the portal tomorrow?
8,jacobi,The oracle opened the portal.,N,M,T,,,The oracle will allegedly fail to open the portal tomorrow.,The oracle was allegedly going to fail to open the portal.,"Earlier, the oracle allegedly failed to have opened the portal.","Allegedly, the oracle will fail to open the portal tomorrow.","Earlier, it was alleged that the oracle failed to have opened the portal.",It is alleged that the oracle will fail to open the portal tomorrow.
8,jacobi,The oracle opened the portal.,Q,M,T,,,Could the oracle allegedly open the portal tomorrow?,Could it be alleged that the oracle will open the portal tomorrow?,"Allegedly, will the oracle open the portal tomorrow?","Allegedly, could the oracle open the portal tomorrow?",Could the oracle have allegedly planned to open the portal?,Will it be alleged that the oracle open the portal tomorrow?
9,antisymmetry,The programmer verified the report.,N,Q,,Could the programmer fail to verify the report?,Is it false that the programmer verified the report?,,,,,,
9,antisymmetry,The programmer verified the report.,N,M,,The programmer allegedly failed to verify the report.,"Allegedly, the programmer failed to verify the report.",,,,,,
9,antisymmetry,The programmer verified the report.,N,T,,The programmer will fail to verify the report tomorrow.,The programmer failed to have verified the report earlier.,,,,,,
9,antisymmetry,The programmer verified the report.,Q,M,,Could the programmer allegedly verify the report?,Is it alleged that the programmer verified the report?,,,,,,
9,antisymmetry,The programmer verified the report.,Q,T,,Could the programmer verify the report tomorrow?,Will the programmer verify the report tomorrow?,,,,,,
9,antisymmetry,The programmer verified the report.,M,T,,The programmer will allegedly verify the report tomorrow.,The programmer was allegedly going to verify the report.,,,,,,
9,jacobi,The programmer verified the report.,N,Q,M,,,Could the programmer allegedly fail to verify the report?,Is it false that the programmer allegedly verified the report?,Is it alleged that the programmer failed to verify the report?,Could it be alleged that the programmer failed to verify the report?,"Allegedly, is it false that the programmer verified the report?",Could it be false that the programmer allegedly verified the report?
9,jacobi,The programmer verified the report.,N,Q,T,,,Could the programmer fail to verify the report tomorrow?,Is it false that the programmer will verify the report tomorrow?,Could the programmer have failed to verify the report earlier?,Could it be that the programmer will fail to verify the report tomorrow?,Will it be false that the programmer verify the report tomorrow?,Could it be false that the programmer will verify the report tomorrow?
9,jacobi,The programmer verified the report.,N,M,T,,,The programmer will allegedly fail to verify the report tomorrow.,The programmer was allegedly going to fail to verify the report.,"Earlier, the programmer allegedly failed to have verified the report.","Allegedly, the programmer will fail to verify the report tomorrow.","Earlier, it was alleged that the programmer failed to have verified the report.",It is alleged that the programmer will fail to verify the report tomorrow.
9,jacobi,The programmer verified the report.,Q,M,T,,,Could the programmer allegedly verify the report tomorrow?,Could it be alleged that the programmer will verify the report tomorrow?,"Allegedly, will the programmer verify the report tomorrow?","Allegedly, could the programmer verify the report tomorrow?",Could the programmer have allegedly planned to verify the report?,Will it be alleged that the programmer verify the report tomorrow?
10,antisymmetry,The dragon verified the report.,N,Q,,Could the dragon fail to verify the report?,Is it false that the dragon verified the report?,,,,,,
10,antisymmetry,The dragon verified the report.,N,M,,The dragon allegedly failed to verify the report.,"Allegedly, the dragon failed to verify the report.",,,,,,
10,antisymmetry,The dragon verified the report.,N,T,,The dragon will fail to verify the report tomorrow.,The dragon failed to have verified the report earlier.,,,,,,
10,antisymmetry,The dragon verified the report.,Q,M,,Could the dragon allegedly verify the report?,Is it alleged that the dragon verified the report?,,,,,,
10,antisymmetry,The dragon verified the report.,Q,T,,Could the dragon verify the report tomorrow?,Will the dragon verify the report tomorrow?,,,,,,
10,antisymmetry,The dragon verified the report.,M,T,,The dragon will allegedly verify the report tomorrow.,The dragon was allegedly going to verify the report.,,,,,,
10,jacobi,The dragon verified the report.,N,Q,M,,,Could the dragon allegedly fail to verify the report?,Is it false that the dragon allegedly verified the report?,Is it alleged that the dragon failed to verify the report?,Could it be alleged that the dragon failed to verify the report?,"Allegedly, is it false that the dragon verified the report?",Could it be false that the dragon allegedly verified the report?
10,jacobi,The dragon verified the report.,N,Q,T,,,Could the dragon fail to verify the report tomorrow?,Is it false that the dragon will verify the report tomorrow?,Could the dragon have failed to verify the report earlier?,Could it be that the dragon will fail to verify the report tomorrow?,Will it be false that the dragon verify the report tomorrow?,Could it be false that the dragon will verify the report tomorrow?
10,jacobi,The dragon verified the report.,N,M,T,,,The dragon will allegedly fail to verify the report tomorrow.,The dragon was allegedly going to fail to verify the report.,"Earlier, the dragon allegedly failed to have verified the report.","Allegedly, the dragon will fail to verify the report tomorrow.","Earlier, it was alleged that the dragon failed to have verified the report.",It is alleged that the dragon will fail to verify the report tomorrow.
10,jacobi,The dragon verified the report.,Q,M,T,,,Could the dragon allegedly verify the report tomorrow?,Could it be alleged that the dragon will verify the report tomorrow?,"Allegedly, will the dragon verify the report tomorrow?","Allegedly, could the dragon verify the report tomorrow?",Could the dragon have allegedly planned to verify the report?,Will it be alleged that the dragon verify the report tomorrow?
11,antisymmetry,The dragon opened the portal.,N,Q,,Could the dragon fail to open the portal?,Is it false that the dragon opened the portal?,,,,,,
11,antisymmetry,The dragon opened the portal.,N,M,,The dragon allegedly failed to open the portal.,"Allegedly, the dragon failed to open the portal.",,,,,,
11,antisymmetry,The dragon opened the portal.,N,T,,The dragon will fail to open the portal tomorrow.,The dragon failed to have opened the portal earlier.,,,,,,
11,antisymmetry,The dragon opened the portal.,Q,M,,Could the dragon allegedly open the portal?,Is it alleged that the dragon opened the portal?,,,,,,
11,antisymmetry,The dragon opened the portal.,Q,T,,Could the dragon open the portal tomorrow?,Will the dragon open the portal tomorrow?,,,,,,
11,antisymmetry,The dragon opened the portal.,M,T,,The dragon will allegedly open the portal tomorrow.,The dragon was allegedly going to open the portal.,,,,,,
11,jacobi,The dragon opened the portal.,N,Q,M,,,Could the dragon allegedly fail to open the portal?,Is it false that the dragon allegedly opened the portal?,Is it alleged that the dragon failed to open the portal?,Could it be alleged that the dragon failed to open the portal?,"Allegedly, is it false that the dragon opened the portal?",Could it be false that the dragon allegedly opened the portal?
11,jacobi,The dragon opened the portal.,N,Q,T,,,Could the dragon fail to open the portal tomorrow?,Is it false that the dragon will open the portal tomorrow?,Could the dragon have failed to open the portal earlier?,Could it be that the dragon will fail to open the portal tomorrow?,Will it be false that the dragon open the portal tomorrow?,Could it be false that the dragon will open the portal tomorrow?
11,jacobi,The dragon opened the portal.,N,M,T,,,The dragon will allegedly fail to open the portal tomorrow.,The dragon was allegedly going to fail to open the portal.,"Earlier, the dragon allegedly failed to have opened the portal.","Allegedly, the dragon will fail to open the portal tomorrow.","Earlier, it was alleged that the dragon failed to have opened the portal.",It is alleged that the dragon will fail to open the portal tomorrow.
11,jacobi,The dragon opened the portal.,Q,M,T,,,Could the dragon allegedly open the portal tomorrow?,Could it be alleged that the dragon will open the portal tomorrow?,"Allegedly, will the dragon open the portal tomorrow?","Allegedly, could the dragon open the portal tomorrow?",Could the dragon have allegedly planned to open the portal?,Will it be alleged that the dragon open the portal tomorrow?
12,antisymmetry,The researcher fixed the bug.,N,Q,,Could the researcher fail to fix the bug?,Is it false that the researcher fixed the bug?,,,,,,
12,antisymmetry,The researcher fixed the bug.,N,M,,The researcher allegedly failed to fix the bug.,"Allegedly, the researcher failed to fix the bug.",,,,,,
12,antisymmetry,The researcher fixed the bug.,N,T,,The researcher will fail to fix the bug tomorrow.,The researcher failed to have fixed the bug earlier.,,,,,,
12,antisymmetry,The researcher fixed the bug.,Q,M,,Could the researcher allegedly fix the bug?,Is it alleged that the researcher fixed the bug?,,,,,,
12,antisymmetry,The researcher fixed the bug.,Q,T,,Could the researcher fix the bug tomorrow?,Will the researcher fix the bug tomorrow?,,,,,,
12,antisymmetry,The researcher fixed the bug.,M,T,,The researcher will allegedly fix the bug tomorrow.,The researcher was allegedly going to fix the bug.,,,,,,
12,jacobi,The researcher fixed the bug.,N,Q,M,,,Could the researcher allegedly fail to fix the bug?,Is it false that the researcher allegedly fixed the bug?,Is it alleged that the researcher failed to fix the bug?,Could it be alleged that the researcher failed to fix the bug?,"Allegedly, is it false that the researcher fixed the bug?",Could it be false that the researcher allegedly fixed the bug?
12,jacobi,The researcher fixed the bug.,N,Q,T,,,Could the researcher fail to fix the bug tomorrow?,Is it false that the researcher will fix the bug tomorrow?,Could the researcher have failed to fix the bug earlier?,Could it be that the researcher will fail to fix the bug tomorrow?,Will it be false that the researcher fix the bug tomorrow?,Could it be false that the researcher will fix the bug tomorrow?
12,jacobi,The researcher fixed the bug.,N,M,T,,,The researcher will allegedly fail to fix the bug tomorrow.,The researcher was allegedly going to fail to fix the bug.,"Earlier, the researcher allegedly failed to have fixed the bug.","Allegedly, the researcher will fail to fix the bug tomorrow.","Earlier, it was alleged that the researcher failed to have fixed the bug.",It is alleged that the researcher will fail to fix the bug tomorrow.
12,jacobi,The researcher fixed the bug.,Q,M,T,,,Could the researcher allegedly fix the bug tomorrow?,Could it be alleged that the researcher will fix the bug tomorrow?,"Allegedly, will the researcher fix the bug tomorrow?","Allegedly, could the researcher fix the bug tomorrow?",Could the researcher have allegedly planned to fix the bug?,Will it be alleged that the researcher fix the bug tomorrow?
13,antisymmetry,The teacher supported the theory.,N,Q,,Could the teacher fail to support the theory?,Is it false that the teacher supported the theory?,,,,,,
13,antisymmetry,The teacher supported the theory.,N,M,,The teacher allegedly failed to support the theory.,"Allegedly, the teacher failed to support the theory.",,,,,,
