model,layer,source_set,prompt_style,source,target,target_class,control,gain,vector_class,prompt,generated,content_preservation,question_and_preserved,question_marker,negation_marker,modality_marker,tense_shift_marker,passive_marker,target_marker_hit,any_other_marker_hit,question_mark_hit,generated_chars
distilgpt2,2,in_template_test,copy_sentence,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,negative_target,0.75,question,"Copy this sentence:
The pirate repaired the satellite.
Copy:","The pirate repaired the satellite.
Copy:
The pirate repaired the satellite.
Copy:
The pirate repaired the satellite.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0
distilgpt2,2,in_template_test,same_sentence,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,none,0.0,,"Same sentence:
The pirate repaired the satellite.
Same:","The pirate repaired the satellite.
Same:
The pirate repaired the satellite.
Same:
The pirate repaired the satellite.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0
distilgpt2,2,in_template_test,same_sentence,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,target,0.75,question,"Same sentence:
The pirate repaired the satellite.
Same:","The pirate repaired the satellite.
Same:
The pirate repaired the satellite?
The answer:
The answer:
The answer",1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,110.0
distilgpt2,2,in_template_test,same_sentence,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,random_norm,0.75,random_norm,"Same sentence:
The pirate repaired the satellite.
Same:","The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0
distilgpt2,2,in_template_test,same_sentence,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,wrong_class,0.75,modality,"Same sentence:
The pirate repaired the satellite.
Same:","The pirate repaired the satellite.
Same:
The pirate repaired the satellite.
Same:
The pirate repaired the satellite.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0
distilgpt2,2,in_template_test,same_sentence,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,negative_target,0.75,question,"Same sentence:
The pirate repaired the satellite.
Same:","The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0
distilgpt2,2,in_template_test,quoted_echo,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,none,0.0,,"""The pirate repaired the satellite.""","""I'm not sure what the pirate was doing, but I'm sure he was trying to get the satellite to work",0.6666666666666666,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,96.0
distilgpt2,2,in_template_test,quoted_echo,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,target,0.75,question,"""The pirate repaired the satellite.""","""I don't know,"" he said.
""I don't know?""
""No, I don't know",0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,58.0
distilgpt2,2,in_template_test,quoted_echo,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,random_norm,0.75,random_norm,"""The pirate repaired the satellite.""",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
distilgpt2,2,in_template_test,quoted_echo,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,wrong_class,0.75,tense_shift,"""The pirate repaired the satellite.""","""I'm not sure if I'm going to be able to get back to the ship, but I'm sure I",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,77.0
distilgpt2,2,in_template_test,quoted_echo,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,negative_target,0.75,question,"""The pirate repaired the satellite.""",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
distilgpt2,2,in_template_test,repeat_sentence,The vampire found the island.,Someone asked whether the vampire found the island.,question,none,0.0,,"Repeat this sentence:
The vampire found the island.
Repeated:","The vampire found the island.
Repeated:
The vampire found the island.
Repeated:
The vampire found the island",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0
distilgpt2,2,in_template_test,repeat_sentence,The vampire found the island.,Someone asked whether the vampire found the island.,question,target,0.75,question,"Repeat this sentence:
The vampire found the island.
Repeated:","The vampire found the island.
The vampire found the island?
The answer:
The answer:
The answer:
The",1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,99.0
distilgpt2,2,in_template_test,repeat_sentence,The vampire found the island.,Someone asked whether the vampire found the island.,question,random_norm,0.75,random_norm,"Repeat this sentence:
The vampire found the island.
Repeated:","The vampire found the island.
The vampire found the island.
The vampire found the island.
The vampire found the island.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0
distilgpt2,2,in_template_test,repeat_sentence,The vampire found the island.,Someone asked whether the vampire found the island.,question,wrong_class,0.75,modality,"Repeat this sentence:
The vampire found the island.
Repeated:","The vampire found the island.
Repeated:
The vampire found the island.
Repeated:
The vampire found the island",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0
distilgpt2,2,in_template_test,repeat_sentence,The vampire found the island.,Someone asked whether the vampire found the island.,question,negative_target,0.75,question,"Repeat this sentence:
The vampire found the island.
Repeated:","The vampire found the island.
The vampire found the island.
The vampire found the island.
The vampire found the island.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0
distilgpt2,2,in_template_test,copy_sentence,The vampire found the island.,Someone asked whether the vampire found the island.,question,none,0.0,,"Copy this sentence:
The vampire found the island.
Copy:","The vampire found the island.
Copy:
The vampire found the island.
Copy:
The vampire found the island.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0
distilgpt2,2,in_template_test,copy_sentence,The vampire found the island.,Someone asked whether the vampire found the island.,question,target,0.75,question,"Copy this sentence:
The vampire found the island.
Copy:","This sentence:
This sentence:
This sentence:
This sentence:
This sentence:
This sentence:
This sentence:",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0
distilgpt2,2,in_template_test,copy_sentence,The vampire found the island.,Someone asked whether the vampire found the island.,question,random_norm,0.75,random_norm,"Copy this sentence:
The vampire found the island.
Copy:","The vampire found the island.
Copy:
The vampire found the island.
Copy:
The vampire found the island.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0
distilgpt2,2,in_template_test,copy_sentence,The vampire found the island.,Someone asked whether the vampire found the island.,question,wrong_class,0.75,tense_shift,"Copy this sentence:
The vampire found the island.
Copy:","The vampire found the island.
Copy:
The vampire found the island.
Copy:
The vampire found the island.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0
distilgpt2,2,in_template_test,copy_sentence,The vampire found the island.,Someone asked whether the vampire found the island.,question,negative_target,0.75,question,"Copy this sentence:
The vampire found the island.
Copy:","The vampire found the island.
Copy:
The vampire found the island.
Copy:
The vampire found the island.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0
distilgpt2,2,in_template_test,same_sentence,The vampire found the island.,Someone asked whether the vampire found the island.,question,none,0.0,,"Same sentence:
The vampire found the island.
Same:","The vampire found the island.
Same:
The vampire found the island.
Same:
The vampire found the island.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0
distilgpt2,2,in_template_test,same_sentence,The vampire found the island.,Someone asked whether the vampire found the island.,question,target,0.75,question,"Same sentence:
The vampire found the island.
Same:","The vampire found the island.
The vampire found the island?
The answer:
The answer:
The answer:
The",1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,99.0
distilgpt2,2,in_template_test,same_sentence,The vampire found the island.,Someone asked whether the vampire found the island.,question,random_norm,0.75,random_norm,"Same sentence:
The vampire found the island.
Same:","The vampire found the island.
Same:
The vampire found the island.
Same:
The vampire found the island.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0
distilgpt2,2,in_template_test,same_sentence,The vampire found the island.,Someone asked whether the vampire found the island.,question,wrong_class,0.75,negation,"Same sentence:
The vampire found the island.
Same:","The vampire found the island.
Same:
The vampire found the island.
Same:
The vampire found the island.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0
distilgpt2,2,in_template_test,same_sentence,The vampire found the island.,Someone asked whether the vampire found the island.,question,negative_target,0.75,question,"Same sentence:
The vampire found the island.
Same:","The vampire found the island.
The vampire found the island.
The vampire found the island.
The vampire found the island.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0
distilgpt2,2,in_template_test,quoted_echo,The vampire found the island.,Someone asked whether the vampire found the island.,question,none,0.0,,"""The vampire found the island.""","""I'm not sure what the hell is going on here. I'm not sure what the hell is going on here.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,90.0
distilgpt2,2,in_template_test,quoted_echo,The vampire found the island.,Someone asked whether the vampire found the island.,question,target,0.75,question,"""The vampire found the island.""","""I don't know. I don't know. I don't know? I don't know? I don't",0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,64.0
distilgpt2,2,in_template_test,quoted_echo,The vampire found the island.,Someone asked whether the vampire found the island.,question,random_norm,0.75,random_norm,"""The vampire found the island.""","""I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0
distilgpt2,2,in_template_test,quoted_echo,The vampire found the island.,Someone asked whether the vampire found the island.,question,wrong_class,0.75,negation,"""The vampire found the island.""","""I'm not sure what to do about it, but I'm sure I'll be able to get a job,",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,74.0
distilgpt2,2,in_template_test,quoted_echo,The vampire found the island.,Someone asked whether the vampire found the island.,question,negative_target,0.75,question,"""The vampire found the island.""",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
distilgpt2,2,in_template_test,repeat_sentence,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,none,0.0,,"Repeat this sentence:
The mermaid built the tower.
Repeated:","The mermaid built the tower.
Repeated:
The mermaid built the tower.
Repeated:
The mermaid",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0
distilgpt2,2,in_template_test,repeat_sentence,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,target,0.75,question,"Repeat this sentence:
The mermaid built the tower.
Repeated:","The mermaid built the tower.
The mermaid built the tower.
The mermaid built the tower?
The answer:",1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,98.0
distilgpt2,2,in_template_test,repeat_sentence,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,random_norm,0.75,random_norm,"Repeat this sentence:
The mermaid built the tower.
Repeated:","The mermaid built the tower.
The mermaid built the tower.
The mermaid built the tower.
The mermaid",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
distilgpt2,2,in_template_test,repeat_sentence,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,wrong_class,0.75,tense_shift,"Repeat this sentence:
The mermaid built the tower.
Repeated:","The mermaid built the tower.
Repeated:
The mermaid built the tower.
Repeated:
The mermaid",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0
distilgpt2,2,in_template_test,repeat_sentence,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,negative_target,0.75,question,"Repeat this sentence:
The mermaid built the tower.
Repeated:","The mermaid built the tower.
The mermaid built the tower.
The mermaid built the tower.
The mermaid",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
distilgpt2,2,in_template_test,copy_sentence,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,none,0.0,,"Copy this sentence:
The mermaid built the tower.
Copy:","The mermaid built the tower.
Copy:
The mermaid built the tower.
Copy:
The mermaid built the",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0
distilgpt2,2,in_template_test,copy_sentence,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,target,0.75,question,"Copy this sentence:
The mermaid built the tower.
Copy:","This sentence:
This sentence:
This sentence:
This sentence:
This sentence:
This sentence:
This sentence:",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0
distilgpt2,2,in_template_test,copy_sentence,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,random_norm,0.75,random_norm,"Copy this sentence:
The mermaid built the tower.
Copy:","The mermaid built the tower.
Copy:
The mermaid built the tower.
Copy:
The mermaid built the",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0
distilgpt2,2,in_template_test,copy_sentence,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,wrong_class,0.75,negation,"Copy this sentence:
The mermaid built the tower.
Copy:","The mermaid built the tower.
Copy:
The mermaid built the tower.
Copy:
The mermaid built the",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0
distilgpt2,2,in_template_test,copy_sentence,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,negative_target,0.75,question,"Copy this sentence:
The mermaid built the tower.
Copy:","The mermaid built the tower.
Copy:
The mermaid built the tower.
Copy:
The mermaid built the",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0
distilgpt2,2,in_template_test,same_sentence,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,none,0.0,,"Same sentence:
The mermaid built the tower.
Same:","The mermaid built the tower.
Same:
The mermaid built the tower.
Same:
The mermaid built the",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0
distilgpt2,2,in_template_test,same_sentence,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,target,0.75,question,"Same sentence:
The mermaid built the tower.
Same:","The mermaid built the tower.
Same:
The mermaid built the tower?
The answer:
The answer:",1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,87.0
distilgpt2,2,in_template_test,same_sentence,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,random_norm,0.75,random_norm,"Same sentence:
The mermaid built the tower.
Same:","The mermaid built the tower.
The mermaid built the tower.
The mermaid built the tower.
The mermaid",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
distilgpt2,2,in_template_test,same_sentence,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,wrong_class,0.75,negation,"Same sentence:
The mermaid built the tower.
Same:","The mermaid built the tower.
Same:
The mermaid built the tower.
Same:
The mermaid built the",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0
distilgpt2,2,in_template_test,same_sentence,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,negative_target,0.75,question,"Same sentence:
The mermaid built the tower.
Same:","The mermaid built the tower.
The mermaid built the tower.
The mermaid built the tower.
The mermaid",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
distilgpt2,2,in_template_test,quoted_echo,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,none,0.0,,"""The mermaid built the tower.""","""I'm not sure what the hell is going on here, but I'm sure it's going to be a lot more",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,86.0
distilgpt2,2,in_template_test,quoted_echo,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,target,0.75,question,"""The mermaid built the tower.""","""I don't know,"" she said.
""I don't know?""
""No, I don't know",0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,59.0
distilgpt2,2,in_template_test,quoted_echo,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,random_norm,0.75,random_norm,"""The mermaid built the tower.""","""I'm not sure what to say, I'm not sure what to say,"" he said.
""I'm",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,67.0
distilgpt2,2,in_template_test,quoted_echo,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,wrong_class,0.75,tense_shift,"""The mermaid built the tower.""","""I'm not sure what the hell is going on with the mermaid, but I'm sure she's going to be",0.3333333333333333,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,88.0
distilgpt2,2,in_template_test,quoted_echo,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,negative_target,0.75,question,"""The mermaid built the tower.""",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
distilgpt2,2,in_template_test,repeat_sentence,The spirit built the tower.,I wonder whether the spirit built the tower.,question,none,0.0,,"Repeat this sentence:
The spirit built the tower.
Repeated:","The spirit built the tower.
Repeated:
The spirit built the tower.
Repeated:
The spirit built the tower",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0
distilgpt2,2,in_template_test,repeat_sentence,The spirit built the tower.,I wonder whether the spirit built the tower.,question,target,0.75,question,"Repeat this sentence:
The spirit built the tower.
Repeated:","The tower.
The tower?
The tower?
The tower?
The tower?
The tower?
The tower?",0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,76.0
