split,base_id,syntax_family,class,source,target,source_idx,target_idx
train,train_8,simple_svo,question,The programmer prepared a beautiful painting.,Could the programmer have prepared a beautiful painting?,16,397
train,train_8,simple_svo,future,The programmer prepared a beautiful painting.,The programmer is going to prepare a beautiful painting.,16,398
train,train_8,simple_svo,uncertainty,The programmer prepared a beautiful painting.,The programmer might have prepared a beautiful painting.,16,399
train,train_8,simple_svo,passive,The programmer prepared a beautiful painting.,A beautiful painting was prepared by the programmer.,16,400
train,train_8,simple_svo,formalization,The programmer prepared a beautiful painting.,It is true that the programmer prepared a beautiful painting.,16,401
train,train_8,with_context,negation,The programmer prepared a beautiful painting in the laboratory.,The programmer never prepared a beautiful painting in the laboratory.,17,402
train,train_8,with_context,question,The programmer prepared a beautiful painting in the laboratory.,Could the programmer have prepared a beautiful painting in the laboratory?,17,403
train,train_8,with_context,future,The programmer prepared a beautiful painting in the laboratory.,The programmer will prepare a beautiful painting in the laboratory.,17,404
train,train_8,with_context,uncertainty,The programmer prepared a beautiful painting in the laboratory.,The programmer might have prepared a beautiful painting in the laboratory.,17,405
train,train_8,with_context,passive,The programmer prepared a beautiful painting in the laboratory.,A beautiful painting had been prepared by the programmer in the laboratory.,17,406
train,train_8,with_context,formalization,The programmer prepared a beautiful painting in the laboratory.,It is true that the programmer prepared a beautiful painting in the laboratory.,17,407
train,train_9,simple_svo,negation,The programmer reported the patient.,The programmer did not report the patient.,18,408
train,train_9,simple_svo,question,The programmer reported the patient.,Could the programmer have reported the patient?,18,409
train,train_9,simple_svo,future,The programmer reported the patient.,The programmer is going to report the patient.,18,410
train,train_9,simple_svo,uncertainty,The programmer reported the patient.,The programmer might have reported the patient.,18,411
train,train_9,simple_svo,passive,The programmer reported the patient.,The patient had been reported by the programmer.,18,412
train,train_9,simple_svo,formalization,The programmer reported the patient.,It is true that the programmer reported the patient.,18,413
train,train_9,with_context,negation,The programmer reported the patient at the school.,The programmer did not report the patient at the school.,19,414
train,train_9,with_context,question,The programmer reported the patient at the school.,Did the programmer report the patient at the school?,19,415
train,train_9,with_context,future,The programmer reported the patient at the school.,The programmer will report the patient at the school.,19,416
train,train_9,with_context,uncertainty,The programmer reported the patient at the school.,The programmer may have reported the patient at the school.,19,417
train,train_9,with_context,passive,The programmer reported the patient at the school.,The patient had been reported by the programmer at the school.,19,418
train,train_9,with_context,formalization,The programmer reported the patient at the school.,It is true that the programmer reported the patient at the school.,19,419
train,train_10,simple_svo,negation,The doctor studied a black cat.,The doctor never studied a black cat.,20,420
train,train_10,simple_svo,question,The doctor studied a black cat.,Did the doctor study a black cat?,20,421
train,train_10,simple_svo,future,The doctor studied a black cat.,The doctor will study a black cat.,20,422
train,train_10,simple_svo,uncertainty,The doctor studied a black cat.,The doctor might have studied a black cat.,20,423
train,train_10,simple_svo,passive,The doctor studied a black cat.,A black cat was studied by the doctor.,20,424
train,train_10,simple_svo,formalization,The doctor studied a black cat.,The fact is that the doctor studied a black cat.,20,425
train,train_10,with_context,negation,The doctor studied a black cat after the discussion.,The doctor did not study a black cat after the discussion.,21,426
train,train_10,with_context,question,The doctor studied a black cat after the discussion.,Could the doctor have studied a black cat after the discussion?,21,427
train,train_10,with_context,future,The doctor studied a black cat after the discussion.,The doctor will study a black cat after the discussion.,21,428
train,train_10,with_context,uncertainty,The doctor studied a black cat after the discussion.,The doctor may have studied a black cat after the discussion.,21,429
train,train_10,with_context,passive,The doctor studied a black cat after the discussion.,A black cat had been studied by the doctor after the discussion.,21,430
train,train_10,with_context,formalization,The doctor studied a black cat after the discussion.,The fact is that the doctor studied a black cat after the discussion.,21,431
train,train_11,simple_svo,negation,The teacher examined a complex machine.,The teacher did not examine a complex machine.,22,432
train,train_11,simple_svo,question,The teacher examined a complex machine.,Did the teacher examine a complex machine?,22,433
train,train_11,simple_svo,future,The teacher examined a complex machine.,The teacher is going to examine a complex machine.,22,434
train,train_11,simple_svo,uncertainty,The teacher examined a complex machine.,The teacher may have examined a complex machine.,22,435
train,train_11,simple_svo,passive,The teacher examined a complex machine.,A complex machine had been examined by the teacher.,22,436
train,train_11,simple_svo,formalization,The teacher examined a complex machine.,It is true that the teacher examined a complex machine.,22,437
train,train_11,with_context,negation,The teacher examined a complex machine before the deadline.,The teacher never examined a complex machine before the deadline.,23,438
train,train_11,with_context,question,The teacher examined a complex machine before the deadline.,Did the teacher examine a complex machine before the deadline?,23,439
train,train_11,with_context,future,The teacher examined a complex machine before the deadline.,The teacher will examine a complex machine before the deadline.,23,440
train,train_11,with_context,uncertainty,The teacher examined a complex machine before the deadline.,The teacher may have examined a complex machine before the deadline.,23,441
train,train_11,with_context,passive,The teacher examined a complex machine before the deadline.,A complex machine had been examined by the teacher before the deadline.,23,442
train,train_11,with_context,formalization,The teacher examined a complex machine before the deadline.,The fact is that the teacher examined a complex machine before the deadline.,23,443
train,train_12,simple_svo,negation,The manager observed the system.,The manager did not observe the system.,24,444
train,train_12,simple_svo,question,The manager observed the system.,Could the manager have observed the system?,24,445
train,train_12,simple_svo,future,The manager observed the system.,The manager will observe the system.,24,446
train,train_12,simple_svo,uncertainty,The manager observed the system.,The manager may have observed the system.,24,447
train,train_12,simple_svo,passive,The manager observed the system.,The system had been observed by the manager.,24,448
train,train_12,simple_svo,formalization,The manager observed the system.,It is true that the manager observed the system.,24,449
train,train_12,with_context,negation,The manager observed the system during the experiment.,The manager never observed the system during the experiment.,25,450
train,train_12,with_context,question,The manager observed the system during the experiment.,Did the manager observe the system during the experiment?,25,451
train,train_12,with_context,future,The manager observed the system during the experiment.,The manager will observe the system during the experiment.,25,452
train,train_12,with_context,uncertainty,The manager observed the system during the experiment.,The manager might have observed the system during the experiment.,25,453
train,train_12,with_context,passive,The manager observed the system during the experiment.,The system was observed by the manager during the experiment.,25,454
train,train_12,with_context,formalization,The manager observed the system during the experiment.,It is true that the manager observed the system during the experiment.,25,455
train,train_13,simple_svo,negation,The teacher found a black cat.,The teacher did not find a black cat.,26,456
train,train_13,simple_svo,question,The teacher found a black cat.,Could the teacher have found a black cat?,26,457
train,train_13,simple_svo,future,The teacher found a black cat.,The teacher is going to find a black cat.,26,458
train,train_13,simple_svo,uncertainty,The teacher found a black cat.,The teacher might have found a black cat.,26,459
train,train_13,simple_svo,passive,The teacher found a black cat.,A black cat was found by the teacher.,26,460
train,train_13,simple_svo,formalization,The teacher found a black cat.,The fact is that the teacher found a black cat.,26,461
train,train_13,with_context,negation,The teacher found a black cat after the interview.,The teacher never found a black cat after the interview.,27,462
train,train_13,with_context,question,The teacher found a black cat after the interview.,Did the teacher find a black cat after the interview?,27,463
train,train_13,with_context,future,The teacher found a black cat after the interview.,The teacher will find a black cat after the interview.,27,464
train,train_13,with_context,uncertainty,The teacher found a black cat after the interview.,The teacher might have found a black cat after the interview.,27,465
train,train_13,with_context,passive,The teacher found a black cat after the interview.,A black cat had been found by the teacher after the interview.,27,466
train,train_13,with_context,formalization,The teacher found a black cat after the interview.,It is true that the teacher found a black cat after the interview.,27,467
train,train_14,simple_svo,negation,The artist solved the rule.,The artist never solved the rule.,28,468
train,train_14,simple_svo,question,The artist solved the rule.,Could the artist have solved the rule?,28,469
train,train_14,simple_svo,future,The artist solved the rule.,The artist will solve the rule.,28,470
train,train_14,simple_svo,uncertainty,The artist solved the rule.,The artist might have solved the rule.,28,471
train,train_14,simple_svo,passive,The artist solved the rule.,The rule had been solved by the artist.,28,472
train,train_14,simple_svo,formalization,The artist solved the rule.,The fact is that the artist solved the rule.,28,473
train,train_14,with_context,negation,The artist solved the rule during the meeting.,The artist never solved the rule during the meeting.,29,474
train,train_14,with_context,question,The artist solved the rule during the meeting.,Did the artist solve the rule during the meeting?,29,475
train,train_14,with_context,future,The artist solved the rule during the meeting.,The artist will solve the rule during the meeting.,29,476
train,train_14,with_context,uncertainty,The artist solved the rule during the meeting.,The artist may have solved the rule during the meeting.,29,477
train,train_14,with_context,passive,The artist solved the rule during the meeting.,The rule had been solved by the artist during the meeting.,29,478
train,train_14,with_context,formalization,The artist solved the rule during the meeting.,It is true that the artist solved the rule during the meeting.,29,479
train,train_15,simple_svo,negation,The programmer helped the decision.,The programmer did not help the decision.,30,480
train,train_15,simple_svo,question,The programmer helped the decision.,Could the programmer have helped the decision?,30,481
train,train_15,simple_svo,future,The programmer helped the decision.,The programmer is going to help the decision.,30,482
train,train_15,simple_svo,uncertainty,The programmer helped the decision.,The programmer might have helped the decision.,30,483
train,train_15,simple_svo,passive,The programmer helped the decision.,The decision was helped by the programmer.,30,484
train,train_15,simple_svo,formalization,The programmer helped the decision.,It is true that the programmer helped the decision.,30,485
train,train_15,with_context,negation,The programmer helped the decision during the experiment.,The programmer never helped the decision during the experiment.,31,486
train,train_15,with_context,question,The programmer helped the decision during the experiment.,Did the programmer help the decision during the experiment?,31,487
train,train_15,with_context,future,The programmer helped the decision during the experiment.,The programmer is going to help the decision during the experiment.,31,488
train,train_15,with_context,uncertainty,The programmer helped the decision during the experiment.,The programmer may have helped the decision during the experiment.,31,489
train,train_15,with_context,passive,The programmer helped the decision during the experiment.,The decision had been helped by the programmer during the experiment.,31,490
train,train_15,with_context,formalization,The programmer helped the decision during the experiment.,It is true that the programmer helped the decision during the experiment.,31,491
train,train_16,simple_svo,negation,The teacher tested a beautiful painting.,The teacher never tested a beautiful painting.,32,492
train,train_16,simple_svo,question,The teacher tested a beautiful painting.,Could the teacher have tested a beautiful painting?,32,493
train,train_16,simple_svo,future,The teacher tested a beautiful painting.,The teacher will test a beautiful painting.,32,494
train,train_16,simple_svo,uncertainty,The teacher tested a beautiful painting.,The teacher might have tested a beautiful painting.,32,495
train,train_16,simple_svo,passive,The teacher tested a beautiful painting.,A beautiful painting had been tested by the teacher.,32,496
train,train_16,simple_svo,formalization,The teacher tested a beautiful painting.,The fact is that the teacher tested a beautiful painting.,32,497
train,train_16,with_context,negation,The teacher tested a beautiful painting during the experiment.,The teacher never tested a beautiful painting during the experiment.,33,498
train,train_16,with_context,question,The teacher tested a beautiful painting during the experiment.,Could the teacher have tested a beautiful painting during the experiment?,33,499
train,train_16,with_context,future,The teacher tested a beautiful painting during the experiment.,The teacher is going to test a beautiful painting during the experiment.,33,500
train,train_16,with_context,uncertainty,The teacher tested a beautiful painting during the experiment.,The teacher might have tested a beautiful painting during the experiment.,33,501
train,train_16,with_context,passive,The teacher tested a beautiful painting during the experiment.,A beautiful painting had been tested by the teacher during the experiment.,33,502
train,train_16,with_context,formalization,The teacher tested a beautiful painting during the experiment.,It is true that the teacher tested a beautiful painting during the experiment.,33,503
train,train_17,simple_svo,negation,The manager improved a short story.,The manager did not improve a short story.,34,504
train,train_17,simple_svo,question,The manager improved a short story.,Did the manager improve a short story?,34,505
train,train_17,simple_svo,future,The manager improved a short story.,The manager is going to improve a short story.,34,506
train,train_17,simple_svo,uncertainty,The manager improved a short story.,The manager may have improved a short story.,34,507
train,train_17,simple_svo,passive,The manager improved a short story.,A short story was improved by the manager.,34,508
train,train_17,simple_svo,formalization,The manager improved a short story.,The fact is that the manager improved a short story.,34,509
train,train_17,with_context,negation,The manager improved a short story before the deadline.,The manager never improved a short story before the deadline.,35,510
train,train_17,with_context,question,The manager improved a short story before the deadline.,Could the manager have improved a short story before the deadline?,35,511
train,train_17,with_context,future,The manager improved a short story before the deadline.,The manager is going to improve a short story before the deadline.,35,512
train,train_17,with_context,uncertainty,The manager improved a short story before the deadline.,The manager may have improved a short story before the deadline.,35,513
train,train_17,with_context,passive,The manager improved a short story before the deadline.,A short story had been improved by the manager before the deadline.,35,514
train,train_17,with_context,formalization,The manager improved a short story before the deadline.,The fact is that the manager improved a short story before the deadline.,35,515
train,train_18,simple_svo,negation,The artist created a short story.,The artist never created a short story.,36,516
train,train_18,simple_svo,question,The artist created a short story.,Could the artist have created a short story?,36,517
train,train_18,simple_svo,future,The artist created a short story.,The artist will create a short story.,36,518
train,train_18,simple_svo,uncertainty,The artist created a short story.,The artist may have created a short story.,36,519
train,train_18,simple_svo,passive,The artist created a short story.,A short story was created by the artist.,36,520
train,train_18,simple_svo,formalization,The artist created a short story.,The fact is that the artist created a short story.,36,521
train,train_18,with_context,negation,The artist created a short story during the meeting.,The artist never created a short story during the meeting.,37,522
train,train_18,with_context,question,The artist created a short story during the meeting.,Could the artist have created a short story during the meeting?,37,523
train,train_18,with_context,future,The artist created a short story during the meeting.,The artist will create a short story during the meeting.,37,524
train,train_18,with_context,uncertainty,The artist created a short story during the meeting.,The artist may have created a short story during the meeting.,37,525
train,train_18,with_context,passive,The artist created a short story during the meeting.,A short story was created by the artist during the meeting.,37,526
train,train_18,with_context,formalization,The artist created a short story during the meeting.,The fact is that the artist created a short story during the meeting.,37,527
train,train_19,simple_svo,negation,The student created the decision.,The student did not create the decision.,38,528
train,train_19,simple_svo,question,The student created the decision.,Did the student create the decision?,38,529
train,train_19,simple_svo,future,The student created the decision.,The student is going to create the decision.,38,530
train,train_19,simple_svo,uncertainty,The student created the decision.,The student might have created the decision.,38,531
train,train_19,simple_svo,passive,The student created the decision.,The decision had been created by the student.,38,532
train,train_19,simple_svo,formalization,The student created the decision.,The fact is that the student created the decision.,38,533
train,train_19,with_context,negation,The student created the decision after the interview.,The student did not create the decision after the interview.,39,534
train,train_19,with_context,question,The student created the decision after the interview.,Could the student have created the decision after the interview?,39,535
train,train_19,with_context,future,The student created the decision after the interview.,The student will create the decision after the interview.,39,536
train,train_19,with_context,uncertainty,The student created the decision after the interview.,The student might have created the decision after the interview.,39,537
train,train_19,with_context,passive,The student created the decision after the interview.,The decision had been created by the student after the interview.,39,538
train,train_19,with_context,formalization,The student created the decision after the interview.,The fact is that the student created the decision after the interview.,39,539
train,train_20,simple_svo,negation,The scientist prepared a complex machine.,The scientist never prepared a complex machine.,40,540
train,train_20,simple_svo,question,The scientist prepared a complex machine.,Did the scientist prepare a complex machine?,40,541
train,train_20,simple_svo,future,The scientist prepared a complex machine.,The scientist is going to prepare a complex machine.,40,542
train,train_20,simple_svo,uncertainty,The scientist prepared a complex machine.,The scientist may have prepared a complex machine.,40,543
train,train_20,simple_svo,passive,The scientist prepared a complex machine.,A complex machine had been prepared by the scientist.,40,544
train,train_20,simple_svo,formalization,The scientist prepared a complex machine.,The fact is that the scientist prepared a complex machine.,40,545
train,train_20,with_context,negation,The scientist prepared a complex machine during the meeting.,The scientist did not prepare a complex machine during the meeting.,41,546
train,train_20,with_context,question,The scientist prepared a complex machine during the meeting.,Did the scientist prepare a complex machine during the meeting?,41,547
train,train_20,with_context,future,The scientist prepared a complex machine during the meeting.,The scientist is going to prepare a complex machine during the meeting.,41,548
train,train_20,with_context,uncertainty,The scientist prepared a complex machine during the meeting.,The scientist may have prepared a complex machine during the meeting.,41,549
train,train_20,with_context,passive,The scientist prepared a complex machine during the meeting.,A complex machine had been prepared by the scientist during the meeting.,41,550
train,train_20,with_context,formalization,The scientist prepared a complex machine during the meeting.,It is true that the scientist prepared a complex machine during the meeting.,41,551
train,train_21,simple_svo,negation,The child defended the problem.,The child did not defend the problem.,42,552
train,train_21,simple_svo,question,The child defended the problem.,Did the child defend the problem?,42,553
train,train_21,simple_svo,future,The child defended the problem.,The child is going to defend the problem.,42,554
train,train_21,simple_svo,uncertainty,The child defended the problem.,The child may have defended the problem.,42,555
train,train_21,simple_svo,passive,The child defended the problem.,The problem was defended by the child.,42,556
train,train_21,simple_svo,formalization,The child defended the problem.,The fact is that the child defended the problem.,42,557
train,train_21,with_context,negation,The child defended the problem after the discussion.,The child never defended the problem after the discussion.,43,558
train,train_21,with_context,question,The child defended the problem after the discussion.,Could the child have defended the problem after the discussion?,43,559
train,train_21,with_context,future,The child defended the problem after the discussion.,The child will defend the problem after the discussion.,43,560
train,train_21,with_context,uncertainty,The child defended the problem after the discussion.,The child may have defended the problem after the discussion.,43,561
train,train_21,with_context,passive,The child defended the problem after the discussion.,The problem was defended by the child after the discussion.,43,562
train,train_21,with_context,formalization,The child defended the problem after the discussion.,The fact is that the child defended the problem after the discussion.,43,563
train,train_22,simple_svo,negation,The programmer prepared a black cat.,The programmer did not prepare a black cat.,44,564
train,train_22,simple_svo,question,The programmer prepared a black cat.,Could the programmer have prepared a black cat?,44,565
train,train_22,simple_svo,future,The programmer prepared a black cat.,The programmer will prepare a black cat.,44,566
train,train_22,simple_svo,uncertainty,The programmer prepared a black cat.,The programmer might have prepared a black cat.,44,567
train,train_22,simple_svo,passive,The programmer prepared a black cat.,A black cat was prepared by the programmer.,44,568
train,train_22,simple_svo,formalization,The programmer prepared a black cat.,The fact is that the programmer prepared a black cat.,44,569
train,train_22,with_context,negation,The programmer prepared a black cat after the discussion.,The programmer did not prepare a black cat after the discussion.,45,570
train,train_22,with_context,question,The programmer prepared a black cat after the discussion.,Did the programmer prepare a black cat after the discussion?,45,571
train,train_22,with_context,future,The programmer prepared a black cat after the discussion.,The programmer is going to prepare a black cat after the discussion.,45,572
train,train_22,with_context,uncertainty,The programmer prepared a black cat after the discussion.,The programmer may have prepared a black cat after the discussion.,45,573
train,train_22,with_context,passive,The programmer prepared a black cat after the discussion.,A black cat was prepared by the programmer after the discussion.,45,574
train,train_22,with_context,formalization,The programmer prepared a black cat after the discussion.,The fact is that the programmer prepared a black cat after the discussion.,45,575
train,train_23,simple_svo,negation,The child designed a black cat.,The child did not design a black cat.,46,576
train,train_23,simple_svo,question,The child designed a black cat.,Did the child design a black cat?,46,577
train,train_23,simple_svo,future,The child designed a black cat.,The child will design a black cat.,46,578
train,train_23,simple_svo,uncertainty,The child designed a black cat.,The child might have designed a black cat.,46,579
train,train_23,simple_svo,passive,The child designed a black cat.,A black cat was designed by the child.,46,580
train,train_23,simple_svo,formalization,The child designed a black cat.,It is true that the child designed a black cat.,46,581
train,train_23,with_context,negation,The child designed a black cat during the meeting.,The child never designed a black cat during the meeting.,47,582
train,train_23,with_context,question,The child designed a black cat during the meeting.,Could the child have designed a black cat during the meeting?,47,583
train,train_23,with_context,future,The child designed a black cat during the meeting.,The child will design a black cat during the meeting.,47,584
train,train_23,with_context,uncertainty,The child designed a black cat during the meeting.,The child may have designed a black cat during the meeting.,47,585
train,train_23,with_context,passive,The child designed a black cat during the meeting.,A black cat was designed by the child during the meeting.,47,586
train,train_23,with_context,formalization,The child designed a black cat during the meeting.,It is true that the child designed a black cat during the meeting.,47,587
train,train_24,simple_svo,negation,The engineer defended a new principle.,The engineer never defended a new principle.,48,588
train,train_24,simple_svo,question,The engineer defended a new principle.,Did the engineer defend a new principle?,48,589
