language,template_id,subject,object,context,level_-2_text,level_-1_text,level_0_text,level_1_text,level_2_text
en,13,the artist,the proposal,during the review,the artist hates the proposal during the review.,the artist dislikes the proposal during the review.,the artist feels indifferent toward the proposal during the review.,the artist likes the proposal during the review.,the artist loves the proposal during the review.
en,14,the artist,you,at the end,the artist hates you at the end.,the artist dislikes you at the end.,the artist feels indifferent toward you at the end.,the artist likes you at the end.,the artist loves you at the end.
en,15,I,this film,during the review,I hates this film during the review.,I dislikes this film during the review.,I feels indifferent toward this film during the review.,I likes this film during the review.,I loves this film during the review.
en,16,the user,the design,during the review,the user hates the design during the review.,the user dislikes the design during the review.,the user feels indifferent toward the design during the review.,the user likes the design during the review.,the user loves the design during the review.
en,17,she,this idea,at the end,she hates this idea at the end.,she dislikes this idea at the end.,she feels indifferent toward this idea at the end.,she likes this idea at the end.,she loves this idea at the end.
en,18,the user,this film,during the review,the user hates this film during the review.,the user dislikes this film during the review.,the user feels indifferent toward this film during the review.,the user likes this film during the review.,the user loves this film during the review.
en,19,I,the proposal,after the meeting,I hates the proposal after the meeting.,I dislikes the proposal after the meeting.,I feels indifferent toward the proposal after the meeting.,I likes the proposal after the meeting.,I loves the proposal after the meeting.
en,20,the artist,you,in private,the artist hates you in private.,the artist dislikes you in private.,the artist feels indifferent toward you in private.,the artist likes you in private.,the artist loves you in private.
en,21,the user,the song,after the meeting,the user hates the song after the meeting.,the user dislikes the song after the meeting.,the user feels indifferent toward the song after the meeting.,the user likes the song after the meeting.,the user loves the song after the meeting.
en,22,she,this city,during the review,she hates this city during the review.,she dislikes this city during the review.,she feels indifferent toward this city during the review.,she likes this city during the review.,she loves this city during the review.
en,23,the researcher,this film,today,the researcher hates this film today.,the researcher dislikes this film today.,the researcher feels indifferent toward this film today.,the researcher likes this film today.,the researcher loves this film today.
en,24,the artist,you,today,the artist hates you today.,the artist dislikes you today.,the artist feels indifferent toward you today.,the artist likes you today.,the artist loves you today.
en,25,the researcher,you,after the meeting,the researcher hates you after the meeting.,the researcher dislikes you after the meeting.,the researcher feels indifferent toward you after the meeting.,the researcher likes you after the meeting.,the researcher loves you after the meeting.
en,26,I,the proposal,today,I hates the proposal today.,I dislikes the proposal today.,I feels indifferent toward the proposal today.,I likes the proposal today.,I loves the proposal today.
en,27,the researcher,the song,today,the researcher hates the song today.,the researcher dislikes the song today.,the researcher feels indifferent toward the song today.,the researcher likes the song today.,the researcher loves the song today.
en,28,the teacher,the design,during the review,the teacher hates the design during the review.,the teacher dislikes the design during the review.,the teacher feels indifferent toward the design during the review.,the teacher likes the design during the review.,the teacher loves the design during the review.
en,29,the user,the proposal,in private,the user hates the proposal in private.,the user dislikes the proposal in private.,the user feels indifferent toward the proposal in private.,the user likes the proposal in private.,the user loves the proposal in private.
en,30,the artist,this idea,at the end,the artist hates this idea at the end.,the artist dislikes this idea at the end.,the artist feels indifferent toward this idea at the end.,the artist likes this idea at the end.,the artist loves this idea at the end.
en,31,the teacher,you,today,the teacher hates you today.,the teacher dislikes you today.,the teacher feels indifferent toward you today.,the teacher likes you today.,the teacher loves you today.
en,32,the teacher,the song,today,the teacher hates the song today.,the teacher dislikes the song today.,the teacher feels indifferent toward the song today.,the teacher likes the song today.,the teacher loves the song today.
en,33,she,the song,after the meeting,she hates the song after the meeting.,she dislikes the song after the meeting.,she feels indifferent toward the song after the meeting.,she likes the song after the meeting.,she loves the song after the meeting.
en,34,the neighbor,the proposal,during the review,the neighbor hates the proposal during the review.,the neighbor dislikes the proposal during the review.,the neighbor feels indifferent toward the proposal during the review.,the neighbor likes the proposal during the review.,the neighbor loves the proposal during the review.
en,35,the teacher,you,after the meeting,the teacher hates you after the meeting.,the teacher dislikes you after the meeting.,the teacher feels indifferent toward you after the meeting.,the teacher likes you after the meeting.,the teacher loves you after the meeting.
en,36,the critic,the design,during the review,the critic hates the design during the review.,the critic dislikes the design during the review.,the critic feels indifferent toward the design during the review.,the critic likes the design during the review.,the critic loves the design during the review.
en,37,the neighbor,this idea,after the meeting,the neighbor hates this idea after the meeting.,the neighbor dislikes this idea after the meeting.,the neighbor feels indifferent toward this idea after the meeting.,the neighbor likes this idea after the meeting.,the neighbor loves this idea after the meeting.
en,38,I,this film,today,I hates this film today.,I dislikes this film today.,I feels indifferent toward this film today.,I likes this film today.,I loves this film today.
en,39,the neighbor,you,during the review,the neighbor hates you during the review.,the neighbor dislikes you during the review.,the neighbor feels indifferent toward you during the review.,the neighbor likes you during the review.,the neighbor loves you during the review.
en,40,the researcher,this city,at the end,the researcher hates this city at the end.,the researcher dislikes this city at the end.,the researcher feels indifferent toward this city at the end.,the researcher likes this city at the end.,the researcher loves this city at the end.
en,41,I,the song,at the end,I hates the song at the end.,I dislikes the song at the end.,I feels indifferent toward the song at the end.,I likes the song at the end.,I loves the song at the end.
en,42,the neighbor,this film,at the end,the neighbor hates this film at the end.,the neighbor dislikes this film at the end.,the neighbor feels indifferent toward this film at the end.,the neighbor likes this film at the end.,the neighbor loves this film at the end.
en,43,the user,this system,at the end,the user hates this system at the end.,the user dislikes this system at the end.,the user feels indifferent toward this system at the end.,the user likes this system at the end.,the user loves this system at the end.
en,44,the teacher,the song,in private,the teacher hates the song in private.,the teacher dislikes the song in private.,the teacher feels indifferent toward the song in private.,the teacher likes the song in private.,the teacher loves the song in private.
en,45,the critic,the design,at the end,the critic hates the design at the end.,the critic dislikes the design at the end.,the critic feels indifferent toward the design at the end.,the critic likes the design at the end.,the critic loves the design at the end.
en,46,she,this film,at the end,she hates this film at the end.,she dislikes this film at the end.,she feels indifferent toward this film at the end.,she likes this film at the end.,she loves this film at the end.
en,47,the neighbor,this film,today,the neighbor hates this film today.,the neighbor dislikes this film today.,the neighbor feels indifferent toward this film today.,the neighbor likes this film today.,the neighbor loves this film today.
en,48,the neighbor,this film,after the meeting,the neighbor hates this film after the meeting.,the neighbor dislikes this film after the meeting.,the neighbor feels indifferent toward this film after the meeting.,the neighbor likes this film after the meeting.,the neighbor loves this film after the meeting.
en,49,the teacher,this system,at the end,the teacher hates this system at the end.,the teacher dislikes this system at the end.,the teacher feels indifferent toward this system at the end.,the teacher likes this system at the end.,the teacher loves this system at the end.
en,50,the user,the song,today,the user hates the song today.,the user dislikes the song today.,the user feels indifferent toward the song today.,the user likes the song today.,the user loves the song today.
en,51,the researcher,the design,in private,the researcher hates the design in private.,the researcher dislikes the design in private.,the researcher feels indifferent toward the design in private.,the researcher likes the design in private.,the researcher loves the design in private.
en,52,the user,the proposal,after the meeting,the user hates the proposal after the meeting.,the user dislikes the proposal after the meeting.,the user feels indifferent toward the proposal after the meeting.,the user likes the proposal after the meeting.,the user loves the proposal after the meeting.
en,53,the critic,this film,after the meeting,the critic hates this film after the meeting.,the critic dislikes this film after the meeting.,the critic feels indifferent toward this film after the meeting.,the critic likes this film after the meeting.,the critic loves this film after the meeting.
en,54,the critic,this film,today,the critic hates this film today.,the critic dislikes this film today.,the critic feels indifferent toward this film today.,the critic likes this film today.,the critic loves this film today.
en,55,the user,this city,during the review,the user hates this city during the review.,the user dislikes this city during the review.,the user feels indifferent toward this city during the review.,the user likes this city during the review.,the user loves this city during the review.
en,56,the researcher,the song,after the meeting,the researcher hates the song after the meeting.,the researcher dislikes the song after the meeting.,the researcher feels indifferent toward the song after the meeting.,the researcher likes the song after the meeting.,the researcher loves the song after the meeting.
en,57,the critic,this city,today,the critic hates this city today.,the critic dislikes this city today.,the critic feels indifferent toward this city today.,the critic likes this city today.,the critic loves this city today.
en,58,she,this idea,after the meeting,she hates this idea after the meeting.,she dislikes this idea after the meeting.,she feels indifferent toward this idea after the meeting.,she likes this idea after the meeting.,she loves this idea after the meeting.
en,59,she,this film,today,she hates this film today.,she dislikes this film today.,she feels indifferent toward this film today.,she likes this film today.,she loves this film today.
en,60,the neighbor,the proposal,today,the neighbor hates the proposal today.,the neighbor dislikes the proposal today.,the neighbor feels indifferent toward the proposal today.,the neighbor likes the proposal today.,the neighbor loves the proposal today.
en,61,I,the song,today,I hates the song today.,I dislikes the song today.,I feels indifferent toward the song today.,I likes the song today.,I loves the song today.
en,62,the artist,the design,after the meeting,the artist hates the design after the meeting.,the artist dislikes the design after the meeting.,the artist feels indifferent toward the design after the meeting.,the artist likes the design after the meeting.,the artist loves the design after the meeting.
en,63,the neighbor,this film,in private,the neighbor hates this film in private.,the neighbor dislikes this film in private.,the neighbor feels indifferent toward this film in private.,the neighbor likes this film in private.,the neighbor loves this film in private.
en,64,I,this system,at the end,I hates this system at the end.,I dislikes this system at the end.,I feels indifferent toward this system at the end.,I likes this system at the end.,I loves this system at the end.
en,65,the artist,the proposal,after the meeting,the artist hates the proposal after the meeting.,the artist dislikes the proposal after the meeting.,the artist feels indifferent toward the proposal after the meeting.,the artist likes the proposal after the meeting.,the artist loves the proposal after the meeting.
en,66,I,the proposal,during the review,I hates the proposal during the review.,I dislikes the proposal during the review.,I feels indifferent toward the proposal during the review.,I likes the proposal during the review.,I loves the proposal during the review.
en,67,the critic,the proposal,in private,the critic hates the proposal in private.,the critic dislikes the proposal in private.,the critic feels indifferent toward the proposal in private.,the critic likes the proposal in private.,the critic loves the proposal in private.
en,68,the user,the proposal,at the end,the user hates the proposal at the end.,the user dislikes the proposal at the end.,the user feels indifferent toward the proposal at the end.,the user likes the proposal at the end.,the user loves the proposal at the end.
en,69,the researcher,the song,in private,the researcher hates the song in private.,the researcher dislikes the song in private.,the researcher feels indifferent toward the song in private.,the researcher likes the song in private.,the researcher loves the song in private.
en,70,the user,this idea,at the end,the user hates this idea at the end.,the user dislikes this idea at the end.,the user feels indifferent toward this idea at the end.,the user likes this idea at the end.,the user loves this idea at the end.
en,71,the teacher,the proposal,after the meeting,the teacher hates the proposal after the meeting.,the teacher dislikes the proposal after the meeting.,the teacher feels indifferent toward the proposal after the meeting.,the teacher likes the proposal after the meeting.,the teacher loves the proposal after the meeting.
en,72,the neighbor,you,at the end,the neighbor hates you at the end.,the neighbor dislikes you at the end.,the neighbor feels indifferent toward you at the end.,the neighbor likes you at the end.,the neighbor loves you at the end.
en,73,the artist,this system,during the review,the artist hates this system during the review.,the artist dislikes this system during the review.,the artist feels indifferent toward this system during the review.,the artist likes this system during the review.,the artist loves this system during the review.
en,74,the teacher,this city,during the review,the teacher hates this city during the review.,the teacher dislikes this city during the review.,the teacher feels indifferent toward this city during the review.,the teacher likes this city during the review.,the teacher loves this city during the review.
en,75,I,this system,during the review,I hates this system during the review.,I dislikes this system during the review.,I feels indifferent toward this system during the review.,I likes this system during the review.,I loves this system during the review.
en,76,the artist,this film,today,the artist hates this film today.,the artist dislikes this film today.,the artist feels indifferent toward this film today.,the artist likes this film today.,the artist loves this film today.
en,77,the researcher,this city,after the meeting,the researcher hates this city after the meeting.,the researcher dislikes this city after the meeting.,the researcher feels indifferent toward this city after the meeting.,the researcher likes this city after the meeting.,the researcher loves this city after the meeting.
en,78,the user,you,during the review,the user hates you during the review.,the user dislikes you during the review.,the user feels indifferent toward you during the review.,the user likes you during the review.,the user loves you during the review.
en,79,the researcher,the design,after the meeting,the researcher hates the design after the meeting.,the researcher dislikes the design after the meeting.,the researcher feels indifferent toward the design after the meeting.,the researcher likes the design after the meeting.,the researcher loves the design after the meeting.
en,80,the critic,the song,at the end,the critic hates the song at the end.,the critic dislikes the song at the end.,the critic feels indifferent toward the song at the end.,the critic likes the song at the end.,the critic loves the song at the end.
en,81,she,this city,at the end,she hates this city at the end.,she dislikes this city at the end.,she feels indifferent toward this city at the end.,she likes this city at the end.,she loves this city at the end.
en,82,the critic,this film,in private,the critic hates this film in private.,the critic dislikes this film in private.,the critic feels indifferent toward this film in private.,the critic likes this film in private.,the critic loves this film in private.
en,83,the user,this film,in private,the user hates this film in private.,the user dislikes this film in private.,the user feels indifferent toward this film in private.,the user likes this film in private.,the user loves this film in private.
en,84,the teacher,the proposal,during the review,the teacher hates the proposal during the review.,the teacher dislikes the proposal during the review.,the teacher feels indifferent toward the proposal during the review.,the teacher likes the proposal during the review.,the teacher loves the proposal during the review.
en,85,the critic,this idea,at the end,the critic hates this idea at the end.,the critic dislikes this idea at the end.,the critic feels indifferent toward this idea at the end.,the critic likes this idea at the end.,the critic loves this idea at the end.
en,86,she,this city,after the meeting,she hates this city after the meeting.,she dislikes this city after the meeting.,she feels indifferent toward this city after the meeting.,she likes this city after the meeting.,she loves this city after the meeting.
en,87,the artist,this city,after the meeting,the artist hates this city after the meeting.,the artist dislikes this city after the meeting.,the artist feels indifferent toward this city after the meeting.,the artist likes this city after the meeting.,the artist loves this city after the meeting.
en,88,the artist,the design,in private,the artist hates the design in private.,the artist dislikes the design in private.,the artist feels indifferent toward the design in private.,the artist likes the design in private.,the artist loves the design in private.
en,89,the artist,this film,during the review,the artist hates this film during the review.,the artist dislikes this film during the review.,the artist feels indifferent toward this film during the review.,the artist likes this film during the review.,the artist loves this film during the review.
en,90,the neighbor,this idea,at the end,the neighbor hates this idea at the end.,the neighbor dislikes this idea at the end.,the neighbor feels indifferent toward this idea at the end.,the neighbor likes this idea at the end.,the neighbor loves this idea at the end.
en,91,the artist,this film,at the end,the artist hates this film at the end.,the artist dislikes this film at the end.,the artist feels indifferent toward this film at the end.,the artist likes this film at the end.,the artist loves this film at the end.
en,92,I,this film,in private,I hates this film in private.,I dislikes this film in private.,I feels indifferent toward this film in private.,I likes this film in private.,I loves this film in private.
en,93,I,the song,during the review,I hates the song during the review.,I dislikes the song during the review.,I feels indifferent toward the song during the review.,I likes the song during the review.,I loves the song during the review.
en,94,the critic,this city,after the meeting,the critic hates this city after the meeting.,the critic dislikes this city after the meeting.,the critic feels indifferent toward this city after the meeting.,the critic likes this city after the meeting.,the critic loves this city after the meeting.
en,95,the teacher,the proposal,in private,the teacher hates the proposal in private.,the teacher dislikes the proposal in private.,the teacher feels indifferent toward the proposal in private.,the teacher likes the proposal in private.,the teacher loves the proposal in private.
en,96,the teacher,the proposal,today,the teacher hates the proposal today.,the teacher dislikes the proposal today.,the teacher feels indifferent toward the proposal today.,the teacher likes the proposal today.,the teacher loves the proposal today.
en,97,the neighbor,the song,at the end,the neighbor hates the song at the end.,the neighbor dislikes the song at the end.,the neighbor feels indifferent toward the song at the end.,the neighbor likes the song at the end.,the neighbor loves the song at the end.
en,98,she,you,today,she hates you today.,she dislikes you today.,she feels indifferent toward you today.,she likes you today.,she loves you today.
en,99,I,you,in private,I hates you in private.,I dislikes you in private.,I feels indifferent toward you in private.,I likes you in private.,I loves you in private.
en,100,the teacher,this film,after the meeting,the teacher hates this film after the meeting.,the teacher dislikes this film after the meeting.,the teacher feels indifferent toward this film after the meeting.,the teacher likes this film after the meeting.,the teacher loves this film after the meeting.
en,101,the artist,this idea,in private,the artist hates this idea in private.,the artist dislikes this idea in private.,the artist feels indifferent toward this idea in private.,the artist likes this idea in private.,the artist loves this idea in private.
en,102,the teacher,you,in private,the teacher hates you in private.,the teacher dislikes you in private.,the teacher feels indifferent toward you in private.,the teacher likes you in private.,the teacher loves you in private.
en,103,she,this system,after the meeting,she hates this system after the meeting.,she dislikes this system after the meeting.,she feels indifferent toward this system after the meeting.,she likes this system after the meeting.,she loves this system after the meeting.
en,104,the neighbor,the proposal,at the end,the neighbor hates the proposal at the end.,the neighbor dislikes the proposal at the end.,the neighbor feels indifferent toward the proposal at the end.,the neighbor likes the proposal at the end.,the neighbor loves the proposal at the end.
en,105,the researcher,this system,today,the researcher hates this system today.,the researcher dislikes this system today.,the researcher feels indifferent toward this system today.,the researcher likes this system today.,the researcher loves this system today.
en,106,she,this idea,today,she hates this idea today.,she dislikes this idea today.,she feels indifferent toward this idea today.,she likes this idea today.,she loves this idea today.
en,107,the user,this system,today,the user hates this system today.,the user dislikes this system today.,the user feels indifferent toward this system today.,the user likes this system today.,the user loves this system today.
en,108,the teacher,this idea,during the review,the teacher hates this idea during the review.,the teacher dislikes this idea during the review.,the teacher feels indifferent toward this idea during the review.,the teacher likes this idea during the review.,the teacher loves this idea during the review.
en,109,the teacher,this system,today,the teacher hates this system today.,the teacher dislikes this system today.,the teacher feels indifferent toward this system today.,the teacher likes this system today.,the teacher loves this system today.
en,110,she,this film,after the meeting,she hates this film after the meeting.,she dislikes this film after the meeting.,she feels indifferent toward this film after the meeting.,she likes this film after the meeting.,she loves this film after the meeting.
en,111,the artist,this city,in private,the artist hates this city in private.,the artist dislikes this city in private.,the artist feels indifferent toward this city in private.,the artist likes this city in private.,the artist loves this city in private.
en,112,the teacher,this city,today,the teacher hates this city today.,the teacher dislikes this city today.,the teacher feels indifferent toward this city today.,the teacher likes this city today.,the teacher loves this city today.
en,113,the critic,the proposal,at the end,the critic hates the proposal at the end.,the critic dislikes the proposal at the end.,the critic feels indifferent toward the proposal at the end.,the critic likes the proposal at the end.,the critic loves the proposal at the end.
en,114,the artist,this film,after the meeting,the artist hates this film after the meeting.,the artist dislikes this film after the meeting.,the artist feels indifferent toward this film after the meeting.,the artist likes this film after the meeting.,the artist loves this film after the meeting.
en,115,the researcher,you,in private,the researcher hates you in private.,the researcher dislikes you in private.,the researcher feels indifferent toward you in private.,the researcher likes you in private.,the researcher loves you in private.
en,116,the user,this system,during the review,the user hates this system during the review.,the user dislikes this system during the review.,the user feels indifferent toward this system during the review.,the user likes this system during the review.,the user loves this system during the review.
en,117,the user,this system,after the meeting,the user hates this system after the meeting.,the user dislikes this system after the meeting.,the user feels indifferent toward this system after the meeting.,the user likes this system after the meeting.,the user loves this system after the meeting.
en,118,the user,you,in private,the user hates you in private.,the user dislikes you in private.,the user feels indifferent toward you in private.,the user likes you in private.,the user loves you in private.
en,119,the researcher,the proposal,at the end,the researcher hates the proposal at the end.,the researcher dislikes the proposal at the end.,the researcher feels indifferent toward the proposal at the end.,the researcher likes the proposal at the end.,the researcher loves the proposal at the end.
en,120,the teacher,the design,in private,the teacher hates the design in private.,the teacher dislikes the design in private.,the teacher feels indifferent toward the design in private.,the teacher likes the design in private.,the teacher loves the design in private.
en,121,the teacher,the song,during the review,the teacher hates the song during the review.,the teacher dislikes the song during the review.,the teacher feels indifferent toward the song during the review.,the teacher likes the song during the review.,the teacher loves the song during the review.
en,122,the user,this idea,today,the user hates this idea today.,the user dislikes this idea today.,the user feels indifferent toward this idea today.,the user likes this idea today.,the user loves this idea today.
en,123,the artist,this system,after the meeting,the artist hates this system after the meeting.,the artist dislikes this system after the meeting.,the artist feels indifferent toward this system after the meeting.,the artist likes this system after the meeting.,the artist loves this system after the meeting.
en,124,the artist,you,after the meeting,the artist hates you after the meeting.,the artist dislikes you after the meeting.,the artist feels indifferent toward you after the meeting.,the artist likes you after the meeting.,the artist loves you after the meeting.
en,125,the researcher,the design,during the review,the researcher hates the design during the review.,the researcher dislikes the design during the review.,the researcher feels indifferent toward the design during the review.,the researcher likes the design during the review.,the researcher loves the design during the review.
en,126,she,you,after the meeting,she hates you after the meeting.,she dislikes you after the meeting.,she feels indifferent toward you after the meeting.,she likes you after the meeting.,she loves you after the meeting.
en,127,the neighbor,this idea,in private,the neighbor hates this idea in private.,the neighbor dislikes this idea in private.,the neighbor feels indifferent toward this idea in private.,the neighbor likes this idea in private.,the neighbor loves this idea in private.
en,128,the teacher,this system,in private,the teacher hates this system in private.,the teacher dislikes this system in private.,the teacher feels indifferent toward this system in private.,the teacher likes this system in private.,the teacher loves this system in private.
en,129,the researcher,you,at the end,the researcher hates you at the end.,the researcher dislikes you at the end.,the researcher feels indifferent toward you at the end.,the researcher likes you at the end.,the researcher loves you at the end.
en,130,the critic,you,after the meeting,the critic hates you after the meeting.,the critic dislikes you after the meeting.,the critic feels indifferent toward you after the meeting.,the critic likes you after the meeting.,the critic loves you after the meeting.
en,131,I,the proposal,in private,I hates the proposal in private.,I dislikes the proposal in private.,I feels indifferent toward the proposal in private.,I likes the proposal in private.,I loves the proposal in private.
en,132,she,you,in private,she hates you in private.,she dislikes you in private.,she feels indifferent toward you in private.,she likes you in private.,she loves you in private.
en,133,the critic,you,today,the critic hates you today.,the critic dislikes you today.,the critic feels indifferent toward you today.,the critic likes you today.,the critic loves you today.
en,134,she,you,during the review,she hates you during the review.,she dislikes you during the review.,she feels indifferent toward you during the review.,she likes you during the review.,she loves you during the review.
en,135,she,this city,in private,she hates this city in private.,she dislikes this city in private.,she feels indifferent toward this city in private.,she likes this city in private.,she loves this city in private.
en,136,the user,this film,at the end,the user hates this film at the end.,the user dislikes this film at the end.,the user feels indifferent toward this film at the end.,the user likes this film at the end.,the user loves this film at the end.
en,137,the user,this city,in private,the user hates this city in private.,the user dislikes this city in private.,the user feels indifferent toward this city in private.,the user likes this city in private.,the user loves this city in private.
en,138,the teacher,this idea,at the end,the teacher hates this idea at the end.,the teacher dislikes this idea at the end.,the teacher feels indifferent toward this idea at the end.,the teacher likes this idea at the end.,the teacher loves this idea at the end.
en,139,the critic,the design,today,the critic hates the design today.,the critic dislikes the design today.,the critic feels indifferent toward the design today.,the critic likes the design today.,the critic loves the design today.
en,140,the critic,this film,at the end,the critic hates this film at the end.,the critic dislikes this film at the end.,the critic feels indifferent toward this film at the end.,the critic likes this film at the end.,the critic loves this film at the end.
en,141,I,the design,after the meeting,I hates the design after the meeting.,I dislikes the design after the meeting.,I feels indifferent toward the design after the meeting.,I likes the design after the meeting.,I loves the design after the meeting.
en,142,I,this city,today,I hates this city today.,I dislikes this city today.,I feels indifferent toward this city today.,I likes this city today.,I loves this city today.
en,143,the researcher,the song,during the review,the researcher hates the song during the review.,the researcher dislikes the song during the review.,the researcher feels indifferent toward the song during the review.,the researcher likes the song during the review.,the researcher loves the song during the review.
en,144,the user,this city,at the end,the user hates this city at the end.,the user dislikes this city at the end.,the user feels indifferent toward this city at the end.,the user likes this city at the end.,the user loves this city at the end.
en,145,the artist,the proposal,today,the artist hates the proposal today.,the artist dislikes the proposal today.,the artist feels indifferent toward the proposal today.,the artist likes the proposal today.,the artist loves the proposal today.
en,146,the artist,the proposal,at the end,the artist hates the proposal at the end.,the artist dislikes the proposal at the end.,the artist feels indifferent toward the proposal at the end.,the artist likes the proposal at the end.,the artist loves the proposal at the end.
en,147,the neighbor,this idea,today,the neighbor hates this idea today.,the neighbor dislikes this idea today.,the neighbor feels indifferent toward this idea today.,the neighbor likes this idea today.,the neighbor loves this idea today.
en,148,the critic,the song,after the meeting,the critic hates the song after the meeting.,the critic dislikes the song after the meeting.,the critic feels indifferent toward the song after the meeting.,the critic likes the song after the meeting.,the critic loves the song after the meeting.
en,149,I,the design,today,I hates the design today.,I dislikes the design today.,I feels indifferent toward the design today.,I likes the design today.,I loves the design today.
en,150,I,you,after the meeting,I hates you after the meeting.,I dislikes you after the meeting.,I feels indifferent toward you after the meeting.,I likes you after the meeting.,I loves you after the meeting.
en,151,the neighbor,the song,during the review,the neighbor hates the song during the review.,the neighbor dislikes the song during the review.,the neighbor feels indifferent toward the song during the review.,the neighbor likes the song during the review.,the neighbor loves the song during the review.
en,152,the artist,this system,at the end,the artist hates this system at the end.,the artist dislikes this system at the end.,the artist feels indifferent toward this system at the end.,the artist likes this system at the end.,the artist loves this system at the end.
en,153,the neighbor,the song,in private,the neighbor hates the song in private.,the neighbor dislikes the song in private.,the neighbor feels indifferent toward the song in private.,the neighbor likes the song in private.,the neighbor loves the song in private.
en,154,the artist,the proposal,in private,the artist hates the proposal in private.,the artist dislikes the proposal in private.,the artist feels indifferent toward the proposal in private.,the artist likes the proposal in private.,the artist loves the proposal in private.
en,155,she,this city,today,she hates this city today.,she dislikes this city today.,she feels indifferent toward this city today.,she likes this city today.,she loves this city today.
en,156,the researcher,the design,at the end,the researcher hates the design at the end.,the researcher dislikes the design at the end.,the researcher feels indifferent toward the design at the end.,the researcher likes the design at the end.,the researcher loves the design at the end.
en,157,the artist,this idea,after the meeting,the artist hates this idea after the meeting.,the artist dislikes this idea after the meeting.,the artist feels indifferent toward this idea after the meeting.,the artist likes this idea after the meeting.,the artist loves this idea after the meeting.
en,158,the critic,this system,during the review,the critic hates this system during the review.,the critic dislikes this system during the review.,the critic feels indifferent toward this system during the review.,the critic likes this system during the review.,the critic loves this system during the review.
en,159,the user,the song,at the end,the user hates the song at the end.,the user dislikes the song at the end.,the user feels indifferent toward the song at the end.,the user likes the song at the end.,the user loves the song at the end.
es,0,el critico,la propuesta,durante la revision,el critico odia la propuesta durante la revision.,el critico no aprecia la propuesta durante la revision.,el critico es indiferente hacia la propuesta durante la revision.,el critico aprecia la propuesta durante la revision.,el critico ama la propuesta durante la revision.
es,1,la profesora,esta idea,durante la revision,la profesora odia esta idea durante la revision.,la profesora no aprecia esta idea durante la revision.,la profesora es indiferente hacia esta idea durante la revision.,la profesora aprecia esta idea durante la revision.,la profesora ama esta idea durante la revision.
es,2,el critico,esta idea,durante la revision,el critico odia esta idea durante la revision.,el critico no aprecia esta idea durante la revision.,el critico es indiferente hacia esta idea durante la revision.,el critico aprecia esta idea durante la revision.,el critico ama esta idea durante la revision.
es,3,el vecino,esta ciudad,en privado,el vecino odia esta ciudad en privado.,el vecino no aprecia esta ciudad en privado.,el vecino es indiferente hacia esta ciudad en privado.,el vecino aprecia esta ciudad en privado.,el vecino ama esta ciudad en privado.
es,4,ella,el diseno,hoy,ella odia el diseno hoy.,ella no aprecia el diseno hoy.,ella es indiferente hacia el diseno hoy.,ella aprecia el diseno hoy.,ella ama el diseno hoy.
es,5,el critico,esta idea,hoy,el critico odia esta idea hoy.,el critico no aprecia esta idea hoy.,el critico es indiferente hacia esta idea hoy.,el critico aprecia esta idea hoy.,el critico ama esta idea hoy.
