model,source_set,prompt_style,layer,control,position_mode,question_mark_rate,target_marker_rate,other_marker_rate,mean_content_preservation,question_and_preserved_rate,mean_generated_chars,rows
gpt2,hard_out_of_template,repeat_sentence,2,target_prompt_first,prompt_first,0.0,0.45,0.525,0.7923214285714286,0.0,121.925,40
gpt2,hard_out_of_template,repeat_sentence,2,target_prompt_last_once,prompt_last,0.0,0.4,0.45,0.8114285714285714,0.0,121.875,40
gpt2,hard_out_of_template,repeat_sentence,2,target_prompt_middle,prompt_middle,0.0,0.475,0.525,0.7825595238095239,0.0,121.15,40
gpt2,hard_out_of_template,repeat_sentence,2,wrong_last_each_step,last_each_step,0.0,0.4,0.475,0.7839880952380953,0.0,122.525,40
gpt2,hard_out_of_template,repeat_sentence,3,negative_last_each_step,last_each_step,0.0,0.375,0.475,0.6397916666666666,0.0,112.725,40
gpt2,hard_out_of_template,repeat_sentence,3,none,none,0.0,0.4,0.5,0.7756547619047619,0.0,121.15,40
gpt2,hard_out_of_template,repeat_sentence,3,random_last_each_step,last_each_step,0.0,0.5,0.575,0.6554761904761904,0.0,116.35,40
gpt2,hard_out_of_template,repeat_sentence,3,target_last_each_step,last_each_step,0.9,1.0,0.6,0.7626190476190475,0.6,116.025,40
gpt2,hard_out_of_template,repeat_sentence,3,target_prompt_all_once,prompt_all,0.65,0.825,0.525,0.6788095238095238,0.575,120.35,40
gpt2,hard_out_of_template,repeat_sentence,3,target_prompt_first,prompt_first,0.0,0.425,0.5,0.7994642857142857,0.0,122.975,40
gpt2,hard_out_of_template,repeat_sentence,3,target_prompt_last_once,prompt_last,0.0,0.425,0.45,0.8048809523809524,0.0,122.35,40
gpt2,hard_out_of_template,repeat_sentence,3,target_prompt_middle,prompt_middle,0.0,0.45,0.525,0.7783928571428571,0.0,121.05,40
gpt2,hard_out_of_template,repeat_sentence,3,wrong_last_each_step,last_each_step,0.0,0.475,0.5,0.8000595238095238,0.0,123.8,40
gpt2,hard_out_of_template,same_sentence,2,negative_last_each_step,last_each_step,0.0,0.375,0.4,0.8018452380952381,0.0,114.075,40
gpt2,hard_out_of_template,same_sentence,2,none,none,0.0,0.375,0.4,0.845,0.0,109.875,40
gpt2,hard_out_of_template,same_sentence,2,random_last_each_step,last_each_step,0.0,0.375,0.425,0.8319047619047619,0.0,115.6,40
gpt2,hard_out_of_template,same_sentence,2,target_last_each_step,last_each_step,0.9,0.925,0.4,0.78625,0.625,119.2,40
gpt2,hard_out_of_template,same_sentence,2,target_prompt_all_once,prompt_all,0.95,1.0,0.45,0.8573809523809525,0.8,123.625,40
gpt2,hard_out_of_template,same_sentence,2,target_prompt_first,prompt_first,0.0,0.375,0.4,0.845,0.0,110.375,40
gpt2,hard_out_of_template,same_sentence,2,target_prompt_last_once,prompt_last,0.0,0.35,0.375,0.8825,0.0,113.075,40
gpt2,hard_out_of_template,same_sentence,2,target_prompt_middle,prompt_middle,0.0,0.375,0.4,0.8574999999999999,0.0,110.4,40
gpt2,hard_out_of_template,same_sentence,2,wrong_last_each_step,last_each_step,0.0,0.375,0.4,0.845,0.0,110.375,40
gpt2,hard_out_of_template,same_sentence,3,negative_last_each_step,last_each_step,0.0,0.45,0.475,0.8048214285714286,0.0,118.725,40
gpt2,hard_out_of_template,same_sentence,3,none,none,0.0,0.375,0.4,0.845,0.0,109.875,40
gpt2,hard_out_of_template,same_sentence,3,random_last_each_step,last_each_step,0.0,0.425,0.45,0.7506547619047619,0.0,114.0,40
gpt2,hard_out_of_template,same_sentence,3,target_last_each_step,last_each_step,0.975,1.0,0.475,0.82,0.75,117.275,40
gpt2,hard_out_of_template,same_sentence,3,target_prompt_all_once,prompt_all,1.0,1.0,0.425,0.8515476190476191,0.8,123.225,40
gpt2,hard_out_of_template,same_sentence,3,target_prompt_first,prompt_first,0.0,0.375,0.4,0.845,0.0,110.375,40
gpt2,hard_out_of_template,same_sentence,3,target_prompt_last_once,prompt_last,0.0,0.4,0.425,0.8616666666666667,0.0,112.125,40
gpt2,hard_out_of_template,same_sentence,3,target_prompt_middle,prompt_middle,0.0,0.375,0.4,0.8533333333333333,0.0,109.525,40
gpt2,hard_out_of_template,same_sentence,3,wrong_last_each_step,last_each_step,0.0,0.375,0.4,0.845,0.0,109.125,40
gpt2,in_template_test,copy_sentence,2,negative_last_each_step,last_each_step,0.0,0.0,0.275,0.575,0.0,98.125,40
gpt2,in_template_test,copy_sentence,2,none,none,0.0,0.0,0.05,0.95,0.0,117.9,40
gpt2,in_template_test,copy_sentence,2,random_last_each_step,last_each_step,0.0,0.075,0.125,0.925,0.0,116.325,40
gpt2,in_template_test,copy_sentence,2,target_last_each_step,last_each_step,1.0,1.0,0.075,0.9833333333333334,0.975,114.05,40
gpt2,in_template_test,copy_sentence,2,target_prompt_all_once,prompt_all,0.95,0.975,0.05,0.9583333333333334,0.925,118.45,40
gpt2,in_template_test,copy_sentence,2,target_prompt_first,prompt_first,0.0,0.0,0.05,0.95,0.0,117.4,40
gpt2,in_template_test,copy_sentence,2,target_prompt_last_once,prompt_last,0.0,0.0,0.0,1.0,0.0,120.2,40
gpt2,in_template_test,copy_sentence,2,target_prompt_middle,prompt_middle,0.0,0.0,0.05,0.9583333333333334,0.0,117.775,40
gpt2,in_template_test,copy_sentence,2,wrong_last_each_step,last_each_step,0.0,0.0,0.0,1.0,0.0,120.2,40
gpt2,in_template_test,copy_sentence,3,negative_last_each_step,last_each_step,0.0,0.05,0.15,0.6666666666666667,0.0,105.95,40
gpt2,in_template_test,copy_sentence,3,none,none,0.0,0.0,0.05,0.95,0.0,117.9,40
gpt2,in_template_test,copy_sentence,3,random_last_each_step,last_each_step,0.0,0.0,0.025,0.9583333333333334,0.0,117.525,40
gpt2,in_template_test,copy_sentence,3,target_last_each_step,last_each_step,1.0,1.0,0.075,0.9833333333333334,0.975,119.4,40
gpt2,in_template_test,copy_sentence,3,target_prompt_all_once,prompt_all,1.0,1.0,0.0,1.0,1.0,120.2,40
gpt2,in_template_test,copy_sentence,3,target_prompt_first,prompt_first,0.0,0.0,0.025,0.975,0.0,118.525,40
gpt2,in_template_test,copy_sentence,3,target_prompt_last_once,prompt_last,0.0,0.0,0.0,1.0,0.0,120.2,40
gpt2,in_template_test,copy_sentence,3,target_prompt_middle,prompt_middle,0.0,0.0,0.05,0.9583333333333334,0.0,117.725,40
gpt2,in_template_test,copy_sentence,3,wrong_last_each_step,last_each_step,0.0,0.0,0.0,1.0,0.0,120.2,40
gpt2,in_template_test,repeat_sentence,2,negative_last_each_step,last_each_step,0.0,0.075,0.075,0.9833333333333334,0.0,119.7,40
gpt2,in_template_test,repeat_sentence,2,none,none,0.0,0.1,0.1,0.9916666666666666,0.0,119.95,40
gpt2,in_template_test,repeat_sentence,2,random_last_each_step,last_each_step,0.0,0.075,0.075,0.975,0.0,120.15,40
gpt2,in_template_test,repeat_sentence,2,target_last_each_step,last_each_step,0.95,1.0,0.125,1.0,0.95,115.475,40
gpt2,in_template_test,repeat_sentence,2,target_prompt_all_once,prompt_all,0.9,0.95,0.1,0.9166666666666666,0.875,117.95,40
gpt2,in_template_test,repeat_sentence,2,target_prompt_first,prompt_first,0.0,0.1,0.1,0.9833333333333334,0.0,118.925,40
gpt2,in_template_test,repeat_sentence,2,target_prompt_last_once,prompt_last,0.0,0.05,0.05,0.9916666666666666,0.0,119.675,40
gpt2,in_template_test,repeat_sentence,2,target_prompt_middle,prompt_middle,0.0,0.15,0.15,1.0,0.0,120.425,40
gpt2,in_template_test,repeat_sentence,2,wrong_last_each_step,last_each_step,0.0,0.1,0.1,0.9916666666666666,0.0,120.275,40
gpt2,in_template_test,repeat_sentence,3,negative_last_each_step,last_each_step,0.0,0.025,0.025,0.975,0.0,116.4,40
gpt2,in_template_test,repeat_sentence,3,none,none,0.0,0.1,0.1,0.9916666666666666,0.0,119.95,40
gpt2,in_template_test,repeat_sentence,3,random_last_each_step,last_each_step,0.0,0.125,0.125,0.975,0.0,117.325,40
gpt2,in_template_test,repeat_sentence,3,target_last_each_step,last_each_step,1.0,1.0,0.125,0.9916666666666666,0.975,117.9,40
gpt2,in_template_test,repeat_sentence,3,target_prompt_all_once,prompt_all,0.875,0.95,0.125,0.925,0.85,117.675,40
gpt2,in_template_test,repeat_sentence,3,target_prompt_first,prompt_first,0.0,0.1,0.1,0.9833333333333334,0.0,119.225,40
gpt2,in_template_test,repeat_sentence,3,target_prompt_last_once,prompt_last,0.0,0.05,0.05,1.0,0.0,119.925,40
gpt2,in_template_test,repeat_sentence,3,target_prompt_middle,prompt_middle,0.0,0.075,0.075,1.0,0.0,120.875,40
gpt2,in_template_test,repeat_sentence,3,wrong_last_each_step,last_each_step,0.0,0.075,0.075,0.9916666666666666,0.0,119.925,40
gpt2,in_template_test,same_sentence,2,negative_last_each_step,last_each_step,0.0,0.0,0.0,1.0,0.0,118.275,40
gpt2,in_template_test,same_sentence,2,none,none,0.0,0.0,0.0,1.0,0.0,107.225,40
gpt2,in_template_test,same_sentence,2,random_last_each_step,last_each_step,0.0,0.025,0.025,0.9916666666666666,0.0,115.15,40
gpt2,in_template_test,same_sentence,2,target_last_each_step,last_each_step,1.0,1.0,0.075,0.9833333333333334,0.975,115.525,40
gpt2,in_template_test,same_sentence,2,target_prompt_all_once,prompt_all,1.0,1.0,0.025,0.975,0.95,119.425,40
gpt2,in_template_test,same_sentence,2,target_prompt_first,prompt_first,0.0,0.0,0.0,1.0,0.0,107.675,40
gpt2,in_template_test,same_sentence,2,target_prompt_last_once,prompt_last,0.0,0.0,0.0,1.0,0.0,118.125,40
gpt2,in_template_test,same_sentence,2,target_prompt_middle,prompt_middle,0.0,0.0,0.0,1.0,0.0,107.675,40
gpt2,in_template_test,same_sentence,2,wrong_last_each_step,last_each_step,0.0,0.0,0.0,1.0,0.0,109.475,40
gpt2,in_template_test,same_sentence,3,negative_last_each_step,last_each_step,0.0,0.025,0.025,1.0,0.0,119.075,40
gpt2,in_template_test,same_sentence,3,none,none,0.0,0.0,0.0,1.0,0.0,107.225,40
gpt2,in_template_test,same_sentence,3,random_last_each_step,last_each_step,0.0,0.05,0.05,0.9916666666666666,0.0,118.1,40
gpt2,in_template_test,same_sentence,3,target_last_each_step,last_each_step,1.0,1.0,0.125,0.9916666666666666,0.975,115.375,40
gpt2,in_template_test,same_sentence,3,target_prompt_all_once,prompt_all,1.0,1.0,0.0,1.0,1.0,120.2,40
gpt2,in_template_test,same_sentence,3,target_prompt_first,prompt_first,0.0,0.0,0.0,1.0,0.0,107.675,40
gpt2,in_template_test,same_sentence,3,target_prompt_last_once,prompt_last,0.0,0.0,0.0,1.0,0.0,115.1,40
gpt2,in_template_test,same_sentence,3,target_prompt_middle,prompt_middle,0.0,0.0,0.0,1.0,0.0,108.7,40
gpt2,in_template_test,same_sentence,3,wrong_last_each_step,last_each_step,0.0,0.0,0.0,1.0,0.0,108.8,40
