template_id,subject,action_base,object,context,op_a,op_b,pair,source,ab_text,ba_text
12,coordinator,confirm,the answer,during the meeting,Q,T,QT_vs_TQ,The coordinator confirmed the answer during the meeting.,Will it be true that the coordinator plans to confirm the answer during the meeting?,Will the coordinator confirm the answer during the meeting?
12,coordinator,confirm,the answer,during the meeting,M,T,MT_vs_TM,The coordinator confirmed the answer during the meeting.,The coordinator allegedly plans to confirm the answer during the meeting.,The coordinator will allegedly confirm the answer during the meeting.
13,planner,approve,the treatment,under the policy,N,Q,NQ_vs_QN,The planner approved the treatment under the policy.,Did the planner fail to approve the treatment under the policy?,Is it false that the planner approved the treatment under the policy?
13,planner,approve,the treatment,under the policy,N,M,NM_vs_MN,The planner approved the treatment under the policy.,The planner did not allegedly approve the treatment under the policy.,The planner allegedly failed to approve the treatment under the policy.
13,planner,approve,the treatment,under the policy,N,T,NT_vs_TN,The planner approved the treatment under the policy.,The planner will fail to approve the treatment under the policy.,The planner will not approve the treatment under the policy.
13,planner,approve,the treatment,under the policy,Q,M,QM_vs_MQ,The planner approved the treatment under the policy.,Is it allegedly true that the planner approved the treatment under the policy?,Did the planner allegedly approve the treatment under the policy?
13,planner,approve,the treatment,under the policy,Q,T,QT_vs_TQ,The planner approved the treatment under the policy.,Will it be true that the planner will approve the treatment under the policy?,Will the planner approve the treatment under the policy?
13,planner,approve,the treatment,under the policy,M,T,MT_vs_TM,The planner approved the treatment under the policy.,The planner allegedly will approve the treatment under the policy.,The planner will allegedly approve the treatment under the policy.
14,editor,support,the theory,under the policy,N,Q,NQ_vs_QN,The editor supported the theory under the policy.,Did the editor fail to support the theory under the policy?,Is it false that the editor supported the theory under the policy?
14,editor,support,the theory,under the policy,N,M,NM_vs_MN,The editor supported the theory under the policy.,The editor did not reportedly support the theory under the policy.,The editor reportedly failed to support the theory under the policy.
14,editor,support,the theory,under the policy,N,T,NT_vs_TN,The editor supported the theory under the policy.,The editor will fail to support the theory under the policy.,The editor will not support the theory under the policy.
14,editor,support,the theory,under the policy,Q,M,QM_vs_MQ,The editor supported the theory under the policy.,Is it reportedly true that the editor supported the theory under the policy?,Did the editor reportedly support the theory under the policy?
14,editor,support,the theory,under the policy,Q,T,QT_vs_TQ,The editor supported the theory under the policy.,Will it be true that the editor plans to support the theory under the policy?,Will the editor support the theory under the policy?
14,editor,support,the theory,under the policy,M,T,MT_vs_TM,The editor supported the theory under the policy.,The editor reportedly plans to support the theory under the policy.,The editor will reportedly support the theory under the policy.
15,manager,accept,the explanation,after the review,N,Q,NQ_vs_QN,The manager accepted the explanation after the review.,Did the manager fail to accept the explanation after the review?,Is it false that the manager accepted the explanation after the review?
15,manager,accept,the explanation,after the review,N,M,NM_vs_MN,The manager accepted the explanation after the review.,The manager did not allegedly accept the explanation after the review.,The manager allegedly refused to accept the explanation after the review.
15,manager,accept,the explanation,after the review,N,T,NT_vs_TN,The manager accepted the explanation after the review.,The manager will fail to accept the explanation after the review.,The manager will not accept the explanation after the review.
15,manager,accept,the explanation,after the review,Q,M,QM_vs_MQ,The manager accepted the explanation after the review.,Is it allegedly true that the manager accepted the explanation after the review?,Did the manager allegedly accept the explanation after the review?
15,manager,accept,the explanation,after the review,Q,T,QT_vs_TQ,The manager accepted the explanation after the review.,Will it be true that the manager plans to accept the explanation after the review?,Will the manager accept the explanation after the review?
15,manager,accept,the explanation,after the review,M,T,MT_vs_TM,The manager accepted the explanation after the review.,The manager allegedly plans to accept the explanation after the review.,The manager will allegedly accept the explanation after the review.
16,teacher,review,the proposal,in the morning,N,Q,NQ_vs_QN,The teacher reviewed the proposal in the morning.,Did the teacher fail to review the proposal in the morning?,Is it false that the teacher reviewed the proposal in the morning?
16,teacher,review,the proposal,in the morning,N,M,NM_vs_MN,The teacher reviewed the proposal in the morning.,The teacher did not apparently review the proposal in the morning.,The teacher apparently refused to review the proposal in the morning.
16,teacher,review,the proposal,in the morning,N,T,NT_vs_TN,The teacher reviewed the proposal in the morning.,The teacher will fail to review the proposal in the morning.,The teacher will not review the proposal in the morning.
16,teacher,review,the proposal,in the morning,Q,M,QM_vs_MQ,The teacher reviewed the proposal in the morning.,Is it apparently true that the teacher reviewed the proposal in the morning?,Did the teacher apparently review the proposal in the morning?
16,teacher,review,the proposal,in the morning,Q,T,QT_vs_TQ,The teacher reviewed the proposal in the morning.,Will it be true that the teacher is going to review the proposal in the morning?,Will the teacher review the proposal in the morning?
16,teacher,review,the proposal,in the morning,M,T,MT_vs_TM,The teacher reviewed the proposal in the morning.,The teacher apparently is going to review the proposal in the morning.,The teacher will apparently review the proposal in the morning.
17,planner,submit,the request,under the policy,N,Q,NQ_vs_QN,The planner submitted the request under the policy.,Did the planner fail to submit the request under the policy?,Is it false that the planner submitted the request under the policy?
17,planner,submit,the request,under the policy,N,M,NM_vs_MN,The planner submitted the request under the policy.,The planner did not apparently submit the request under the policy.,The planner apparently did not submit the request under the policy.
17,planner,submit,the request,under the policy,N,T,NT_vs_TN,The planner submitted the request under the policy.,The planner will fail to submit the request under the policy.,The planner will not submit the request under the policy.
17,planner,submit,the request,under the policy,Q,M,QM_vs_MQ,The planner submitted the request under the policy.,Is it apparently true that the planner submitted the request under the policy?,Did the planner apparently submit the request under the policy?
17,planner,submit,the request,under the policy,Q,T,QT_vs_TQ,The planner submitted the request under the policy.,Will it be true that the planner plans to submit the request under the policy?,Will the planner submit the request under the policy?
17,planner,submit,the request,under the policy,M,T,MT_vs_TM,The planner submitted the request under the policy.,The planner apparently plans to submit the request under the policy.,The planner will apparently submit the request under the policy.
18,engineer,approve,the treatment,for the committee,N,Q,NQ_vs_QN,The engineer approved the treatment for the committee.,Did the engineer fail to approve the treatment for the committee?,Is it false that the engineer approved the treatment for the committee?
18,engineer,approve,the treatment,for the committee,N,M,NM_vs_MN,The engineer approved the treatment for the committee.,The engineer did not reportedly approve the treatment for the committee.,The engineer reportedly failed to approve the treatment for the committee.
18,engineer,approve,the treatment,for the committee,N,T,NT_vs_TN,The engineer approved the treatment for the committee.,The engineer will fail to approve the treatment for the committee.,The engineer will not approve the treatment for the committee.
18,engineer,approve,the treatment,for the committee,Q,M,QM_vs_MQ,The engineer approved the treatment for the committee.,Is it reportedly true that the engineer approved the treatment for the committee?,Did the engineer reportedly approve the treatment for the committee?
18,engineer,approve,the treatment,for the committee,Q,T,QT_vs_TQ,The engineer approved the treatment for the committee.,Will it be true that the engineer will approve the treatment for the committee?,Will the engineer approve the treatment for the committee?
18,engineer,approve,the treatment,for the committee,M,T,MT_vs_TM,The engineer approved the treatment for the committee.,The engineer reportedly will approve the treatment for the committee.,The engineer will reportedly approve the treatment for the committee.
19,planner,review,the proposal,with the team,N,Q,NQ_vs_QN,The planner reviewed the proposal with the team.,Did the planner fail to review the proposal with the team?,Is it false that the planner reviewed the proposal with the team?
19,planner,review,the proposal,with the team,N,M,NM_vs_MN,The planner reviewed the proposal with the team.,The planner did not apparently review the proposal with the team.,The planner apparently did not review the proposal with the team.
19,planner,review,the proposal,with the team,N,T,NT_vs_TN,The planner reviewed the proposal with the team.,The planner will fail to review the proposal with the team.,The planner will not review the proposal with the team.
19,planner,review,the proposal,with the team,Q,M,QM_vs_MQ,The planner reviewed the proposal with the team.,Is it apparently true that the planner reviewed the proposal with the team?,Did the planner apparently review the proposal with the team?
19,planner,review,the proposal,with the team,Q,T,QT_vs_TQ,The planner reviewed the proposal with the team.,Will it be true that the planner plans to review the proposal with the team?,Will the planner review the proposal with the team?
19,planner,review,the proposal,with the team,M,T,MT_vs_TM,The planner reviewed the proposal with the team.,The planner apparently plans to review the proposal with the team.,The planner will apparently review the proposal with the team.
20,operator,approve,the treatment,at the office,N,Q,NQ_vs_QN,The operator approved the treatment at the office.,Did the operator fail to approve the treatment at the office?,Is it false that the operator approved the treatment at the office?
20,operator,approve,the treatment,at the office,N,M,NM_vs_MN,The operator approved the treatment at the office.,The operator did not apparently approve the treatment at the office.,The operator apparently failed to approve the treatment at the office.
20,operator,approve,the treatment,at the office,N,T,NT_vs_TN,The operator approved the treatment at the office.,The operator will fail to approve the treatment at the office.,The operator will not approve the treatment at the office.
20,operator,approve,the treatment,at the office,Q,M,QM_vs_MQ,The operator approved the treatment at the office.,Is it apparently true that the operator approved the treatment at the office?,Did the operator apparently approve the treatment at the office?
20,operator,approve,the treatment,at the office,Q,T,QT_vs_TQ,The operator approved the treatment at the office.,Will it be true that the operator will approve the treatment at the office?,Will the operator approve the treatment at the office?
20,operator,approve,the treatment,at the office,M,T,MT_vs_TM,The operator approved the treatment at the office.,The operator apparently will approve the treatment at the office.,The operator will apparently approve the treatment at the office.
21,operator,fix,the bug,in the morning,N,Q,NQ_vs_QN,The operator fixed the bug in the morning.,Did the operator fail to fix the bug in the morning?,Is it false that the operator fixed the bug in the morning?
21,operator,fix,the bug,in the morning,N,M,NM_vs_MN,The operator fixed the bug in the morning.,The operator did not allegedly fix the bug in the morning.,The operator allegedly failed to fix the bug in the morning.
21,operator,fix,the bug,in the morning,N,T,NT_vs_TN,The operator fixed the bug in the morning.,The operator will fail to fix the bug in the morning.,The operator will not fix the bug in the morning.
21,operator,fix,the bug,in the morning,Q,M,QM_vs_MQ,The operator fixed the bug in the morning.,Is it allegedly true that the operator fixed the bug in the morning?,Did the operator allegedly fix the bug in the morning?
21,operator,fix,the bug,in the morning,Q,T,QT_vs_TQ,The operator fixed the bug in the morning.,Will it be true that the operator plans to fix the bug in the morning?,Will the operator fix the bug in the morning?
21,operator,fix,the bug,in the morning,M,T,MT_vs_TM,The operator fixed the bug in the morning.,The operator allegedly plans to fix the bug in the morning.,The operator will allegedly fix the bug in the morning.
22,doctor,approve,the treatment,in the morning,N,Q,NQ_vs_QN,The doctor approved the treatment in the morning.,Did the doctor fail to approve the treatment in the morning?,Is it false that the doctor approved the treatment in the morning?
22,doctor,approve,the treatment,in the morning,N,M,NM_vs_MN,The doctor approved the treatment in the morning.,The doctor did not allegedly approve the treatment in the morning.,The doctor allegedly failed to approve the treatment in the morning.
22,doctor,approve,the treatment,in the morning,N,T,NT_vs_TN,The doctor approved the treatment in the morning.,The doctor will fail to approve the treatment in the morning.,The doctor will not approve the treatment in the morning.
22,doctor,approve,the treatment,in the morning,Q,M,QM_vs_MQ,The doctor approved the treatment in the morning.,Is it allegedly true that the doctor approved the treatment in the morning?,Did the doctor allegedly approve the treatment in the morning?
22,doctor,approve,the treatment,in the morning,Q,T,QT_vs_TQ,The doctor approved the treatment in the morning.,Will it be true that the doctor is going to approve the treatment in the morning?,Will the doctor approve the treatment in the morning?
22,doctor,approve,the treatment,in the morning,M,T,MT_vs_TM,The doctor approved the treatment in the morning.,The doctor allegedly is going to approve the treatment in the morning.,The doctor will allegedly approve the treatment in the morning.
23,programmer,review,the proposal,in the morning,N,Q,NQ_vs_QN,The programmer reviewed the proposal in the morning.,Did the programmer fail to review the proposal in the morning?,Is it false that the programmer reviewed the proposal in the morning?
23,programmer,review,the proposal,in the morning,N,M,NM_vs_MN,The programmer reviewed the proposal in the morning.,The programmer did not reportedly review the proposal in the morning.,The programmer reportedly did not review the proposal in the morning.
23,programmer,review,the proposal,in the morning,N,T,NT_vs_TN,The programmer reviewed the proposal in the morning.,The programmer will fail to review the proposal in the morning.,The programmer will not review the proposal in the morning.
23,programmer,review,the proposal,in the morning,Q,M,QM_vs_MQ,The programmer reviewed the proposal in the morning.,Is it reportedly true that the programmer reviewed the proposal in the morning?,Did the programmer reportedly review the proposal in the morning?
23,programmer,review,the proposal,in the morning,Q,T,QT_vs_TQ,The programmer reviewed the proposal in the morning.,Will it be true that the programmer is going to review the proposal in the morning?,Will the programmer review the proposal in the morning?
23,programmer,review,the proposal,in the morning,M,T,MT_vs_TM,The programmer reviewed the proposal in the morning.,The programmer reportedly is going to review the proposal in the morning.,The programmer will reportedly review the proposal in the morning.
24,teacher,complete,the repair,in the morning,N,Q,NQ_vs_QN,The teacher completed the repair in the morning.,Did the teacher fail to complete the repair in the morning?,Is it false that the teacher completed the repair in the morning?
24,teacher,complete,the repair,in the morning,N,M,NM_vs_MN,The teacher completed the repair in the morning.,The teacher did not reportedly complete the repair in the morning.,The teacher reportedly refused to complete the repair in the morning.
24,teacher,complete,the repair,in the morning,N,T,NT_vs_TN,The teacher completed the repair in the morning.,The teacher will fail to complete the repair in the morning.,The teacher will not complete the repair in the morning.
24,teacher,complete,the repair,in the morning,Q,M,QM_vs_MQ,The teacher completed the repair in the morning.,Is it reportedly true that the teacher completed the repair in the morning?,Did the teacher reportedly complete the repair in the morning?
24,teacher,complete,the repair,in the morning,Q,T,QT_vs_TQ,The teacher completed the repair in the morning.,Will it be true that the teacher is going to complete the repair in the morning?,Will the teacher complete the repair in the morning?
24,teacher,complete,the repair,in the morning,M,T,MT_vs_TM,The teacher completed the repair in the morning.,The teacher reportedly is going to complete the repair in the morning.,The teacher will reportedly complete the repair in the morning.
25,coordinator,fix,the bug,before the deadline,N,Q,NQ_vs_QN,The coordinator fixed the bug before the deadline.,Did the coordinator fail to fix the bug before the deadline?,Is it false that the coordinator fixed the bug before the deadline?
25,coordinator,fix,the bug,before the deadline,N,M,NM_vs_MN,The coordinator fixed the bug before the deadline.,The coordinator did not allegedly fix the bug before the deadline.,The coordinator allegedly did not fix the bug before the deadline.
25,coordinator,fix,the bug,before the deadline,N,T,NT_vs_TN,The coordinator fixed the bug before the deadline.,The coordinator will fail to fix the bug before the deadline.,The coordinator will not fix the bug before the deadline.
25,coordinator,fix,the bug,before the deadline,Q,M,QM_vs_MQ,The coordinator fixed the bug before the deadline.,Is it allegedly true that the coordinator fixed the bug before the deadline?,Did the coordinator allegedly fix the bug before the deadline?
25,coordinator,fix,the bug,before the deadline,Q,T,QT_vs_TQ,The coordinator fixed the bug before the deadline.,Will it be true that the coordinator plans to fix the bug before the deadline?,Will the coordinator fix the bug before the deadline?
25,coordinator,fix,the bug,before the deadline,M,T,MT_vs_TM,The coordinator fixed the bug before the deadline.,The coordinator allegedly plans to fix the bug before the deadline.,The coordinator will allegedly fix the bug before the deadline.
26,planner,fix,the bug,after the review,N,Q,NQ_vs_QN,The planner fixed the bug after the review.,Did the planner fail to fix the bug after the review?,Is it false that the planner fixed the bug after the review?
